Video Id,Title,View Count,Length,Channel
XAFDeFrrWVc,Making money accessible for the blind #money #blind #tech #braille #tool,59 147 746 katselukertaa,0.13,/@Blindonthemove
Fr9UL1R4tuo,The coolest wheelchair lift I’ve EVER been on!! #SpaceNeedle #accessibility #shorts,10 778 603 katselukertaa,0.59,/@realchelseabear
gBh5x-C_Ow0,The Original Voice of Siri Wants Your Website to be Accessible,10 061 690 katselukertaa,1.08,/@UserWay
5V-0ZfCdAIE,Universal design and hostile design in entrances | Accessibility,8 184 347 katselukertaa,0.57,/@Engineeringandarchitecture
Gwm5uMqC6po,फोन में इस Accessibility सेटिंग का 10 खुफिया राज जान लो देख कर चौक जाएंगे !! Tips & Trick,5 176 536 katselukertaa,8.04,/@HogaToga
aJUixglT-PA,How to Turn OFF TalkBack Mode on Vivo Mobile Phone | Vivo Tips & Tricks Tutorials,4 407 149 katselukertaa,2.26,/@RichardCabile
XB4cjbYywqg,Apple – Accessibility – Sady,3 213 969 katselukertaa,1.43,/@Apple
xm-dZ4w8dAs,Vivo Y15 How to Disable Talkback or Voiceover | GSMAN ASHIQUE I,3 101 202 katselukertaa,1.41,/@GSMANASHIQUE
y0c7esHzJjc,Android Phone Most Important And Useful Secret Settings In Accessibility | Bangla |,2 908 975 katselukertaa,6.15,/@ExpertMistry
4Y8wI0y95Ng,Touch Karne Par Phone Bolta hai ! TalkBack Off Kare फोन टच करने पे बोलता है,2 733 196 katselukertaa,7.48,/@TechDroidHindii
DjQcXfa8Ikg,"select to speak setting, select to speak setting off, accessibility setting off kaise kare, in hindi",2 466 451 katselukertaa,2.55,/@Akhileshgupt
lYv4TSPWjXE,Talkback is on press and hold volume and volume for 3 seconds to turn off | Touch Not Working,1 695 530 katselukertaa,4.28,/@TechDroidHindii
6mPnS8sPqvY,#WeAreUnStoppable National TV Commercial | Web accessibility is accessiBe,1 350 794 katselukertaa,1.01,/@accessiBe
mIbOXz0oHSo,How to Turn off Youtube Accessibility Player | Enable Accessibility Menu | Happy Deepavali,1 275 614 katselukertaa,6.03,/@TechScrewIndia
f2cx83xL3QU,How One Company Makes Accessible Vehicles For People Who Use Wheelchairs,1 187 217 katselukertaa,3.01,/@InsiderBusiness
_LbO-lr-6lU,Stories About Wheelchair Accessibility Around the World - Rolling On Trailer,1 056 060 katselukertaa,1.33,/@GoogleLocalGuides
J56JWTD342k,Fix Drive is Not Accessible,949 210 katselukertaa,4.19,/@Britec09
MxVc1sC2X3Y,How to Turn OFF Talk Back In Vivo Phones | Vivo Phones Me TalkBack Option Off kaise kere,900 788 katselukertaa,4.49,/@Amantechzone
MmPnh-nKOHU,"high risk feature enabled xiaomi, youtube cross button remove,accessibility setting off kaise kare",764 584 katselukertaa,4.41,/@Akhileshgupt
hI468kR3Nnc,Accessibility Setting Can Make Your Phone More Powerfull,675 970 katselukertaa,6.03,/@HindiTutorialsofficial
