Video Id,Title,View Count,Length,Channel
e6PnLWB9e48,Affected by Them,233 388 katselukertaa,3.05,/channel/UCaBb_AI7Ox6Z4SaE7D_BErQ
bzeeghe0rno,AFFECTED - Affection Fest Miroslav 2023,190 katselukertaa,4.09,/@mvajbar
o2t-CdELbSk,"Ramones - ""I'm Affected"" - End of the Century",20 240 katselukertaa,2.56,/channel/UCSrA5JaXpR21z_E1FDA03RA
GLUyokaYy3E,AFFECTED: The Manor Oculus Quest Release Trailer 12.12.2019,40 377 katselukertaa,1.12,/@fallenplanetstudios2656
8tmWJPDbx5U,twoloud - Affected (Official Video HD),391 202 katselukertaa,3.31,/@kontorrecords
ylwvV0huZDE,Psycho - Affected,1 278 661 katselukertaa,3.43,/channel/UCIs2OPiBUjAdzjE3GiLIOcg
BJRWHXHeN7c,WOULD YOU COME AND SAVE ME - AFFECTED,3 826 katselukertaa,5.33,/@ExiBandito
ahbRqcKz8SU,What is the Difference Between AFFECT and EFFECT?,175 275 katselukertaa,1.59,/@ProjectEDvideos
bJbf6C2LLn8,MAXTAGE - Affected (Official Music Video),2 485 katselukertaa,6.01,/channel/UCmnVI2yex3ws71Dwdntrx3g
q6FHO70J2u8,Yakuza 5 OST - Affected fight,398 562 katselukertaa,2.51,/@haidudu412
QPCPJorXWgA,Zombie Virus That Only Affects Children Leaves Adults To Fight For Survival,1 317 416 katselukertaa,12.57,/@storyrecapped
6VDOmscOApw,Affected - What are you waiting for [nxc],122 501 katselukertaa,2.51,/@ilyeto
SM9s5cOKe8c,OCULUS RIFT - AFFECTED #1: THE MANOR (Teens React: Gaming),12 976 344 katselukertaa,11.04,/@React
a-svJesoyno,V A C A N T // Affected,165 663 katselukertaa,4.51,/@WAVEVISION
F5JMKUJXEbk,AMAZING OCULUS RIFT HORROR GAME | Affected: The Manor,3 359 540 katselukertaa,14.53,/@markiplier
5elKiu8wz6s,OCULUS RIFT- AFFECTED #2: THE HOSPITAL (React: Gaming),5 001 668 katselukertaa,11.19,/@React
-7vzD0FMxEE,"Affected na motosrazu ""Suchohrdelská stretánka"" 14.5.2022",410 katselukertaa,5.09,/@Fanek73
2yGJ3RC4bDA,I'm Affected (Demo),28 080 katselukertaa,2.46,/channel/UCSrA5JaXpR21z_E1FDA03RA
oxX3YYXL380,affected,32 297 katselukertaa,0.54,/channel/UCW-Bmb9g_LBGueFEYDBqTkQ
