Video Id,Title,View Count,Length,Channel
ADATzN-DDuU,First Ever Initiative by Trainee Air Hostess to Improve Traffic Safety in Indore,88 896 274 katselukertaa,0.30,/@AKSAInternational
7CoRyx9SEC0,Make every journey exceptional | Qatar Airways,50 840 558 katselukertaa,1.01,/@qatarairways
s303EOcrvzA,In-flight Entertainment in Business Class SriLankan Airlines 🇱🇰,44 519 574 katselukertaa,0.22,/@Dale_Philip
beB249dZFlQ,Welcome to World Class,43 801 278 katselukertaa,1.30,/@singaporeair
ApPkdTNbcY8,Leo Messi vs Kobe Bryant - Legends on Board - Turkish Airlines,39 480 513 katselukertaa,1.01,/@LeoMessiFanClub
chhh4-2plYY,Emirates steals the show with the Los Angeles Dodgers | Baseball | Emirates Airline,37 113 724 katselukertaa,1.55,/@emirates
VPC3tfsyDeY,Travel bigger with Singapore Airlines,36 951 292 katselukertaa,0.30,/@singaporeair
yE6m2N_oJQY,When Airlines Start Weighing People #Shorts,35 016 519 katselukertaa,0.46,/@Chewkz
q5QnJ9OHkBI,"Ethiopia Plane Crash, Ethiopia Airlines B737 MAX Crashes After Takeoff, Addis Ababa Airport [XP11]",34 660 423 katselukertaa,10.16,/@BullBosphorus
Tad7zG0mnFU,Worst Planes Emergency Landing Ever | XP11,34 442 254 katselukertaa,5.45,/@bbb-gaming
21gK3Ei62Vs,Go Beyond - Turkish Airlines,33 234 325 katselukertaa,1.38,/@TurkishAirlines
uOLP0X-6hkQ,Airline Commander Trailer,28 686 500 katselukertaa,0.31,/@RORTOS
_O2_nTt1N6w,Singapore Airlines A380 First Class Suite London to Singapore (PHENOMENAL!),25 152 005 katselukertaa,28.34,/@luxurytravelexpert
xsF7i24NK0I,"TOP 10 AVIATION MOMENTS of 2020 - AIRBUS A380, HARD LANDINGS, BIRDSTRIKE ... (4K)",23 984 133 katselukertaa,12.58,/@Cargospotter
maPB_KMmMJU,6-Year-Old Genius Kid Becomes Etihad Airways Pilot for a Day,23 732 684 katselukertaa,1.40,/@etihad
3l2X991k2nk,Vistara Airlines Premium Economy Class review | Best airline of India,23 345 018 katselukertaa,1.00,/@ShankKulkarni
b1zsRXoC9fM,"Turkish Airlines, Antalya Airport to Istanbul Airport (A330, Economy Class)",22 799 867 katselukertaa,15.54,/@Gezen-Adam
oAHbLRjF0vo,The Better Boarding Method Airlines Won't Use,22 360 041 katselukertaa,8.28,/@CGPGrey
SJZk9vNS8NE,British Airways - Building the 787-9 Dreamliner,21 989 063 katselukertaa,4.00,/@BritishAirways
Ykv1wusguPc,Brand new Airbus 380 of Emirates Airlines-Departure,21 232 659 katselukertaa,3.18,/@AviationWall
