Video Id,Title,View Count,Length,Channel
pvPsJFRGleA,Justin Bieber - Holy ft. Chance The Rapper,221 963 013 katselukertaa,5.29,/channel/UCIwFjwMjI0y7PDBVEO9-bkQ
exW9PGRGonk,"Romeo Santos, Kiko Rodriguez - El Beso Que No Le Di (Official Video)",187 221 706 katselukertaa,3.31,/channel/UCyxbZF7_PK4nLiexj0kkCNg
OXBCV5WixCU,Julia Vitoria - De Dentro Pra Fora (Live Session),122 838 257 katselukertaa,5.19,/@musilerecords
rYQ5yXCc_CA,O Come to the Altar | Live | Elevation Worship,79 816 346 katselukertaa,5.55,/channel/UCSf-NCzjwcnXErUBW_qeFvA
XToA-1dZYWA,SunKissed Lola - Pasilyo (Official Lyric Video),41 422 971 katselukertaa,4.36,/channel/UCFE2B6_g6U-DrjzCWamZgPw
mwJVhOykBvc,Trilogia FM O Dia - Te Levar Pro Altar (Clipe Oficial),35 728 254 katselukertaa,4.26,/@radiofmodia
ycWDFd0yCHA,O Come To The Altar - Elevation Worship,26 868 190 katselukertaa,5.55,/@generation911studentminist2
PvysT9l7qhU,PERTO QUERO ESTAR  Toque no Altar LEGENDADO,23 501 675 katselukertaa,4.53,/@louvores_edificantes
Fal-ROykq-4,Averly Morillo - Ante Tu Altar - Oficial,22 154 690 katselukertaa,8.07,/@averlymorilloficial
rzNdGfjlAhw,Isaque Marins e Maria Marçal | Gerado no Altar #MKNetwork,21 209 326 katselukertaa,5.15,/channel/UC-M5bTSGfi1zJW_bnfaprjQ
prEYriU99jw,De Volta Para o Altar - Luanna e Francisco ( Com Letra ),20 324 535 katselukertaa,5.27,/@ethernizemusic
BGDOdMpTV2o,Grupo Grace Feat @OASISMINISTRY  - Los Brazos de Papá (Libres Live),13 818 608 katselukertaa,12.18,/channel/UC4MdDEeiLKIhahKqSIHQVWQ
wdtxqAjWjEU,Valesca Mayssa | Eis-me Aqui  [Clipe Oficial],13 306 778 katselukertaa,7.57,/channel/UCpf5YXmzGHC4m5uLCdlrrfA
4zBC3SKOP_o,O Come to the Altar (Live),12 714 085 katselukertaa,5.50,/channel/UCSf-NCzjwcnXErUBW_qeFvA
174tMY01iqo,Jessica Reedy - Put It On the Altar,11 864 898 katselukertaa,4.09,/@Lyrk75
PIXwCWAhpKY,Maria Marçal e Isaque Marins | Gerado No Altar #MKnetwork,10 230 788 katselukertaa,5.15,/channel/UCRd1LNVq7Bu8yvNEJDt3MEA
qdnQZZ1E9OI,Cuanto Más Te Busco | MOMENTOS EN EL ALTAR | CENTRO VIDA,8 200 171 katselukertaa,15.32,/@CentroVida
hqGopp-jzQA,Yo Soy Un Altar COVER Pastora Virginia Brito,8 027 280 katselukertaa,17.34,/channel/UCLSmpelb6RNAG2QtSwoJ8cg
gOnp0Kuq-9M,Altar | Brasa Church Music | Liz Johnson,7 886 420 katselukertaa,7.05,/channel/UCL_EPxTjC3RD7xYq1MIXK3g
8sbuR-fLTgg,"TAUREN WELLS ft. Davies - The Worship Medley: Reckless Love, O Come to the Altar, Great Are You Lord",7 785 440 katselukertaa,6.58,/@essentialworship
