Video Id,Title,View Count,Length,Channel
8dVt7eE3BAo,☀️ Summer Fun at the Beach ☀️ Talking Angela (Shorts Combo),1 946 097 137 katselukertaa,4.53,/@TalkingAngela
4F6yNyyftRg,Talking Tom Shorts Mega-Pack (Binge Compilation),787 684 503 katselukertaa,14.24,/@TalkingTom
Ge4AKbnr6ME,"Christian Nodal, Ángela Aguilar - Dime Cómo Quieres (Video Oficial)",686 611 933 katselukertaa,3.02,/channel/UCtqOng3GVhQVu1Gl-3UlyAQ
jvkW1MKSyOc,ALL Talking Tom Shorts - Hyper Marathon,656 482 154 katselukertaa,30.59,/@TalkingTom
Dtm5nMlqq1Q,Talking Tom Shorts – Ultra Marathon (All Episodes),614 156 732 katselukertaa,20.42,/@TalkingTom
Q8xIa7KcI1A,"Yuridia, Angela Aguilar - Qué Agonía (Video Oficial)",500 806 173 katselukertaa,2.36,/channel/UCrkMQGSWGoNokFc0vKfciKA
vtv_VSw_nhg,Tom and Angela - You Get Me (from Talking Friends),366 593 056 katselukertaa,2.56,/@disneymusic
Ecl8Aod0Tl0,Burna Boy - On The Low [Official Music Video],350 708 820 katselukertaa,3.23,/channel/UCEzDdNqNkT-7rSfSGSr1hWg
JuUt0Ej3B2Y,"""Tu Sangre en mi Cuerpo"" Angela Aguilar (feat. Pepe Aguilar)",250 903 117 katselukertaa,5.02,/channel/UC-N64vzpIAqoTgKMeOxCDhA
h5z99EYHY4I,Angela Aguilar - La Llorona - Video Oficial,220 779 874 katselukertaa,5.50,/channel/UCugX5B6n1jtQq2ihzhRk-Ag
Lqu1rpYqw8Q,My Talking Angela - Official Trailer,208 288 351 katselukertaa,1.47,/@TalkingAngela
cuQIfizNFL0,@jeetrajpurohitvlogs1261 | Aankh Mareh Kumar Sanu | Ranveer Singh Song - {SIMMBA} By Tom & Angela,192 476 797 katselukertaa,3.21,/@jeetrajpurohit4381
fbmJ_mI2ywE,💖🍰 Bake With Me! 💖🍰 Sweet Treats in My Talking Angela 2,191 083 708 katselukertaa,0.55,/@TalkingAngela
alJed4Dadu8,📢✨ Talking Becca in the House! ✨📢 Talking Tom & Friends BECCA Special,148 313 203 katselukertaa,20.52,/@TalkingFriends
rvF4RKXY7uY,My Talking Tom and Talking Angela Gameplay Part 29,143 583 137 katselukertaa,10.02,/@P2ENoobPro
uqsGUAM9WDk,Hatik - Angela,135 051 501 katselukertaa,3.14,/channel/UC2qYnTW-cuVAqghnekPU6Jg
M9nnuY_42cM,The Digital Queen - Talking Tom & Friends | Season 4 Episode 2,132 742 636 katselukertaa,11.16,/@TalkingFriends
RFmhqe9hND8,Los Ángeles Azules - El Listón de Tu Pelo ft. Ángela Leiva,131 620 786 katselukertaa,3.38,/channel/UCYTPYsuIRSu7o9xmeB_L4_g
KFWhRKh-bZo,Jah Khalib - Созвездие ангела,127 136 626 katselukertaa,5.20,/channel/UC1bWsHn3uRUWfKPx1rT5CKw
fJtDXBsEHKE,🎁 Tom Lost Angela’s Gift 🛍 - Talking Tom Shorts (S2 Episode 18),126 540 215 katselukertaa,10.34,/@TalkingTom
