Video Id,Title,View Count,Length,Channel
KDo8n_7_2YI,Brave woman fights off male attacker while alone at gym #Shorts,133 764 868 katselukertaa,0.37,/@USATODAY
fDjyEwWfPQg,Attack Full South Indian Hindi Dubbed Movie | Bellamkonda Srinivas Action Movies Hindi Dubbed Full,115 054 258 katselukertaa,2.00.17,/@southdubmovies5003
Ma3Y-qekYos,"Attack | Official Trailer | John A, Jacqueline F, Rakul Preet S | Lakshya Raj Anand| April 1st, 2022",38 839 161 katselukertaa,1.39,/@PenMovies
A-OIFDfGtY4,Attacker Vs. Goalkeeper 🔥 #Shorts,31 946 489 katselukertaa,0.10,/@ModernGoalkeeping
nfrAhGoXJEU,Thor saves kid from attacker! #foryou #Sigma #meme #hero,28 903 080 katselukertaa,0.16,/@youngwolflucian
jZ_GTFz8gsA,How to defend against multiple attackers!,14 625 670 katselukertaa,0.57,/@BudoBrothers
2KRQGfYfAoU,Man Fights Off Armed Home Invader to Protect Fiancé | I Survived a Crime | A&E,12 795 092 katselukertaa,5.19,/@AETV
9FiIkT3WkWg,Watch: Florida woman fights off gym attacker,12 760 878 katselukertaa,2.59,/@NBCNews
INlQIF9majs,Attacker vs Defender 😱,12 402 670 katselukertaa,0.13,/@crazysports360
6S4XVJeern0,Cristiano Ronaldo ● Complete Attacker 2013 HD,11 352 144 katselukertaa,12.28,/@JavierNathaniel
-f02fJEMmgo,"Buddy Murphy reveals Roman Reigns’ alleged attacker: SmackDown LIVE, Aug. 6, 2019",11 194 597 katselukertaa,2.46,/@WWE
vX-OOfbnD9w,How to Survive a Dog Attack,10 728 262 katselukertaa,6.14,/@BRIGHTSIDEOFFICIAL
kztCdjkeOSE,"Ronaldo VS Attackers 🐐🔥(M.City, Barcelona, Psg)💥😈",10 700 968 katselukertaa,0.23,/@Mixedfootball
HcFDFEeYRyQ,Attack - HAWKCRY ft. JUNGJI X HIGHJACK (prod.DMRL),8 143 991 katselukertaa,3.03,/channel/UClnIgi5UrJthvOQQQHoXThg
78DQlE3V3jI,Attacker vs Defender - Core Destruction 5 - Marble Race in Algodoo,7 455 357 katselukertaa,12.31,/@mikan2d
8nYPQjbL4Ws,"Maradona VS all attackers players (Messi,pele,Ronaldo, Ibrahimovic,Neymar)🤩🤩#shorts #footballshorts",6 557 493 katselukertaa,0.23,/@sportsbaba610
yRY4x4x-1zM,"Ronaldo jr vs Attackers (Ronaldo,Messi,Thiago Messi) 😈🔥 #shorts",5 900 519 katselukertaa,0.22,/@GOAT10HDEDITS
qugbTwxfgqQ,G.O.A.T Attacker 🐐🔥 #shorts,4 550 964 katselukertaa,0.18,/@mr_khan10
Q6UxGtMcpI0,Best attacker vs best defender in table tennis,4 240 751 katselukertaa,20.56,/@pingsunday
bnAyqf6CYB0,How Vladimir Putin's Bodyguards Respond to an Attack,3 792 224 katselukertaa,3.14,/@InsaneLuxury
