Video Id,Title,View Count,Length,Channel
gDlWTszVqgk,Trap King X Djalil Palermo - Bizzare (Official Music Video) Beat by Mhd Prod,60 869 370 katselukertaa,4.04,/@TrapkingTVofficiel
VfzhSbFPSRg,Lorenzo ft. Vald - Bizarre (Clip Officiel),54 304 651 katselukertaa,3.50,/channel/UCrQjCrWOS63rBxO15TA5CfQ
cPCLFtxpadE,Roundabout (2008 Remaster),50 756 560 katselukertaa,8.36,/channel/UCJ2BSIyIU84ZtJ9MiLh0jZA
NFjE5A4UAJI,JoJo's Bizarre Adventure: Stardust Crusaders OST - Stardust Crusaders,48 405 364 katselukertaa,5.08,/@jojosbizarreadventures4492
hlCIFS0FCnE,Dora the Explorer meets Jojo’s Bizarre Adventure | Japan Expo 2022 #shorts,38 689 503 katselukertaa,0.05,/@86thfloor
C2cMG33mWVY,OMC - How Bizarre (Official Music Video),37 435 417 katselukertaa,3.48,/channel/UCjivhOFH3ANstWFBKhfRZaQ
qIBHCZZVF4A,BILAL SGHIR - Sentiment Bizarre | بلال الصغير,31 116 164 katselukertaa,4.33,/@SkyprodsOfficiel
cFmmmj6a2sY,Blood Clot - Bizarre ER,30 850 825 katselukertaa,5.14,/@OfficialBizarreER
PQK4FMRItGY,The most BIZARRE Premier League goal? #shorts,28 285 848 katselukertaa,0.20,/@premierleague
qMkYlIA7mgw,Canada & The United States's Bizarre Border,24 871 689 katselukertaa,4.42,/@CGPGrey
qlaRFRA4qFU,CRAZY NOISY BIZARRE TOWN,23 046 989 katselukertaa,3.07,/channel/UC4A7daYOpdWdp0AMozmsqYg
QGOCZzvphbY,David Deejay ft. Dony - So Bizarre (Official Music Video),22 904 226 katselukertaa,3.18,/@spinninrecords
-hOIwiVcn6g,( 1/3)Villagers Infected With A Bizarre Virus Turned Into Monsters#shorts #movie,21 438 612 katselukertaa,0.59,/@elephantmovie4607
1McPiczNkGg,JoJo's Bizarre Adventure: Steel Ball Run OST: Main Theme ~ Johnny's Theme | Fan Made,21 151 904 katselukertaa,4.43,/channel/UCxNHoPzGagd7YxvWavZj8Ag
MfmoIHY7Z-k,JOJO'S BIZARRE MAKEUP TUTORIAL,19 661 193 katselukertaa,0.32,/@TheHouseoftheDank
tkOr12AQpnU,New Order - Bizarre Love Triangle (Official Music Video) [HD Upgrade],19 240 048 katselukertaa,3.52,/channel/UCeROFwqsf3ADf02l5JzVKJg
bC6C-GrAO2U,JoJo's Bizarre Adventure Stardust Crusaders But Really Really Fast - Animation,18 337 503 katselukertaa,12.01,/@Viva_Reverie
vQZmRqxnH6M,Bayer Leverkusen 'ghost goal' - the most bizarre goal in football? | #BTSport,17 923 823 katselukertaa,1.23,/@TNTSports
HkRjIq8Cp2A,The Bizarre Case of Stephen McDaniel,17 815 716 katselukertaa,38.28,/@JCS
DefXS17jZwE,DIO ZA WARUDO compilation (JoJo's Bizarre Adventure:Stardust Crusaders),16 610 204 katselukertaa,4.36,/@JohnnyJoestar
