Video Id,Title,View Count,Length,Channel
Wt2gaVmu0eQ,Borrowed Trailer,25 766 katselukertaa,2.36,/@borrowedfilm5826
cyPmhh3euS0,LeAnn Rimes - Borrowed (Official In-Studio),368 710 katselukertaa,3.41,/channel/UC59d_iEW_aUgWyKAqRnj1xg
3mb97FjScpM,Metro Boomin - Borrowed Love (feat. Swae Lee & WizKid),11 514 256 katselukertaa,3.51,/channel/UCKC11MOR51CLg4JpYj8jb4g
Gu8OO7IV6bc,Borrowed Hearts (1997) TV Movie,177 089 katselukertaa,1.27.29,/@meganstv3851
W7krdoXswQA,Borrowed Future | How Student Loans Are Killing The American Dream,468 305 katselukertaa,1.28.35,/@TheRamseyShow
mpt6a7EKjtQ,Mo Pitney   Borrowed Angel,3 138 512 katselukertaa,4.18,/@CountryRoadTV
U2p1u13R-eE,Something Borrowed Official Trailer #1 - (2011) HD,3 400 617 katselukertaa,2.59,/@MOVIECLIPS
4G5cXMrV0B4,Borrowed Time by Andrew Coats & Lou Hamou-Lhadj,198 590 katselukertaa,6.00,/@HW2MK
aHQJsCLAcbw,Brilliant Version Of Borrowed Angel!,7 408 954 katselukertaa,8.01,/@heyhey1956
WAPp-H7Q3Eg,Borrowed,46 037 katselukertaa,3.33,/channel/UC59d_iEW_aUgWyKAqRnj1xg
1rES-zyNffk,LeAnn Rimes - Borrowed,174 133 katselukertaa,3.34,/@What28001
9_iqifzdNrM,LeAnn Rimes & Stevie Nicks - Borrowed (Re-Imagined),176 882 katselukertaa,3.33,/channel/UC59d_iEW_aUgWyKAqRnj1xg
Cqtvm_2exk8,Rick and Morty Official Soundtrack | Borrowed Time - Tennis | Rick and Morty,1 090 183 katselukertaa,3.02,/channel/UC49KbKW_bidB1m2rp8ArjpA
WggUweuTFxg,Borrowed Time - John Lennon (official music video HD),1 013 711 katselukertaa,4.44,/channel/UCYU4eunPInnHTNWfGvOgkbg
oBq79NNV_rs,The Borrowed Christmas | FULL MOVIE | Family Christmas Movie,459 995 katselukertaa,1.33.29,/@FamilyTime_TV
2ggz0CVYMoI,Borrowed time by cueshe // aesthetic lyrics,19 656 677 katselukertaa,3.59,/@audentiqMUSIClyrics
riz0pWM80ns,Cueshé - Borrowed Time,11 500 705 katselukertaa,4.17,/@CuesheVEVO
vkurfHbLXH4,Something Borrowed First Love Confession,4 100 834 katselukertaa,4.46,/@colomerican
lERV9K6BzfY,metro boomin - borrowed love (feat. swae lee & wizkid) (lyrics),148 945 katselukertaa,3.51,/@OPIUMlyrics
B5284INtK-4,Lewis Capaldi - Something Borrowed Demo (Official Audio),1 693 094 katselukertaa,3.17,/channel/UCveFkLdSOUsGwMJEgedO9dQ
