Video Id,Title,View Count,Length,Channel
AeadLurGR1U,Bread - Everything I Own (1972),704 716 katselukertaa,3.07,/@djluizphanton
c0uMXA51DXA,David Gates & Bread Greatest Hits With Lyrics,19 849 634 katselukertaa,33.18,/@SuperproxyVideos
flzdGadyB8U,The Very Best of Bread - 20 Great Songs,409 010 katselukertaa,1.02.05,/@FootlooseMusicCD
3ITFN6p24Jw,Best Songs of BREAD - BREAD Greatest Hits Full Album- Bread Light Rock Songs 70s 80s,4 824 123 katselukertaa,1.20.48,/@newmusic1377
7ATdmJrCbfA,BRED - Give It To Me (Remix),786 624 katselukertaa,2.53,/@sirius-t
eiNHmOIzDpg,TIMBALAND - GIVE IT TO ME (Bred Remix TikTok 2022),434 963 katselukertaa,3.57,/@OSSMRecordsTM
PbROjAx1mKQ,Bread - As Melhores,279 957 katselukertaa,11.38,/@MrJotaloba2011
7wZCOUO8y3k,CG5 - Bred to be Bad (Bad Guys Original Song),2 936 986 katselukertaa,2.37,/channel/UCLCdyRg3u5O-EVP5p46QxcQ
cefOV8kFSRA,BREAD  -  EVERYTHING I OWN  1972  Subtitulos Español & Ingles,910 872 katselukertaa,3.19,/@AngelPalomar
xXAGwIsHTDg,Bread - Make It With You Subtitulada en español,758 157 katselukertaa,3.16,/@mikaelmephistos
96abIIDhlSw,BRED - Give it To Me Remix (Extended Mix),24 557 katselukertaa,2.38,/@musiccollection.
j2A-ByRA4vY,Give it to me (remix) - BRED,199 417 katselukertaa,2.53,/@tophits1288
cbcEKPSit8E,Bread 2023 MIX ~ Top 10 Best Songs ~ Greatest Hits ~ Full Album,1 575 539 katselukertaa,1.06.33,/@EARMDO3128
te_Asn_Pqj4,BRED TO WIN EP 1 2023 - WHOLE SHOW,1 045 katselukertaa,23.53,/@carolinesearcy
egF4at0R53U,Give It To Me 越南鼓 (Bred Remix Tiktok 2022) DJ抖音版 - Aa Boom | Hot Trend Tiktok Douyin -Give To Me Ver,98 891 katselukertaa,3.04,/@AnthDEDM
IY0fs54WVMo,RICE | BRED + LJ | Official Music Video,505 329 katselukertaa,3.45,/@denverbailey
WGQGLfDJ59E,Burna Boy Used To Chase After Davido & I - Bred Reveals [FULL GIST],98 577 katselukertaa,1.08.24,/@EchooRoom
ucnBatzcBXA,Get Em While You Can! YEEZY 350 BRED Review & On Foot,148 574 katselukertaa,9.23,/@elliotpage_
GSWk9mM-jq4,BRED Abu Dhabi presented by Hypebeast,1 005 277 katselukertaa,0.55,/@bredabudhabi
