Video Id,Title,View Count,Length,Channel
h5jz8xdpR0M,Bishop Briggs - River,274 232 274 katselukertaa,3.36,/channel/UCAOUTJyHMjLgLcu71xMEyAQ
xVbhHdjnrXs,River,103 161 975 katselukertaa,3.35,/channel/UCAOUTJyHMjLgLcu71xMEyAQ
tnMFp53wrRg,[Artist Of The Month] 'River' covered by ITZY YEJI(예지) | March 2021 (4K),54 708 633 katselukertaa,2.37,/@STUDIOCHOOM
3pHYxx9dY_U,Bishop Briggs - River - Choreography by Galen Hooks - Filmed by @TimMilgram,44 226 450 katselukertaa,4.33,/@timmilgram
1MQfbLGS0Qs,"Bishop Briggs ""River"" Choreography by Galen Hooks",35 989 412 katselukertaa,2.46,/@KinjazDojo
SNiI84v1u20,Bishop Briggs - The Way I Do (Official),27 708 242 katselukertaa,4.11,/channel/UCAOUTJyHMjLgLcu71xMEyAQ
syhBqULC99I,Bishop Briggs - White Flag,25 902 907 katselukertaa,4.14,/channel/UCAOUTJyHMjLgLcu71xMEyAQ
k6IAYwH6MeI,Bishop Briggs - River [TRADUÇÃO],25 457 780 katselukertaa,3.40,/@SEMLEGENDAA
gVsEm_QRWiQ,Bishop Briggs - JEKYLL & HIDE,25 078 551 katselukertaa,3.16,/channel/UCAOUTJyHMjLgLcu71xMEyAQ
chm8L-ms6Qk,Vitali Klitschko vs Shannon Briggs (Highlights),21 144 711 katselukertaa,14.55,/@KlitschkoTV
m2GMZaEvRKk,Bishop Briggs - River (King Kavalier Remix),18 666 056 katselukertaa,3.19,/@TrapNation
OLtdj-DGM8o,Bishop Briggs - River - [BONUS GROUPS] Choreography by Galen Hooks - Filmed by @TimMilgram,18 447 426 katselukertaa,3.07,/@GalenHooks
1YbN-ssuOQo,River (Bishop Briggs) - THUNK a cappella feat. Freshman Fifteen,16 646 370 katselukertaa,4.21,/@THUNKacappella
akrnJEjUUm4,Bishop Briggs - Dark Side (Audio),16 228 691 katselukertaa,3.29,/channel/UCAOUTJyHMjLgLcu71xMEyAQ
bqsiJPK-94Q,Bishop Briggs - Dream,15 415 198 katselukertaa,3.18,/channel/UCAOUTJyHMjLgLcu71xMEyAQ
ahGYnPjGLRo,Bishop Briggs - River (Lyrics),14 301 389 katselukertaa,3.37,/@lghttrcks
yU8u5r-xY9Y,Bishop Briggs - River [ lyric ],13 315 172 katselukertaa,3.41,/@fmmusic3687
6I0hXe0cMUM,Bishop Briggs - Wild Horses,12 800 204 katselukertaa,3.12,/channel/UCAOUTJyHMjLgLcu71xMEyAQ
VjPQA8aXE_M,This reaction is hard to find (Briggs-Rauscher),12 449 025 katselukertaa,1.00,/@NileRedShorts
UMDQN-KIySg,The Way I Do,10 943 726 katselukertaa,4.04,/channel/UCAOUTJyHMjLgLcu71xMEyAQ
