Video Id,Title,View Count,Length,Channel
njbBjuF6RyM,Why did it take so long for France to conquer Brittany? (Short Animated Documentary),957 632 katselukertaa,3.32,/@HistoryMatters
nQVi2Y0B_JE,VLOG | August Recap,52 048 katselukertaa,45.22,/@BrittanyBathgate1
_fHBJnEVWoE,I Was The Only POOR Girl At A PRINCESS ONLY Sleepover! (Roblox),16 025 katselukertaa,19.05,/@BrittanyPlays
QrVBZ0w7kMY,CAMERAMAN Had A CRUSH On Me! (Roblox),32 184 katselukertaa,17.38,/@BrittanyPlays
wrNAvXTeS80,10 Best Places to Visit in Brittany 4K HD Travel Exposure,36 859 katselukertaa,6.59,/@tourandtrips1290
_G8KftsWYEQ,"♡ ""Forgetful."" 😊 ♡",2 740 katselukertaa,0.34,/@brittanybrowning8896
1AYZr4cqL18,exploring boyfriend asmr,1 050 598 katselukertaa,20.41,/@Brittany_Broski
fZdhYG50hJE,POPULAR Boy Has A CRUSH ON ME! (Roblox),65 746 katselukertaa,15.34,/@BrittanyPlays
862PuEi0BJw,Brittany Elise - Live with Country Kickback,20 katselukertaa,33.37,/@countrykickback
uTEtjfjWdOk,I Was A NOBODY... I Became FAMOUS! (Roblox),31 148 katselukertaa,19.03,/@BrittanyPlays
3EtH2IQYlfc,I Found Baby Brittany's SECRET Underground Base! (Roblox Bloxburg Story),815 278 katselukertaa,13.32,/@BrittanyPlays
VIKGU9kif9w,My Sister's BOYFRIEND Has A CRUSH ON ME! (Roblox),274 314 katselukertaa,20.28,/@BrittanyPlays
CiuDnTlVVIw,ADOPTED By RAINBOW FRIENDS!! (Roblox),184 452 katselukertaa,18.22,/@BrittanyPlays
CWhfboYeKis,ADOPTED By STRICT MOM! (Roblox),33 156 katselukertaa,20.28,/@BrittanyPlays
qgUPSCqGUOk,My Mom HATED The BAD BOY! (Roblox),69 242 katselukertaa,22.04,/@BrittanyPlays
YJX4CBohso0,I Was The ONLY GIRL At An ALL BOYS SCHOOL! (Roblox),44 956 katselukertaa,18.41,/@BrittanyPlays
cGrx-vwLL_8,I Built A SECRET GAMING ROOM To Hide From My SPOILED SISTER! (Roblox),250 208 katselukertaa,25.19,/@BrittanyPlays
zuUhn6uJ2G4,Northern Brittany - Travel Documentary,67 407 katselukertaa,51.35,/@BestDoc
