Video Id,Title,View Count,Length,Channel
PGJ43zaam_0,BAD BUNNY - BOOKER T (Video Oficial),284 553 916 katselukertaa,2.54,/channel/UCmBA_wu8xGg1OfOkfW13Q0Q
-dglo50zgag,DAY 365 | HOMELESS | enjoy the coast with us #shorts,117 330 659 katselukertaa,1.01,/@brrookejoness
VsmfhfRq3kw,Please tell me I’m not the only one #shorts,74 643 756 katselukertaa,0.12,/@Brookemonk
rp2nEbih_AM,"Double the trouble, but always double the fun 😊 mama credit: @brooke.n.shae",69 861 845 katselukertaa,0.14,/@tuckandbundle
LK2VWXf707Y,Which is your favortie? #hairstyle #shortvideo #shorts #short,60 030 437 katselukertaa,0.58,/@Brookemonk
rK4Sd86_pEQ,I refuse to believe this #shorts,53 220 007 katselukertaa,0.13,/@Brookemonk
uNlHLoiB6GA,Ally Brooke - Low Key (feat. Tyga),43 516 361 katselukertaa,3.58,/channel/UCzMPEz_H_8B8kem67MKVbQw
pb9Bug7WdGc,"Braylon found Brooke's ""ear cleaners"" ... *HILARIOUS* #Shorts",43 141 052 katselukertaa,0.49,/@TheBeverlyHalls
SHFBZcpqLYM,MattyBRaps - Sixteen ft. Brooke Adee,36 473 659 katselukertaa,3.11,/@MattyBRaps
skHwjaZPKfs,Lola Brooke feat. Billy B - Don't Play With It (Official Video),35 312 690 katselukertaa,2.25,/channel/UCA7OkZ7g4QQenRfWZQnsDQg
q9vgb_kZzrA,You have to try this! #shorts,33 977 479 katselukertaa,0.23,/@Brookemonk
FR8PVQy93HY,Tag someone you would do this with #shorts #couple #love #christmas,33 558 904 katselukertaa,0.24,/@Brookemonk
rXoAGQjuCPk,Dance Moms: Brooke's Costume Is Too Ugly (Season 1 Flashback) | Lifetime,29 846 815 katselukertaa,5.06,/@Lifetime
9MdmHb5r4NM,"Ronda Rousey makes short work of Dana Brooke: Raw Exclusive, March 19, 2018",29 738 879 katselukertaa,4.04,/@WWE
NbTr-pbf2vQ,Wait for it… #shortvideo #funny #couple #love #shorts,28 786 887 katselukertaa,0.23,/@Brookemonk
RO2tmBUwyi4,Who can relate? #shorts #couple #love #funny #comedy,27 421 059 katselukertaa,0.07,/@Brookemonk
QLG7fILi_U0,Near albatross for Brooke Henderson!! 😯😯😯,25 978 765 katselukertaa,0.19,/@LPGA
j6HnsCFFr30,OF Model Elle Brooke Shutdown Piers Morgan 🤣,24 566 428 katselukertaa,0.16,/@InternetCulture
BvXyRekbV1s,Wait for it #shortvideo #relatable #funny #comedy #short #shorts,22 619 893 katselukertaa,0.24,/@Brookemonk
ZuCnKQZ7_AE,"Lola Brooke - Don't Play With It (Remix) (Official Video) ft. Latto, Yung Miami",22 263 396 katselukertaa,3.06,/channel/UCA7OkZ7g4QQenRfWZQnsDQg
