Video Id,Title,View Count,Length,Channel
DFHTI2RQhBE,[KAN/ROM/ENG] BUG (Bagu/バグ) Nightcord at 25:00 × Len Cover [COLOR CODED LYRICS],1 606 254 katselukertaa,2.50,/@lunimina
2Ii7UBMxWVw,バグ / 25時、ナイトコードで。 × 鏡音レン,35 745 900 katselukertaa,2.54,/@pj_sekai_colorfulstage
RNoMAXKvEvs,30 Most Dangerous Insects In The World,4 849 034 katselukertaa,21.38,/@TheFeatheredFriend
gC5-vjZ77s8,*BUG DE XP AFK ROTÍSIMO* COMO SUBIR RÁPIDO de NIVEL en FORTNITE! SUBE AL NIVEL 100! CAPÍTULO 4,7 852 katselukertaa,14.29,/@WildSantiago
0Hr6azkQPiE,24 Hours Challenge my Dad's Car,43 796 539 katselukertaa,15.00,/@LittleBigToys
Q3FFcmGZM70,Bug makes Eggville house for pets 🐥 🐥 🐥,26 953 053 katselukertaa,9.53,/@LittleBigToys
YPBMyD50JAc,Bug Builds A Magical Playhouse!,679 725 katselukertaa,10.21,/@LittleBigToys
wU7yRH7qnMM,BUG MEMES,44 481 katselukertaa,27.01,/@VaazkLShorts
SEGVgv0mUXY,Bug Cleans Room and New Hobby,884 270 katselukertaa,8.46,/@LittleBigToys
et7rA-hC3Sk,60 Minutes! The Best Little Bugs Songs!  - Kids Songs & Nursery Rhymes,23 758 108 katselukertaa,1.08.41,/@ChildrensNurseryRhymes
qKzwIB6yqj8,"Bug tried ""Pendulum Painting"" and it was Insane!",1 488 493 katselukertaa,7.08,/@LittleBigToys
lNV9KpnQPZk,Epic Room Makeover 🌈 Bug's Room Tour !!!,18 688 861 katselukertaa,9.58,/@LittleBigToys
tOdr_me7rNE,Bug has a funny boat idea | will it work? I Little Big Toys,2 404 287 katselukertaa,9.38,/@LittleBigToys
FSzh981zcqQ,"MINUSCULE Clip - ""Racing Bugs"" (2012)",610 713 katselukertaa,3.59,/@JoBloAnimated
zsZt7ACpPKU,Bug's Mermaid Friend Situation,181 332 243 katselukertaa,8.22,/@LittleBigToys
1FDgO8VaYWw,You won’t believe this giant Mexican bug,8 308 377 katselukertaa,0.25,/channel/UCGt7X90Au6BV8rf49BiM6Dg
7M5g7x2kyJc,Dad Gave Bug a Big House for all birds,23 036 413 katselukertaa,10.29,/@LittleBigToys
ltnS4MUq2eA,Bug's UNICORN Barbie Airplane Boxfort / Airport Pretend Play,58 547 557 katselukertaa,18.49,/@LittleBigToys
sTJM4xEXAqI,Bug's Pink Fire Truck | Funny Rescue Mission  | Little Big Toys,62 489 428 katselukertaa,10.21,/@LittleBigToys
w6ptczV8ib4,Bug's Eggville Picnic for Pets | Little Big Toys,11 967 577 katselukertaa,8.51,/@LittleBigToys
