Video Id,Title,View Count,Length,Channel
RvSwhkKJUKo,ZHC’s Girlfriend Is A Human Calculator! #shorts,131 026 737 katselukertaa,0.34,/@zhc2
8bWyGcivj_s,Human Calculator Ke Hunar Ne Chauka Diya Har Kisiko | Hunarbaaz #Shorts,87 756 840 katselukertaa,0.59,/@bollywoodnow
kvymoFdjuHw,15 Year Old YAASHWIN SARAWANAN Is A HUMAN CALCULATOR! | Asia's Got Talent 2019 on AXN Asia,79 990 532 katselukertaa,5.42,/@AsiasGotTalent
waqTtb92sl8,The Fastest Human Calculator  #48,67 732 554 katselukertaa,1.00,/@NasDaily
e68-XmjEGvk,Human Calculator Solves World’s Longest Math Problem #shorts,53 186 685 katselukertaa,0.34,/@zhc2
tHH7q_NI_xA,HUMAN CALCULATOR vs CALCULATOR #shorts,53 124 128 katselukertaa,0.41,/@jordanmatter
VlAmfVEoAa4,Smartest Human Calculator!!!,47 868 259 katselukertaa,0.54,/@morphreality
bbazVbeFVGA,Human Calculator,25 146 184 katselukertaa,1.01,/@Incomeparent
AdH79G6BFkE,REAL LIFE Human Calculator with ZHC!😮🤖,24 516 759 katselukertaa,0.40,/@PrestonReacts
e4PTvXtz4GM,Faster than a calculator | Arthur Benjamin | TEDxOxford,23 736 501 katselukertaa,15.04,/@TEDx
Ds8ijPsg26g,How To Calculate Cube Roots - Genius Trick,14 983 690 katselukertaa,4.37,/@MindYourDecisions
itgttzNOJKk,When you calculate your mom and dad age😂,14 806 134 katselukertaa,0.15,/@Hunchocollins7
YeAp15OmW2s,Calculator Game Review | The Amazing World of Gumball | Cartoon Network,13 830 430 katselukertaa,1.37,/@cartoonnetwork
X-Ant7Twxc0,Questions I get as a human calculator #shorts,13 276 479 katselukertaa,0.16,/@msmunchieshorts6201
EIiTfpjVrEw,Fastest Human Calculator #358,11 932 169 katselukertaa,1.00,/@NasDaily
-KttdsAnNRk,10 People vs 1 Human Calculator!,8 768 475 katselukertaa,10.57,/@MsMunchie123
JqCQ1ebBndE,5 People vs 1 Human Calculator!,7 506 555 katselukertaa,12.32,/@MsMunchie123
nduMTX86Zl0,Running Doom on a Calculator! TI-83 Plus Games Tutorial,6 907 537 katselukertaa,10.53,/@LGR
B9Km5BIWf6U,TXT Vs Human Calculator,6 530 565 katselukertaa,0.53,/@MsMunchie123
xCdxURXMdFY,Math Antics - Area,6 329 188 katselukertaa,10.26,/@mathantics
