Video Id,Title,View Count,Length,Channel
kfB0r_Ig7VU,DIY HOT Wheels Race Truck Powered by 2x CO2 Cartridges,82 025 710 katselukertaa,5.05,/@TheQ_original
P1_7WUw_h-A,40 S&W pistol cartridge keychain #shorts,29 378 476 katselukertaa,1.00,/@CordWire
bWHTuxgRMmI,Imperial Japanese Army Cartridge Box & Ammo Pouch Demonstration,26 322 123 katselukertaa,1.00,/@hattorihan7503
lD-Y914MB78,Casting bullet - Trash to treasure . Melting cartridge case - ASMR brass casting,22 265 320 katselukertaa,12.32,/@hotmetal85
4qGbDvvemVM,Does Call of Duty get this wrong?? Can YOU get this right? 🤔🧐,16 919 024 katselukertaa,1.00,/@Bluedrake42
eiUlGFr2BcU,Casting bullet - Trash to treasure - melting cartridge case -ASMR brass casting,14 740 979 katselukertaa,9.12,/@hotmetal85
VnfDtVV7dHs,IS AN EXPLODING CARTRIDGE DANGEROUS,12 732 609 katselukertaa,4.06,/@hydraulicpress
AHX6tHdQGiQ,Mustekasetit ovat huijausta,10 734 061 katselukertaa,12.16,/@austinmcconnell
EHCmibM3CWs,How gun works: All you need to know about bullets (how it's work) - Animation,7 131 968 katselukertaa,3.09,/@NetGrook
NxEAgqkpn1k,Inside the Deadly World of Counterfeit Vape Cartridges | Should You Be Afraid?,6 887 529 katselukertaa,15.55,/@VICE
PkloZYsHTE0,FROZEN AMMO #shorts #shotgun #gun #hunting #usa #12gauge  #test #weapon #cartridges #review,6 314 398 katselukertaa,0.29,/@DROBASHEVICH
eOMjeCiMn8g,"Printer Ink, It's a SCAM",6 069 825 katselukertaa,6.17,/@FStoppers
p0tm8dNeE2A,7 Ways to Clean Blocked Clogged Ink Cartridges,5 358 435 katselukertaa,4.41,/@viandant5
VNk3youbEq4,Nintendo Cartridge Flask,5 207 156 katselukertaa,1.23,/@vat19
i1ht3JmLnIE,Roblox Cart Ride FUNNY MOMENTS (DUMB EDITS) #1,4 694 422 katselukertaa,8.02,/@Quimic.
sEx6YnVjP0k,How to Make Drag Racing Boat Powered By CO2 Cartridge,4 611 107 katselukertaa,4.16,/@TheQ_original
EdU0_aZI9qA,Tattoo Cartridge #tattoo #practice #jetblacktattoos,4 185 946 katselukertaa,0.34,/@JetBlackTattoos
0IPzlwwFq5w,OLD SHOTGUN AMMO #shorts #shotgun #unboxing #gun #hunting #usa #12gauge #opinel #weapon #cartridges,3 715 580 katselukertaa,0.31,/@DROBASHEVICH
oRvZKe0wDBo,How to hit a cart with no battery like a G!!!,3 641 937 katselukertaa,0.52,/@m33racer
NLEMsw1SjDY,Kuinka vanhat ROM-moduulit toimivat,3 288 627 katselukertaa,14.09,/@The8BitGuy
