Video Id,Title,View Count,Length,Channel
fAJ1LCO4cV4,23 BEST Things I saw in Vegas at CES 2023!,1 832 751 katselukertaa,15.14,/@SmartHomeSolver
uIz5Y0J9EGE,Coolest Tech at CES 2023,351 325 katselukertaa,21.29,/@CES
seyhgMTjmbA,What's inside COOL TECH of CES 2023?,694 240 katselukertaa,17.28,/@WHATSINSIDEFAMILY
dkkAlo8-qdw,MC STOJAN - STA CES S NJIM feat. GLAVASH (OFFICIAL VIDEO),7 795 728 katselukertaa,2.10,/channel/UCAs3JC7j50t8QVsm606yJyw
fsKPye2-Phg,CES 2023 Las Vegas Convention Tour day 3 [4K video],175 197 katselukertaa,1.00.40,/@TheLaughingLion
CnwGrI6T7X0,Legendary CES-2023 in Las Vegas | The Color-Changing Car And Technology of The Future | PRO Robots,269 616 katselukertaa,23.27,/@PROROBOTS
d3zDuOUhNFE,Best of CES 2023 Recap: Everything Worth Talking About,190 631 katselukertaa,5.32,/@CNET
Yoyog6BcbYs,Michel Lhuillier: Señorito and His Safari | Ces And The City Ep. 3,262 569 katselukertaa,20.18,/@ancxph
AZPEbtzfi7I,Sonic & Shadow Go To The Beach! - CES Movie,23 885 katselukertaa,22.12,/@ChaosEmeraldStar
dfMO6-e--xw,Best of CES 2023,377 138 katselukertaa,11.58,/@TheVerge
k3LlyLx-2b8,WEIRD Laptops are Coming...- CES 2023,1 531 038 katselukertaa,12.16,/@LinusTechTips
9kvMAx4-Fm0,Best of CES 2023,207 189 katselukertaa,8.08,/@Engadget
gEetk_9V_W8,CES 2023 - New Tech That You Can Actually Buy!,229 877 katselukertaa,14.57,/@ShannonMorse
5pec-3io3_Y,"CES 2023 Las Vegas. Tours and highlights in 4K, Day 2",60 808 katselukertaa,43.27,/@TheLaughingLion
MHkg6IWq4PE,Top Home Products Revealed at CES 2023,139 082 katselukertaa,4.22,/@CNET
Au-l0TjCnL8,What's inside COOL TECH of CES 2022,634 964 katselukertaa,19.21,/@WHATSINSIDEFAMILY
KV5hfGCji3E,"CES 2023 Las Vegas. Exhibitor Booth tours and highlights in 4K, Day 1",101 717 katselukertaa,58.28,/@TheLaughingLion
OMxU4BDIm4M,AMD at CES 2023,220 079 katselukertaa,1.35.24,/@AMD
GAzygeV_AsM,22 BEST Things I saw in Vegas at CES 2022!,3 677 932 katselukertaa,14.46,/@SmartHomeSolver
