Video Id,Title,View Count,Length,Channel
QtV-zqFLLpg,Klangkarussell - Circuits,26 524 162 katselukertaa,9.34,/channel/UCCotTfM5WxuCCax-t6DqBmA
8Z0jhQeYDUE,Series and Parallel Circuits | Electricity | Physics | FuseSchool,305 630 katselukertaa,4.56,/@fuseschool
R3hdaLpq2AA,GCSE Physics - Intro to circuits #14,309 849 katselukertaa,3.52,/@Cognitoedu
7mdc-lRrW1c,Series and Parallel Circuits,1 375 662 katselukertaa,30.32,/@TheOrganicChemistryTutor
HOFp8bHTN30,The Power of Circuits! | Technology for Kids | SciShow Kids,1 451 458 katselukertaa,4.42,/@SciShowKids
-w-VTw0tQlE,Circuit Analysis: Crash Course Physics #30,898 981 katselukertaa,10.56,/@crashcourse
x5A0oUKGAac,Oliver Tree x Feziboy - CIRCUITS [Lyric Video],10 385 katselukertaa,3.10,/channel/UCdpNizbSxjeqVHc3-cs7L9Q
XHhRUR7p4Go,002 Raspberry Pi Robotics: Series Circuits & Parallel Circuits,51 katselukertaa,37.18,/@IndianRoboticsDivision
OGa_b26eK2c,"Lesson 1 - Voltage, Current, Resistance (Engineering Circuit Analysis)",4 732 159 katselukertaa,41.25,/@MathAndScience
r-SCyD7f_zI,"Electric Current & Circuits Explained, Ohm's Law, Charge, Power, Physics Problems, Basic Electricity",1 358 796 katselukertaa,18.10,/@TheOrganicChemistryTutor
eFlJy0cPbsY,How To Solve Any Resistors In Series and Parallel Combination Circuit Problems in Physics,978 173 katselukertaa,34.18,/@TheOrganicChemistryTutor
Ij4dVhprZlw,Simple Circuits | Electricity | Physics | FuseSchool,49 964 katselukertaa,3.38,/@fuseschool
sqxzQkAdJm0,Essential & Practical Circuit Analysis: Part 1- DC Circuits,4 719 605 katselukertaa,1.36.51,/@SolidStateWorkshop
ZQurBlu35Fo,GCSE Physics - Series Circuits  #16,270 718 katselukertaa,6.02,/@Cognitoedu
VV6tZ3Aqfuc,DC Series circuits explained - The basics working principle,688 836 katselukertaa,11.29,/@EngineeringMindset
2Zu3ppq3n8I,"Kirchhoff's Law, Junction & Loop Rule, Ohm's Law - KCl & KVl Circuit Analysis - Physics",1 786 283 katselukertaa,1.17.34,/@TheOrganicChemistryTutor
mc979OhitAg,How ELECTRICITY works - working principle,4 958 550 katselukertaa,10.11,/@EngineeringMindset
m4jzgqZu-4s,Electric Circuits:  Basics of the voltage and current laws.,1 917 190 katselukertaa,9.43,/@EugeneKhutoryansky
