Video Id,Title,View Count,Length,Channel
6bOwW9OPvBY,Sanfara ft. Souki - Ma Cité (Clip Officiel),53 715 046 katselukertaa,3.59,/channel/UCyB6xP6_c6ZCqC2b4wYAsLw
nLYT1GGt86E,Sifax - Mecs de cités ft Sofiane (Clip Officiel),47 054 605 katselukertaa,3.16,/channel/UCU027j8bY3jusV-GwWmevzA
FSjLACJxvCs,ElGrandeToto (ft. AM La Scampia) - La Cité,13 298 703 katselukertaa,3.25,/@plataoplomo_officiel
b0ObHXkjeCk,GRANDIR EN CITÉ 2 - JEREMY,11 589 501 katselukertaa,10.19,/@LaChaineDeJeremy
NZMNbWsC3l8,GAMBINO - JEUNE DE CITÉ  (Clip Officiel),10 215 803 katselukertaa,4.08,/channel/UC0kClqtdt3hxGR90aw4W3kA
AM0oRSXP81Y,MEDING - SOIRÉE DES CITÉS  (clip officiel),9 929 492 katselukertaa,3.14,/channel/UC69d9V0W9V7szaLuL7pLFow
XZIecgNr1uE,"Jul ""C'est la cité"" ft Naps #PlanèteRap",9 863 673 katselukertaa,3.52,/@skyrockfm
fA8Al-39AEo,Baby Gang - Blitz (Ma cité a craqué RMX),9 216 502 katselukertaa,2.34,/channel/UC-RN-QrnVaYOCue3pVeRaxw
fQ2cRIdBBmU,Ma cité,9 039 424 katselukertaa,3.59,/@islemnevzi4246
RQc7ofN2I5Q,VIVRE À LA CITÉ - FAHD EL,7 128 671 katselukertaa,9.00,/@FahdEl
KxTbu2KZOM8,Miya - Tous Les Deux Ft. JuL (Vidéo Lyrics) Track 1,6 976 471 katselukertaa,3.06,/channel/UCyzIGp0K6PRwIM6VN-IljIw
hPZPFnqoQ_o,"DJ Bens, Dadinho, Kofs, RK - Dans la cité (Clip officiel)",6 279 944 katselukertaa,2.53,/channel/UCG5NaARv6WqDqLakb87ZBBw
FCAtZfkDRXM,Phoenix police cite man recorded hitting worker in viral TikTok video #shorts,5 971 287 katselukertaa,0.31,/@12NewsAZ
ZQpoZ4zsIhI,Diddi Trix - La cité (Clip officiel),5 922 006 katselukertaa,2.58,/channel/UCL9eygIrKnDVZjOQ5an46ng
aPJWyLuSC88,JUL // JEUNE DE CITÉ FEAT. SOSO MANESS // DANS MA PARANOÏA,4 717 315 katselukertaa,4.08,/@ligaoneindustry4554
1J6s7pD18D4,JE VAIS AU QUARTIER ! (immersion en cité),4 227 315 katselukertaa,18.09,/@TiboInShape
DGj7gjLdK0I,JUL // DANS MA CITÉ // (JTER),3 373 524 katselukertaa,3.46,/@ligaoneindustry4554
X3CISdeY3z4,CITÉ DES NATIONS - BEST OF - TEAM FRANCE,2 971 291 katselukertaa,1.19.24,/@TheGuill84
m3jhFDxxHZA,Cité,2 616 912 katselukertaa,3.27,/channel/UCCSFseZ6DfCtVO8giGp7GfA
YYJ9I03QjWU,Néza - Pararara (Official Video),2 562 845 katselukertaa,2.44,/channel/UCGRz3ZDcaNLpW3e1PHoIzWw
