Video Id,Title,View Count,Length,Channel
kdg865fAks8,Ancient Egyptians Never Claimed The Pyramids - Joe Rogan,11 591 099 katselukertaa,0.48,/@TheStoicMind
KL7cmcNJELw,Bacon drew me for robux and claimed in comments ❤️,9 903 914 katselukertaa,0.39,/@JulietteMimeRoblox
z4fE-yZkmN8,THIS MAN CLAIMED HE WAS PREGNANT,7 974 006 katselukertaa,1.00,/@catherineszabo
yHSbq1jWomY,SMG4: [NINTENDO HAS CLAIMED THIS VIDEO],3 305 889 katselukertaa,13.27,/@SMG4
xwEyInCZCfw,Bowser is claimed by spirits,2 851 711 katselukertaa,0.36,/@vinesauce
KKyjkpFHPGk,Stephen Hawking Claimed Something That Amazes the World,2 611 849 katselukertaa,10.12,/@mind_warehouse
XdltBFAAg5E,Sony Claimed Liquid Damage - Customer Says No Way!,2 474 653 katselukertaa,14.22,/@Tronicsfix
LljrDWAHLFM,"We Claimed It, They Proved It - Most Accurate Crossbow: Mission SUB-1",2 448 625 katselukertaa,0.31,/@missioncrossbows2167
0NuQk8vaz_8,She Claimed to Be a Titanic Survivor But Nobody Believed Her,2 323 530 katselukertaa,8.12,/@BRIGHTSIDEOFFICIAL
8G2aBguFm2w,I guess that car just got claimed! 💩😂 Via @foreverpupps,2 288 174 katselukertaa,0.10,/@DansPetCareOfficial
N7PRalXesvM,"So I found this claimed base, couldn't raid it.. then realised some breakable blocks in the roof!",1 627 121 katselukertaa,9.49,/@OhTekkers
YPFm_wGAplQ,The Man Who Claimed He Built A Time Machine Suddenly Vanished But Now He's Reappeared Years Later,1 576 609 katselukertaa,21.06,/@TopDiscovery
-6b65coGHRY,A Man Found In The Jungle Claimed To Be A Missing Vietnam POW  Then A DNA Test Revealed The Truth,1 302 298 katselukertaa,6.27,/@Watch_Jojo
6x_pfS-w8U4,These People Claimed They Encountered Giant Spiders In The Congo,1 207 933 katselukertaa,4.56,/@UnexplainedMysteriesOfficial
8xSwt6gVafY,I Claimed 112 Haaland & Max Rated Him + Claiming A Prime Icon & Honorable Mention UTOTY Players,1 149 352 katselukertaa,12.20,/@FIFAMOBILECLASSIC
a9aCyUm89RQ,Jaya Cortez is the winner but she hasn't claimed it.. If she doesn't I will pick another winner!!,1 113 585 katselukertaa,0.19,/@thebakerwhobakes
pmYwgqlDolA,My WHOLE channel got Copyright Claimed,1 049 363 katselukertaa,15.18,/@CDawgVA
ltgiWDSnn2U,Stolen Valor: Woman claimed to be Marine for years,707 125 katselukertaa,6.42,/@CBS42
e7pgBxsMVoo,McDonald’s Claimed No Responsibility,670 625 katselukertaa,0.42,/@TheAliKoca
Y0NiUGwzgpU,I claimed him first! 🤺 #shorts | Nicky and Pierre #NiPi,670 177 katselukertaa,0.08,/@NickyandPierre
