Video Id,Title,View Count,Length,Channel
t9898ljMSYk,Kim Petras - Claws (Official Lyric Video),352 450 katselukertaa,3.14,/channel/UChAjsnxIhU-3WZ8aSxE650A
Kslcr9lInuk,How to Make Paper Claws,3 712 428 katselukertaa,4.40,/@fringesniper308
3jT_uwcpkPI,Claw.,58 010 katselukertaa,58.22,/@TheFrostPrime
6lTeCkD23TY,Playing EVERY Claw Machine in this HUGE Arcade!,1 922 371 katselukertaa,21.17,/@arcade_matt
FSznXC8f4mg,New Ryan's World Claw Machine is Here now! Game On,9 071 222 katselukertaa,12.32,/@RyansWorld
7c8nYwKQ70M,CLAW Live Set @ Parvati Records Anniversary Streaming,27 867 katselukertaa,51.16,/@ParvatiRecords
xRtLuQ3KN6A,Captain Claw - FULL 100% WALKTHROUGH (All Possible Treasures) With Cutscenes HD,520 828 katselukertaa,3.27.51,/@SugheroGame
Wz66TND0Xec,CLAW - Gameplay PC [1080p-60fps],65 169 katselukertaa,1.05.01,/@BiIlytheKid
WQiU5Hm5uF8,We Played EVERY Claw Machine in this CITY!!!,356 293 katselukertaa,35.36,/@PlushTimeWins
Ap_Hp5ui3aA,Claw Live Set,1 932 katselukertaa,1.27.51,/@PsylandRadio
J2bxjHC6pWs,HOW TO LEARN CLAW (Easy Handcam Claw Tutorial) Fortnite Controller,116 240 katselukertaa,3.03,/@RealFaxFortnite
WS1kAN4KoIM,2 Claw Players vs 2 NON Claw Players for $100... (whats better?),46 205 katselukertaa,11.05,/@Plalism
hv-TbOVgqzk,BIGGEST Round 1 Claw Machine Haul EVER! Can We Profit?,118 685 katselukertaa,13.34,/@arcade_matt
Fczta5pF7-A,Yellow Claw - Shotgun ft. Rochelle (Official Music Video),27 390 994 katselukertaa,2.50,/@spinninrecords
D_IcmEkQuiE,How To Make a Paper Wolf Claw - Paper Claws,1 573 064 katselukertaa,6.34,/@Bunnyorigami
VNQ0LOXfvdY,How To Win At Claw Machines? | Talking Point | Full Episode,144 663 katselukertaa,22.37,/@CNAInsider
z6APQy4v-F8,SHERLOCK HOLMES | THE SCARLET CLAW (1944) full movie | Basil Rathbone | the best classic movies,4 300 666 katselukertaa,1.13.49,/@FeatureFilm
XfsjbMP024I,I Learned Claw In 1 Day To Prove It's Easy…,802 635 katselukertaa,8.01,/@Carter2k
