Video Id,Title,View Count,Length,Channel
JjuJhdgTdOM,Final Fantasy 16's Clive Reacts to IGN Comments,198 853 katselukertaa,5.43,/@IGN
ENFPZ3b_YKM,Clive Vs Odin Fight Scene & ODIN Almost Kills Clive - Final Fantasy 16 (PS5) 2023,43 599 katselukertaa,38.47,/@ZanarAesthetics
BRt6znxq358,Atlantis Found (Part-1/4) by Clive Cussler | Dirk Pitt-15 | ASM AudioBook,20 101 katselukertaa,4.38.51,/@ASMAudioBook
qX6ZLLvBvNU,Ordinary product with iconic component,187 671 katselukertaa,9.55,/@bigclivedotcom
d1Y1rzVMFq8,Incredibly good Meanwell surge protection unit (with schematic),53 455 katselukertaa,8.57,/@bigclivedotcom
Lf2h37O02FI,CLIVE IS THE STORM THAT IS APPROACHING,71 660 katselukertaa,1.04,/@christenlanger
2gXERwdsY2k,Final Fantasy XVI - Ifrit Boss Fight & Clive Finds Out Truth (4K 60FPS),172 931 katselukertaa,21.51,/@Shirrako
aQo2MbHqm9Q,FINAL FANTASY XVI | Creators Meet Clive,133 722 katselukertaa,21.59,/@FinalFantasy
y8u32h488Zo,FINAL FANTASY XVI | Clive Accepts the Truth,11 447 katselukertaa,4.42,/@Seegrump
LX4_TCyAJCs,Clive Geofrey Ward : Celebration of Life,480 katselukertaa,1.10.40,/@zmhousetv2627
3slmLUDh9M4,Joshua punches Clive - Final Fantasy 16,32 605 katselukertaa,2.36,/@FazFaz
wjE-60x_QsE,Clive Destroys Hugo Kupka & Cuts Off His Hands Fight Scene - Final Fantasy 16 (PS5) 2023,62 462 katselukertaa,18.54,/@ZanarAesthetics
UrY8uZ64Y8s,Final Fantasy 16 PS5 - Clive Meets Mother Anabella Cutscene,50 579 katselukertaa,4.54,/@lilfarmboi1081
IgihGyohtjk,"【Final Fantasy 16】Clive's Moveset | All Sword Moves, Eikonic Abilities & Limit Break Showcase",54 976 katselukertaa,19.51,/@sykioh
5U1FmbWY8DQ,Clive Barker's Disastrous Horror Game,1 314 533 katselukertaa,41.09,/@TotallyPointlessTV
ezbtjzX-hlM,CLIVE tells JILL that he loves her - FINAL FANTASY 16,16 197 katselukertaa,3.32,/@GogaNC
QLkE-XxMtKw,Interesting fault and fix on a Dixell XW70K refrigeration controller,56 137 katselukertaa,18.27,/@bigclivedotcom
swtbjvDOJbU,Clive says FINAL FANTASY 💀,70 018 katselukertaa,1.00,/@TastyHusbands
01JWzpWZ1HQ,Could Clive Become Champion?,67 312 katselukertaa,23.35,/@VaskoGames
