Video Id,Title,View Count,Length,Channel
25ROFXjoaAU,The Chainsmokers - Closer (Lyrics) ft. Halsey,396 143 750 katselukertaa,4.06,/@7clouds
XgJFqVvb2Ws,Nick Jonas - Close ft. Tove Lo,313 130 457 katselukertaa,3.58,/channel/UCOvsww4Ch0ZKzFkITMm541g
PT2_F-1esPk,The Chainsmokers - Closer (Lyric) ft. Halsey,2 958 486 189 katselukertaa,4.22,/channel/UCq3Ci-h945sbEYXpVlw7rJg
agyTn10mW74,"Miley Cyrus Closes The Tonight Show with ""The Climb""",12 632 747 katselukertaa,4.19,/@fallontonight
ao4RCon11eY,DVRST - Close Eyes,79 874 970 katselukertaa,2.13,/channel/UCJWUQibZ1DnBb4r4pCCmpGA
6EJGnU2AmV4,Close | Official Trailer HD | A24,2 147 052 katselukertaa,1.40,/@A24
gjHv4pM8WEQ,Watch me close on the PHONE - Grant Cardone,765 486 katselukertaa,4.16,/@GrantCardone
6Hynx73Vvjw,"HAN ""Close"" | [Stray Kids : SKZ-PLAYER]",12 740 171 katselukertaa,3.52,/channel/UC9rMiEjNaCSsebs31MRDCRA
S8-z26rBPLw,DVRST - Close Eyes (Slowed + Reverb),77 209 488 katselukertaa,2.24,/@chillnation
xGytDsqkQY8,Semisonic - Closing Time (Official Music Video),121 498 948 katselukertaa,3.53,/channel/UCyDNHHQdoOJs-gkq1w2qNFg
VpvTiz_tPTY,Close and Apart: A song cycle by Matthew Jaskot and poems by Susan Elizabeth Sweeney,262 katselukertaa,1.31.45,/@holycrossmusicdepartment269
4UIFRUS0YYY,DVRST - Close Eyes (Lyrics),6 736 697 katselukertaa,2.13,/@thevibeguide
z_aC5xPQ2f4,Ne-Yo - Closer (Official Music Video),131 576 213 katselukertaa,3.55,/channel/UCvtkFm0XlCLqyvtP7UpqAoA
otPB54Wxf5c,Dayglow - Close to You (Official Video),6 993 460 katselukertaa,3.16,/channel/UCvNaoBfCbOJ0QaiqHRhn0NQ
dGghkjpNCQ8,Calvin Harris - Feel So Close (Official Video),319 375 956 katselukertaa,4.07,/channel/UCIjYyZxkFucP_W-tmXg_9Ow
m2Zwsn1EK6U,Ella Mai – Close (Audio),30 205 337 katselukertaa,4.12,/channel/UCy1qd93CcOTvOrQ-QM8_pyQ
WB9CRab-p2o,Jade Eagleson - Close,1 054 684 katselukertaa,3.13,/channel/UCTcLEXCFohz59ry-1XwhLug
_V6ye9xIjs4,KD closes it out over Russ 🥶 #shorts,636 313 katselukertaa,0.29,/@GDsHighlights
VKkrPteQSF8,Matteo Bocelli - Close,2 141 604 katselukertaa,3.26,/channel/UCGjtLJZa5JoDC06qApK-tvQ
gDhEnyHZC1o,Close - Virallinen traileri - Elokuvateattereissa 3.3.2023,8 867 katselukertaa,1.45,/@FFfuturefilm
