Video Id,Title,View Count,Length,Channel
vjSTNv4gyMM,Cultivating Collaboration: Don't Be So Defensive! | Jim Tamm | TEDxSantaCruz,659 783 katselukertaa,15.18,/@TEDx
9zC2Bc22QfA,A guide to collaborative leadership | Lorna Davis,143 818 katselukertaa,14.13,/@TED
VmQVNE-MbKI,The power of collaboration: Dr. Shelle VanEtten de Sánchez at TEDxABQWomen,201 328 katselukertaa,6.30,/@TEDx
ZnjJpa1LBOY,Leadership and effective collaboration.,1 619 436 katselukertaa,3.22,/@txemudo
2mUDPVW9GwA,Professional Skills: Collaboration,7 447 katselukertaa,2.29,/@electricityhumanresourcesc202
AMG8ObDmbaM,Simon Sinek on How to Collaborate on Projects More Successfully,47 853 katselukertaa,2.07,/@captureyourflag
HKGkBRk1kSo,Collaboration - Affect/Possibility: Ken Blanchard at TEDxSanDiego,217 241 katselukertaa,16.00,/@TEDx
7WhMQp4mRkw,"I Like It That Way Collaboration! Shorts Support Sept. 11, 2023",117 katselukertaa,1.02.28,/@TeamBuildwithGeoBuddy
2DmFFS0dqQc,The 7 Keys to Creative Collaboration,289 322 katselukertaa,2.18,/@spencereducation
KT2TQGFWcko,GOOD COLLABORATION (2014),397 865 katselukertaa,2.41,/@cscpc1
EZPYLZ7I6gs,Apple CEO Tim Cook on Collaboration,158 638 katselukertaa,2.32,/@FuquaSchOfBusiness
Gr5mAboH1Kk,Cooperation vs Collaboration: When To Use Each Approach,200 376 katselukertaa,1.24,/@spencereducation
HRane-C77HY,#COLLALB - Now That's What I Call Polka Animated Collab,8 503 465 katselukertaa,4.06,/@Rizatch
dt_mMi5My14,What is Collaboration? Project Management in Under 5,12 332 katselukertaa,5.52,/@Onlinepmcourses
jKPUrgSfAmk,Collaborations,63 240 katselukertaa,1.39.52,/@e-stoire3754
XpCPQtQa1YQ,What is Collaboration?,13 605 katselukertaa,4.14,/@SmarterBalanced
vfG8YYQOKf8,"COLLABORATIONS - SUKSHINDER SHINDA, GURDAS MAAN & ABRAR UL HAQ - OFFICIAL VIDEO",2 845 217 katselukertaa,5.46,/@MOVIEBOXrecordLABEL
EkXVwzMCoew,the biggest shred collab song in the world 5,1 501 630 katselukertaa,36.52,/@JaredDines_
uwvtfYa169k,Cooperative vs Collaborative,115 440 katselukertaa,3.08,/@wufei87
