Video Id,Title,View Count,Length,Channel
dlIWa5tqST4,WHEN HE ALWAYS COMPLAINING ABOUT WHAT YOU BUY 😂 #shorts #quiandken,42 858 912 katselukertaa,0.15,/@QuiKen
vhxLhPSTvh4,theodd1sout and I Complain About Arizona,36 827 462 katselukertaa,7.27,/@jaidenanimations
KcmxW0RG760,Complaining about the food then tipping 10x,18 422 686 katselukertaa,0.56,/@EpicBits_
oxH-0n-SpYQ,Customer IMMEDIATELY Regrets Complaining To Ramsay  | Hell's Kitchen,13 900 753 katselukertaa,7.49,/@hellskitchen
qW4--W4TWEs,CALLING MY FATHER-IN-LAW TO COMPLAIN ABOUT HIS DAUGHTER (HILARIOUS)😂 #shorts #couple #funny #comedy,13 232 667 katselukertaa,0.26,/@hannahandregal
gKRNRz6VK_k,Gordon Confronts Complaining Customer | Kitchen Nightmares,10 734 495 katselukertaa,1.42,/@KitchenNightmares
DZ0Q_iO1jUg,A Billionaire Psycho Pretended to be My Dad. I'm Not Complaining!,10 493 123 katselukertaa,11.09,/@MSA.official
KbDSyQiLVl0,That one hairstylist who always complains about doing their job,10 415 571 katselukertaa,0.50,/@thatssoodrea
PfruW2pWkCs,"Modric to Pique - ""Are you ready to go complain?""",9 611 960 katselukertaa,0.29,/@beinsportsusa
lgdVNd6m2Ts,When Elevator Complains | Chimkandi | Chimkandi New Video | Chimkandi Video | Atif Fc | #Shorts,9 199 636 katselukertaa,0.58,/@ATIFFC
JQ4mFaI17pk,Benjamin Clementine - I Won’t Complain,8 652 133 katselukertaa,4.41,/channel/UC7m-qX2H35-_s6FVFQpUuDw
pk0Z0iud5nk,Esther Yu complained to LISA about her roommate 虞书欣向LISA委屈告状 | Youth With You 青春有你2 | iQIYI,8 090 108 katselukertaa,3.11,/@iQIYIofficial
1h4ARLF7-4U,americans complaining about 3rd world countries for 10 minutes (90 day fiance),8 035 187 katselukertaa,10.56,/@kamek
sNk8R5qZmBQ,When elevator complains | Hassu,7 603 663 katselukertaa,0.58,/@HassuShorts12
IdF2egWY30U,Kevin Gates ft Rico Love - Complaining (Official Audio),7 542 212 katselukertaa,4.03,/channel/UCj2GTFekdV3EUsTVN8oaEqA
QskcjRJ3Ymk,White People Taught Me How to Complain |  Ali Siddiq Stand Up Comedy,7 445 494 katselukertaa,5.49,/@AliSiddiqComedy
2hI9eQoZitI,"Complaining About My Food, Then Tipping $500",7 173 236 katselukertaa,13.50,/@ThatWasEpic11
Jh8-iAKszEw,NEVER COMPLAIN IN AN AFRICAN HOME!,6 997 400 katselukertaa,12.54,/@SamSpedy
6AKPp0tZhjY,THE YOUTUBERS COMPLAINING ABOUT DRAMA RANT (Exposing Matthew Santoro),6 864 555 katselukertaa,22.10,/@GradeAUnderA
edFEMUStlMw,why do girls always complain about getting their periods? #shorts #comedy #funny,6 748 181 katselukertaa,0.50,/@aljokes
