Video Id,Title,View Count,Length,Channel
5NPBIwQyPWE,Avril Lavigne - Complicated (Official Video),626 630 802 katselukertaa,4.14,/channel/UC_k8KFBzEf0uQ8LRFSAgSUA
UljrRsaP8v0,🎆🎊🥳🎉🎇 I HAVE COMPLETED 2021 HAPPY NEW YEAR 🎇🎉🥳🎊🎆 Photography Tutorial in #Shorts by youneszarou,175 244 375 katselukertaa,0.15,/@YounesZarou
_qTHPydeli8,When You Miss the Bus AND You Haven't Finished Your Homework. #shorts,155 549 178 katselukertaa,0.34,/@DanielLaBelle
aMhiLxS9AN4,I Completed The IMPOSSIBLE Pringle Circle..,86 375 484 katselukertaa,0.44,/@kiera
pOKkvN3CikY,Completing the @MrBeast quest. Thank you Jimmy.,65 765 161 katselukertaa,1.00,/@JamesSeo
9_c4DO8xNIg,Mission Completed Successfully ✅😂 | Tom and Jerry Part-38 😅 End Twist | #shorts #klwithtn,65 404 781 katselukertaa,0.56,/@KLWithTN
K42QzCUt1TQ,Mission Completed Successfully ✅😂 | Tom and Jerry Part-80 😂 End Twist | #shorts #klwithtn,64 491 746 katselukertaa,1.00,/@KLWithTN
aj7uhYVUHzA,I FINISHED A WHOLE PENCIL AGAIN #shorts,60 928 863 katselukertaa,0.47,/@agnitshorts1
KM8lmB_75ng,LEGO City Undercover - All 13 Vehicle Robberies Completed,53 699 228 katselukertaa,36.45,/@packattack04082
QRV72JSgVzg,I Completed The IMPOSSIBLE Pringle Square..,36 894 007 katselukertaa,0.46,/@kiera
3-BcsTozOr4,"#POV after completing the mission, your partners plan to betray you backfires #acting #fyp #shorts",27 619 485 katselukertaa,0.37,/@CrazyCae
lUspPqCZQEk,Completing the Impossible DOUBLE Pringle Circle!,25 997 625 katselukertaa,0.55,/@InfiniteShorts
8ocG9fUrt-w,Avril Lavigne - Complicated (Lyrics),25 172 572 katselukertaa,4.02,/@evolvemnc
I95c2ctRsOY,Completing the DOUBLE Stacked Pringle Circle! #shorts,23 868 693 katselukertaa,0.56,/@infinite
0VZJRuBeckM,Mission Completed Successfully ✅😂 | Tom and Jerry Part-65 😂 End Twist | #shorts #klwithtn,23 777 164 katselukertaa,1.00,/@KLWithTN
hlKRNhfuy2k,100% Completing the ENTIRE Henry Stickmin Collection,20 440 665 katselukertaa,2.20.08,/@socksfor2
TZDT1WVLONY,The Impossible Pringle Circle Completed.. #shorts,19 459 578 katselukertaa,1.00,/@InfiniteShorts
0asVWv9bJUo,complicated heart by MLTR w/ lyrics,19 040 906 katselukertaa,4.26,/@tansan143
0s_-dRTmkVI,This is a video of the finished product#diamondpainting,17 779 588 katselukertaa,0.24,/@gloryartdiamondpainting
rnCeFBMY8i4,"Naapurit nauroivat rakennustaitoillemme, mutta sitten hämmästyivät | Timelapse valmis",16 987 652 katselukertaa,1.18.49,/@CREATIVE_COUPLE
