Video Id,Title,View Count,Length,Channel
l-gSWc7TlRA,Don't Let Me Down- The Chainsmokers ft. Daya Lyrics,410 852 002 katselukertaa,3.30,/@MaddyChen
jdMNoQE3mIQ,I Survived A Plane Crash,148 016 954 katselukertaa,8.14,/@MrBeast
1WEpLzsdEeY,Luke Bryan - Crash My Party (Official Music Video),136 790 876 katselukertaa,4.29,/channel/UCntGDhwr_YA88wVr0WpOMEA
R-RmSTTTnaw,Cars Chain 2 Giant Bollards Crash - BeamNG Drive,134 175 808 katselukertaa,0.16,/@wecrashgames
8A0wWvPEB14,Cars Bollard Wall Crash – BeamNG.drive,120 412 794 katselukertaa,0.14,/@mrgotbeamngdrivecrashes
_rlFpHUp1sI,Hero tackles fleeing drunk driver who killed Texas cop in crash,111 212 173 katselukertaa,0.26,/@newsonkfdm
Wxpuc5fWj2Y,HOW TO SAVE A CRASHING PLANE?!,104 123 438 katselukertaa,0.35,/@BwaJack
GomYLiRQztg,"WW2, 1944: F6F Hellcat Crash Lands Onto Aircraft Carrier | 4K, 60fps, AI Enhanced, Colorized, Sound",103 074 372 katselukertaa,0.26,/@druid_works
-LUzUC-LJIM,Beamng drive - Tug of War vs Car Shredder crashes,84 177 815 katselukertaa,4.27,/@WreckStation
NECEiJ0RYpQ,CRASHING MY SUPERCAR?? 😭 - #Shorts,81 919 108 katselukertaa,0.26,/@itsCamCasey
FTciwXkAlTw,Best Stunt Riding Crashes Ever,77 660 123 katselukertaa,0.56,/@Stuntex
1Jl2w3-6Qfo,Toy Car Crashes | Hot Wheels & Other Cars Video,77 689 700 katselukertaa,2.31,/@MagsToys
2TDN50OzZNk,FLOW G - RAPSTAR (Official Music Video),76 830 416 katselukertaa,4.09,/channel/UCB4_jJ-MAwBHBGfc-pLJbow
r_W6mXqzJNU,Spider-Man Stops A Train From Crashing | Spider-Man 2 | Voyage | With Captions,74 622 697 katselukertaa,8.57,/@VoyageOfficialChannel
heyIXXCfyaM,Thomas Rhett - Crash and Burn,70 338 348 katselukertaa,3.32,/channel/UCr7r9JorcxMDOC5ZQ_ZCs3w
68lWoT7s9_M,Beamng drive - Hitting Hydraulic Bollards Walls crashes,67 172 066 katselukertaa,6.14,/@WreckStation
5kDbwE7mFck,TOP 5 SHIPS CRASHING INTO SHORE,54 950 829 katselukertaa,4.14,/@megatubeuser8000
2fQC2-Wfgec,Experiment Car vs M&M ICECREAM vs Watermelon vs Jelly | Crushing Crunchy & Soft Things by Car,54 393 424 katselukertaa,22.00,/@SerbianGamesBL2
JDlvcwxsRr8,I crashed the world’s biggest scooter,49 411 965 katselukertaa,0.28,/channel/UCHcb3FQivl6xCRcHC2zjdkQ
8Ft_V6nF1G4,Cars 3 Bollards Crash 🚧🚗,46 102 890 katselukertaa,0.18,/@BeamngShorts
