Video Id,Title,View Count,Length,Channel
ffxKSjUwKdU,Ariana Grande - no tears left to cry (Official Video),1 165 024 763 katselukertaa,3.59,/channel/UC9CoOnJkIBMdeijd9qYoT_g
zRIbf6JqkNc,Guns N' Roses - Don't Cry,754 694 031 katselukertaa,5.14,/channel/UCIak6JLVOjqhStxrL1Lcytw
DksSPZTZES0,Justin Timberlake - Cry Me A River (Official Video),489 326 349 katselukertaa,4.51,/channel/UC-y8ci7xfsu4L3zkSuHae0A
eHiH1NytwjM,His Voice Is So Emotional That Even Simon Started To Cry!,456 483 985 katselukertaa,8.14,/@VFeedTV
agrXgrAgQ0U,Fergie - Big Girls Don't Cry (Personal) (Official Music Video),359 379 491 katselukertaa,5.08,/channel/UCDAtMQlTXquEjxFHZvJ-Mxg
E6sqA9QtV5I,Fergie - Big Girls Don't Cry (Personal) (Extended Version),239 494 470 katselukertaa,9.28,/channel/UCDAtMQlTXquEjxFHZvJ-Mxg
NlrYn_dZdqk,Camila Cabello - Crying In The Club (Official Video),233 447 035 katselukertaa,5.21,/channel/UCio_FVgKVgqcHrRiXDpnqbw
NGbUsgG_48k,YNW Melly - Mama Cry [Official Video],223 341 683 katselukertaa,5.16,/channel/UCelvBrvTHaZL_V6WuMkJDxQ
71Gt46aX9Z4,Gary B.B. Coleman - The Sky is Crying,211 559 082 katselukertaa,9.14,/@DonsTunes
DyGNfbKkMVE,Mariah Carey - Angels Cry (Official Music Video) ft. Ne-Yo,176 379 493 katselukertaa,4.12,/channel/UCurpiDXSkcUbgdMwHNZkrCg
vXyBcKV0UIo,"Noah Cyrus, Labrinth - Make Me (Cry) (Official Music Video) ft. Labrinth",161 182 862 katselukertaa,4.18,/channel/UCoA_M5jHdV9_dJZMm9-Cr5A
O87lzhoexyA,Melanie Martinez - Cry Baby (Official Music Video),142 839 856 katselukertaa,6.07,/channel/UC2YnEq5Fc5_zEO6bo0oNzCQ
EerNs9u6LsQ,Emma Pretend Play w/ Little Cry Baby Doll Nursery Play House Playset,139 313 630 katselukertaa,12.13,/@toysandcolors
bkQw-F1QTq4,TWICE 'CRY FOR ME' Choreography - 2,135 441 685 katselukertaa,3.30,/channel/UCzgxx_DM2Dcb9Y1spb9mUJA
9GkVhgIeGJQ,The Cure - Boys Don't Cry,113 757 286 katselukertaa,2.55,/channel/UCL_zMdXdM51oSi5XpxTvRtQ
w5srnNrICJo,JAY-Z - Song Cry,105 106 017 katselukertaa,4.57,/channel/UCN-sc1xJr-QQNj_uNIM9wTA
EdhR-ry40So,Aviva - Princesses Don’t Cry (Lyrics),101 839 150 katselukertaa,3.34,/@NewMelody
SvXqmxnxFCQ,"""Don't Come Crying"" [VERSION A] Minecraft FNAF SL Animated Music Video (Song by TryHardNinja)",96 537 729 katselukertaa,4.36,/@EnchantedMob
UG3VcCAlUgE,Prince & The Revolution - When Doves Cry (Official Music Video),93 436 969 katselukertaa,3.45,/channel/UCv3mNSNjuWldihk1DUdnGtw
q9Z_TnjU_Y0,He Sings For His Dead Friend... Don't Cry... Simon Cowell Is Emotional and Cries | Jealous Labrinth,87 553 926 katselukertaa,6.35,/@TopViralTalentYT
