Video Id,Title,View Count,Length,Channel
SA5eW3UiRSM,I Customized 100 iPhone 14s And Gave Them To People!,5 026 002 katselukertaa,20.03,/@ZHCYT
iPBe6CaG1jk,Customizing Strangers Shoes in Public…,2 010 345 katselukertaa,11.52,/@MARKOOOOOOOOO
JD-CsaaRpk4,"Customizing A $10,000,000 House",52 047 220 katselukertaa,13.01,/@ZHCYT
yTLzGSJJ5ts,I Spent 50 Hours Customizing The World's Largest Xbox!,7 045 334 katselukertaa,14.46,/@ZHCYT
ZrDjeb1H8II,I Spent 50 Hours Customizing The World's Largest iPhone!,33 935 410 katselukertaa,15.07,/@ZHCYT
tRMGdWValIk,Last To Stop Customizing Wins Lamborghini,41 723 319 katselukertaa,16.49,/@ZHCYT
oI-1kMH5dPs,Customizing my Shoes!  👟🎨,286 952 122 katselukertaa,0.09,/@MARKOOOOOOOOO
KutkEZH3zmY,Customizing the World’s Largest Basketball (ft. ZHC),2 399 236 katselukertaa,16.50,/@Jesser
Y99X9rx5VLU,Customizing 40 Apple Watches Then Giving Them Away!!,23 274 376 katselukertaa,14.28,/@ZHCYT
bCrYGsWoppQ,"I Customized An iPad In 10 Hours, 1 Hour, 10 Minutes, 1 Minute & 10 Seconds - Challenge",48 656 399 katselukertaa,16.23,/@ZHCYT
ubQFWrTkelY,"I Customized A $1,000,000 Pool!",32 562 940 katselukertaa,10.09,/@ZHCYT
olodT2jiNHA,How To Customize Shoes For Beginners In 2023 | I Have A Huge Announcement!,116 773 katselukertaa,12.58,/@XavierKickz
UcBTgR6OC4s,"I Customized 100 Nintendo Switch, Then Gave Them Away",36 459 535 katselukertaa,11.04,/@ZHCYT
M9SVC_lIpss,I Customized A School!,66 434 300 katselukertaa,22.27,/@ZHCYT
AGNyWTntU0o,"Anything You Customize, I'll Pay For Challenge",32 097 734 katselukertaa,11.40,/@ZHCYT
VTHbiMgBbdo,Customise Phone covers 🤯🤯,918 125 katselukertaa,0.46,/@TechMasterAK
TLohCaqH26E,Customizing $13 Walmart Shoes!,3 117 066 katselukertaa,5.45,/@MARKOOOOOOOOO
_EUQsHNFSRU,BEST of HYDRO DIPPING Videos Compilation 👟🎨,97 359 024 katselukertaa,10.25,/@SamAlxr
vty92rnPPDM,I Customized A School For 24 Hours,1 726 570 katselukertaa,8.22,/@ZHCYT
l8-aynYg4bI,Customizing My Laptop,7 153 805 katselukertaa,18.39,/@MoriahElizabeth
