Video Id,Title,View Count,Length,Channel
j-2xHmcKkcY,Vitamin B12 Deficiency Weird Symptoms (& Why They Occur),1 035 584 katselukertaa,8.35,/@jjmedicine
4qNsvzt8was,DEFICIENCY  - Unfinished (OFFICIAL VIDEO),192 146 katselukertaa,5.42,/@deficiencymetal
2YEIBr7YKBs,Vitamin B12 Deficiency Symptoms | B12 Deficiency | Vitamin B12 - All You Need to Know,2 690 617 katselukertaa,5.22,/@Medinaz
X4AnGb0KatM,DEFICIENCY - The Feathers [OFFICIAL VIDEO],11 458 katselukertaa,7.22,/@deficiencymetal
Ej58S95zbRM,Iron Deficiency Anemia - Signs & Symptoms | Iron Deficiency - Early & Late Signs,87 216 katselukertaa,7.34,/@Medinaz
UqLuyop6Xtc,23 Signs Your Body Needs More Nutrients: How to Address the Deficiencies,11 882 716 katselukertaa,23.50,/@DrEricBergDC
6RbuFyt5Wpo,Iron deficiency anemia - an Osmosis Preview,153 729 katselukertaa,1.20,/@osmosis
uQL4k1cbXU8,𝐃𝐄𝐅𝐈𝐂𝐈𝐄𝐍𝐂𝐘  - 𝐀 𝐅𝐢𝐫𝐞 𝐀𝐬𝐥𝐞𝐞𝐩 [OFFICIAL VIDEO],88 890 katselukertaa,5.37,/@deficiencymetal
rF6bIFNB6C8,"Deficiency ""The Dawn of Consciousness"" (Official Album Stream - 2017, Apathia Records)",11 817 katselukertaa,58.59,/@ApathiaRecords
JZlXdba7ALI,28 Signs Your Body is Deficient in Vital Nutrients (With Solution),8 730 456 katselukertaa,7.54,/@FitTuber
FFKnMA-n4tE,Study shows connection between vitamin deficiency and dementia,5 313 katselukertaa,1.51,/@ClickOnDetroitLocal4WDIV
pH16cu_y6F4,The Prodigal Child,4 255 katselukertaa,5.07,/channel/UCRc1zHYhV-UlQkjG3-wBaeQ
LVCWBXrBiMo,Signs of Iron Deficiency,396 084 katselukertaa,0.59,/@MEDSimplified
OZOwtD4IaUM,Signs and Symptoms of Protein Deficiency,108 845 katselukertaa,1.27.29,/@DrOsborne
nLpm6kgCVwQ,11 Clear Signs Of Magnesium Deficiency You Should Not Ignore,374 826 katselukertaa,11.26,/@HealthNormal
qex59GoAKao,10 Signs Your Body Is Begging for Vitamin D,806 644 katselukertaa,11.43,/@HealthNormal
-_nTlVNqNJw,10 Vitamin B12 Deficiency Symptoms To Never Ignore,213 581 katselukertaa,5.41,/@doctorlegrand
8BTCDRWuq64,Clinical Example of Vitamin B1 Deficiency (Thiamine) - Easy to remember from this video #psychiatry,10 437 katselukertaa,0.53,/@PsychiatrySimplified
coy_iNvJpcU,"Deficiency ""Face The World We Experience"" (Official Music Video - 2018, Apathia Records)",6 917 katselukertaa,5.59,/@ApathiaRecords
p9UwYt_Fmr4,Testing Vitamin Deficiency,29 749 katselukertaa,1.45,/@LeeHealth
