Video Id,Title,View Count,Length,Channel
0kwR1kDYgjY,"PM Modi at Marienborg boosting India-Denmark friendship, PM Mette Frederiksen welcomes Indian PM",55 861 975 katselukertaa,11.10,/@NarendraModi
QiYvXKQksgI,The Insane Scale of Europe’s New Mega-Tunnel,11 760 005 katselukertaa,27.51,/@TheB1M
6Pm0Mn0-jYU,Why Finland And Denmark Are Happier Than The U.S.,8 983 774 katselukertaa,25.45,/@CNBCMakeIt
KYtkbH8oKT4,Denmark official faints during Covid-19 conference,7 991 070 katselukertaa,0.23,/@TRTWorldNow
6tifMiwcmtM,"PM Modi arrives in Copenhagen, Denmark",7 381 975 katselukertaa,4.57,/@NarendraModi
pmanhxFZLX4,"Whisky Wars between Canada and Denmark, Does Canada only shares border with USA ? Hans Island Story.",4 891 543 katselukertaa,0.57,/@HARSHITDWIVEDIVIDEOS
zC12hYp-AaY,لا تسافر الدنمارك - DENMARK 🇩🇰,4 848 388 katselukertaa,10.58,/@JoeHattab
Hp0-YP3lADk,Geography Now! Denmark,4 829 547 katselukertaa,9.28,/@GeographyNow
Iuet9k9_m8Q,"copenhagen, denmark",4 657 202 katselukertaa,15.27,/@emmachamberlain
H_NrXy_76ZU,Canada vs. Denmark #shorts,3 914 552 katselukertaa,0.53,/@JJMcCullough
73Xb4STUupI,"Differences between Norwegian, Swedish and Danish Vikings",3 867 767 katselukertaa,22.37,/@norsemagicandbeliefs8134
7sM8p7hnprM,Denmark: provoking the limits of tolerance,3 664 012 katselukertaa,50.41,/@BestDoc
gMNvp-83fDc,Street Food in Copenhagen - MUST-EAT DANISH FOOD in Denmark! 🇩🇰,3 625 243 katselukertaa,32.56,/@MarkWiens
ApzBZBBVLug,May The Best Bottle Win #canada #greenland #denmark #border,3 031 561 katselukertaa,1.00,/@MapNerdYT
9A1LtmxkAYk,How Denmark took a hard line on Immigrants | Foreign Correspondent,2 994 617 katselukertaa,30.02,/@ABCNewsIndepth
ocqiZlvxmxQ,I sold fruits to my Danish girlfriend😍😅 @isabellaafro  #couple #africa #shorts #denmark,2 896 881 katselukertaa,0.17,/@jaymondy.
kcwhComNmuI,Mbappe grabs a double | France v Denmark | FIFA World Cup Qatar 2022,2 858 000 katselukertaa,2.08,/@fifa
9WLAtQO4Ybg,It took CENTURIES to locate Denmarks highest point!🤯🇩🇰 #geography #geopolitics #mapping #denmark,2 502 320 katselukertaa,0.36,/@curiousproductions
mfsX5UOCGkI,Denmark Beyond Copenhagen,2 341 637 katselukertaa,24.57,/@ricksteves
-gZQ133LAeo,Drawing the flag of Denmark 🇩🇰 What’s next? #drawingpainting #art,2 140 567 katselukertaa,0.18,/@ArtDiDi
