Video Id,Title,View Count,Length,Channel
OrNBEhzjg8I,Harlow's Studies on Dependency in Monkeys,2 848 886 katselukertaa,6.08,/@MichaelDBaker
OizqFlMtZLQ,How to create Ultimate Excel Gantt Chart for Project Management (with Smart Dependency Engine),1 946 147 katselukertaa,3.18.01,/@theofficelab
wez3fXrjBAE,3.1 Functional Dependency in DBMS | Functional Dependency explained,1 387 681 katselukertaa,15.03,/@KNOWLEDGEGATE_kg
qn5neFBpU40,Lec-23: Functional Dependency & its properties in DBMS in HINDI,1 135 461 katselukertaa,17.09,/@GateSmashers
GFQaEYEc8_8,"Learn Database Normalization - 1NF, 2NF, 3NF, 4NF, 5NF",1 055 265 katselukertaa,28.34,/@decomplexify
dR-jJimWWHA,Lec 4: Functional dependency in DBMS | What is functional dependency | Database Management System,730 932 katselukertaa,25.46,/@JennyslecturesCSIT
Eqi-hYX50MI,What is Dependency Injection? | Why | Spring,600 288 katselukertaa,8.17,/@Telusko
YQt_kz3JgXI,Finding Candidate Key | Database Management System,448 414 katselukertaa,4.00,/@Edredo
J1f5b4vcxCQ,"Dependency Injection, The Best Pattern",412 393 katselukertaa,13.16,/@CodeAesthetic
DQI66PNtyk8,What is Spring Framework | Dependency Injection | Inversion of Control | Spring Core Module | HINDI,381 022 katselukertaa,15.27,/@LearnCodeWithDurgesh
X3c1phdyjbU,functional dependency in dbms,353 484 katselukertaa,7.45,/@education4uofficial
w9xsPcPBuLk,Chapter 10 - Database Normalization - Full Lecture,335 248 katselukertaa,1.20.04,/@DesoukiEgypt
ddOP5D4fagg,Functional Dependency | Database Management System,267 604 katselukertaa,5.22,/@Edredo
__5aBo-mzsU,"MS Project: Links and Dependencies: FS, SS, FF, SF - Part 18 of 55",233 388 katselukertaa,6.43,/@microsoftprojecttutorials8770
bICqNfzUG4c,Ways of Injecting dependencies |  Types of dependencies handled by IOC Container | Spring Tutorial,220 572 katselukertaa,19.43,/@LearnCodeWithDurgesh
oqYRl06DNHQ,Dependency Injection Explained,172 806 katselukertaa,11.08,/@amigoscode
S6fK6_RXctA,Kodi/Xbmc Dependencies Not Met Error (FIX 2015),159 082 katselukertaa,2.55,/@CazWallace
wq-PRkc9HX0,Rico Puestel - Dependencies (Bootleg),152 997 katselukertaa,6.38,/@vibesavvy
eQ90v7HQT-Q,Learn Dependency Injection and Write Better Code,138 771 katselukertaa,21.52,/@amigoscode
