Video Id,Title,View Count,Length,Channel
Ip3X9LOh2dk,"The determinant | Chapter 6, Essence of linear algebra",3 283 463 katselukertaa,10.03,/@3blue1brown
gH-5eY13FRM,Determinantit,20 209 katselukertaa,7.29,/@MatikkamatskutTube
3ROzG6n4yMc,"Determinant of 3x3 Matrices, 2x2 Matrix, Precalculus Video Tutorial",945 452 katselukertaa,10.17,/@TheOrganicChemistryTutor
B17h10EF59g,Determinants,18 262 katselukertaa,12.49,/@mitocw
srxexLishgY,18. Properties of Determinants,359 431 katselukertaa,49.12,/@mitocw
vvR3JSXO2fo,What is a determinant?,356 342 katselukertaa,2.51,/@LeiosLabs
CcbyMH3Noow,Evaluating the Determinant of a Matrix,93 484 katselukertaa,7.09,/@ProfessorDaveExplains
fWzUwrt1Z0s,How To Find The Determinant of a 4x4 Matrix,1 238 442 katselukertaa,11.29,/@TheOrganicChemistryTutor
BlBE45ZK21s,#47 -12th Class -HSC Board -Economics - Determinants of Supply,28 katselukertaa,15.41,/@Prof.M.H
jh1m0IgiAJI,Matrix Determinants (1 of 3: Matrices as Vectors),49 084 katselukertaa,7.08,/@misterwootube
UWaeMiP_vK8,Linear Algebra 3.1.1 Introduction to Determinants,47 365 katselukertaa,12.52,/@SawFinMath
ER_96Mx-KEE,Interpreting determinants in terms of area | Matrices | Precalculus | Khan Academy,12 630 katselukertaa,4.19,/@khanacademy
eYjSu_xXUUQ,How To Find The Determinant of a 3x3 Matrix,238 108 katselukertaa,11.31,/@TheOrganicChemistryTutor
21LWuY8i6Hw,Finding the Determinant of a 3 x 3 matrix,2 345 960 katselukertaa,6.56,/@patrickjmt
0c7dt2SQfLw,3 x 3 determinant | Matrix transformations | Linear Algebra | Khan Academy,451 982 katselukertaa,10.01,/@khanacademy
7fwKNaDt_uc,Determinants of (2 x 2) and (3 x 3) matrices – big difference!,1 320 katselukertaa,13.54,/@tabletclass
0OJGV1zlnXY,Properties of determinants of matrices | Lecture 31 | Matrix Algebra for Engineers,31 876 katselukertaa,15.21,/@ProfJeffreyChasnov
IjMxFP8AtpA,[Linear Algebra] Properties of Determinants,105 253 katselukertaa,11.58,/@Trevtutor
gq-wD21FxAY,Trick for finding the the determinant of a Matrix,24 757 katselukertaa,5.31,/@tambuwalmathsclass
lZd-twKmnmg,Linear Algebra - Lecture 26 - Determinants,21 471 katselukertaa,14.54,/@HamblinMath
