Video Id,Title,View Count,Length,Channel
oIZ7sCtZyUY,Alonzo - Determine [Banlieue 13 Ultimatum Soundtrack],4 878 127 katselukertaa,3.22,/@TokioDrifter1954
03YzCV-aDdo,Alonzo - Determine (Clip Officiel ) B13u  BSO,1 393 066 katselukertaa,3.46,/@XMontesco
q-XkDyeRFsk,Rohff - Déterminé [Clip Officiel],11 201 595 katselukertaa,6.48,/channel/UCDIdCb7LL0cA8EBbY_6njaw
b6PONDtaIqs,Determiners | Four types of determiners,1 133 614 katselukertaa,5.34,/@NihirShah
dgAx1eWXrx0,Determiners In Under 15 Minutes | BYJU'S,72 781 katselukertaa,16.43,/@BYJUSClass910
dWKwvjdm5BA,#POV: Your class determines how much you can drink per day,182 260 katselukertaa,1.00,/@amarachehade.
BTqd_7oujSk,Your Finger Shape Determines Your Health and Personality,3 378 851 katselukertaa,10.07,/@BRIGHTSIDEOFFICIAL
VTVhYO42c_0,What Determines a Person's Value?,502 644 katselukertaa,33.42,/@JoniandFriendsVideo
jS-thXuybho,"POV in a world full of monsters, your mark determines what you are 👀 | Part 3!",3 567 858 katselukertaa,0.56,/@IanBoggs
VpuEDsPvEBA,💧💎 The Value Of Things - How Do We Determine It?,80 661 katselukertaa,4.37,/@EconClips
oYcQyotTUjg,50 General Knowledge Questions - WHAT DETERMINES SKIN COLOR? | Daily Trivia  Quiz Round 29,77 954 katselukertaa,15.25,/@detormentis
1KNRP8DHvu8,"Determiners | Many, Much, Few, Little, Each & Every | Determiners In English Grammar By Ajay Sir",256 977 katselukertaa,18.01,/@PersonaInstituteForEnglish
XRqqDlqhzW4,How Men Determine Your Worth Ladies,176 577 katselukertaa,3.02.25,/@SheRaSeven1
yAXFNWliJzo,"Determiners in English Grammar// Some, Any, No, Little, Many, Few, Each, Every, Much",182 724 katselukertaa,20.59,/@PersonaInstituteForEnglish
GpGycbvrn3o,Determiners | Determiners In English Grammar | Much/Many/Few/Some/Little/Any/A Few/Too Much,3 335 205 katselukertaa,33.10,/@DearSir
fYPVgSp3DxE,POV: you get a number that determines how pretty you are...,8 744 575 katselukertaa,1.00,/@Swara_Singh
p7_tMoHdF28,If Colours that determines your Soulmate’s salary #funnyshorts #ytshorts #shorts,2 688 688 katselukertaa,0.59,/@THE_BROWN_SIBLINGS
GWaQ8dVWEEA,determine - praise ye jah,76 172 katselukertaa,3.31,/@blacklionintl
iAsAjJToKEA,#POV:U choose a colour that determines ur soulmates salary(REST OF STORY UPLOADED AS A NORMAL VIDEO),2 140 547 katselukertaa,1.01,/@amarachehade.
jKICDynQR9g,Your Mindset Determines Your Tomorrow  | Heinrich Popow | TEDxESADE,456 211 katselukertaa,18.24,/@TEDx
