Video Id,Title,View Count,Length,Channel
HRuLhY0NAMI,Dispersion | Geometric optics | Physics | Khan Academy,156 877 katselukertaa,2.15,/@khanacademymedicine
ASEdGwpyn58,Dispersion of Light,1 041 356 katselukertaa,13.51,/@ManochaAcademy
E4HAYd0QnRc,"Range, variance and standard deviation as measures of dispersion | Khan Academy",2 281 634 katselukertaa,12.34,/@khanacademy
KCfR_iNsW6k,Dispersion of Light,292 351 katselukertaa,5.07,/@AASOKA_Learning
EIqKG5TiSYs,Phase Velocity versus Group Velocity:  Wave Dispersion,220 627 katselukertaa,3.18,/@EugeneKhutoryansky
xK3iv8GvHDM,Dispersion Demo: Prism,18 566 katselukertaa,2.03,/@physicsdemos
3_fPCtaAKcs,Ep. 057 - One Hole Groups? | Dispersion |,69 413 katselukertaa,1.07.35,/@hornady
yIuJfHOVh48,London Dispersion Forces & Temporary Dipole - Induced Dipole Interactions - Intermolecular Forces,296 703 katselukertaa,11.17,/@TheOrganicChemistryTutor
AsU_J0qu_8M,introduction before exercise-8(a)#chapter-8#Measures of dispersions#intermediate-2A#2023-24,23 katselukertaa,14.46,/@learnsomethingmore
xyBWcjIvn-o,Dispersion Effect ~ Photoshop Tutorial,1 027 651 katselukertaa,7.17,/@CreativeSalek
0biRCspDrE8,Dispersion Relation WITH LYRICS | JobbytheSong,331 425 katselukertaa,1.12,/@Jobby2
4xgOWWfurpU,Dispersion Effect: Photoshop Tutorial,6 184 233 katselukertaa,10.24,/@NewWorldOps
64ELhoTvzk0,Measures of Dispersion: Formulae and Examples | What is dispersion with Examples | Sample size,115 010 katselukertaa,10.41,/@learnandapply
k2tfPeoUqdw,What is Dispersion in optical fiber | dispersion of light | optical fiber | telecom #optical #dwdm,18 581 katselukertaa,5.14,/@OpticsTrans
FmFTwLVWmvU,Dispersion of Light,51 737 katselukertaa,1.35,/@scienceprojects7130
7oSpQy95b-E,"Dispersion: Phase Velocity Versus Group Velocity, PHYS 372",14 177 katselukertaa,20.34,/@stephenremillard1
NCloUdp05k8,DISPERSION❗ MISION FINAL NIVEL 3 SHADOW COMPANY【DMZ】TEMPORADA 5 | WARZONE |,4 317 katselukertaa,3.31,/@Diegoman
O9TkJ1gNpt0,"Dispersion in One Shot | CA Foundation | Maths, LR & Stats 🔥",51 714 katselukertaa,3.02.48,/@CAWallahbyPW
L4sUWaBlOJg,Measures of Central Dispersion,25 068 katselukertaa,14.56,/@IvyPDC
5yxgLGsSWJk,DISPERSION OF A WHITE LIGHT BY A GLASS PRISM,35 533 katselukertaa,1.18,/@7activestudio
