Video Id,Title,View Count,Length,Channel
SDbXbsVeCB4,Neighborhood Wars: Top 5 Property Line Disputes | A&E,198 484 katselukertaa,11.15,/@AETV
GGigjiOYjR8,CRAZED Man Wages War With Neighbor Over Property Line Dispute | Neighborhood Wars | A&E,474 399 katselukertaa,3.07,/@AETV
mARI2a9qxtM,Dispute,475 612 katselukertaa,4.15,/channel/UC3P4lFEy3sntNGolrPxwU_g
uejxwII6KYM,A Very Frustrating Neighbor Dispute,356 530 katselukertaa,15.13,/@ColumbusPoliceBodyCamera
Qz7faRjqtZA,Video Shows Dispute Between Neighbors,917 901 katselukertaa,2.34,/@WISHTV8
XBTa0IkDHX4,Land Dispute in San Francisco Turns Violent,120 640 katselukertaa,1.57,/@NBCBayArea
ZO42TQkYdxA,Territorial Disputes in 2023,239 190 katselukertaa,12.53,/@General.Knowledge
T_dygXOkwQA,Southern American Territorial Disputes,201 650 katselukertaa,14.07,/@General.Knowledge
UpRCTpsnwdo,Border disputes around the World #Geography101,95 139 katselukertaa,15.19,/@withoutborders2023
usO5dPVfsy8,Confronting Carnality-Part 18- Dealing with Disputes,16 katselukertaa,1.20.27,/@HighPlainsBaptistChurch
aTc8m9Bh_FM,Dispute Resolution Methods - Construction,22 478 katselukertaa,4.48,/@Metroun
WZksk5n_lIA,New video disputes Lauren Boebert's claim about vote she 'protested',666 842 katselukertaa,3.08,/@msnbc
FAxpCbUSmrk,Man Cuts Neighbor’s Garage in Half Over Land Dispute,282 174 katselukertaa,1.12,/@InsideEdition
qq1rxJq6Oao,Property Line Dispute Ignites a War Between Neighbors | Neighborhood Wars | A&E,297 786 katselukertaa,2.14,/@AETV
FR7WgKnBTIE,China has border disputes with 17 countries,687 886 katselukertaa,14.05,/@CaspianReport
9SkT61BuUG8,BOUNDARY DISPUTES | ADVERSE POSSESSION,2 484 katselukertaa,5.47,/@stokemont
rcph67LofMQ,Gravel war! Neighbours in dispute over 150ft-long gravel path - Daily Mail,29 864 katselukertaa,1.56,/@dailymail
JrKFKicBk9Q,The Disputes Process | Square,47 238 katselukertaa,2.24,/@square
tGFijuVyzyQ,Introduction to Alternative Dispute Resolution,72 150 katselukertaa,9.43,/@LawShelf
hXh2ynZaTLQ,"The Worst Neighbors in History (Spite Sculptures, Giant Fences, & Boundary Disputes)",1 437 884 katselukertaa,20.06,/@LegalEagle
