Video Id,Title,View Count,Length,Channel
2E4kKcPvNi0,What A DIT Does On A Film Set,71 405 katselukertaa,13.11,/@InDepthCine
zXaN4djhghY,What Does A Digital Imaging Technician Do On Set? - DIT,37 461 katselukertaa,7.30,/@ScottBalkum
ul6_Dg675-E,Romeo Veshaj x Ledri Vula - E Keni Dit (Official Video),19 709 936 katselukertaa,2.57,/@DonaldRomeoOfficial
Znrf9457B6U,Metejoor & Mama - Dit Is Wat Mijn Mama Zei (LIVE in de Stadsschouwburg Antwerpen),934 137 katselukertaa,6.36,/@mostiko
8lQ8SGja7po,Hooja - DIT ÄLVEN GÅR,430 370 katselukertaa,2.36,/channel/UCUVMBRhTQ5nN63Kd-5dtYXg
dauomebXvmU,Indie Film Set DIT Walkthrough (TUTORIAL): What Is A Digital Imaging Technician?,22 412 katselukertaa,16.16,/@NittyGrittyStudios
PF2yw1oX-Rs,Resolve for DIT work,8 623 katselukertaa,10.56,/@learndit922
EelX_LwPHbA,Carla Bruni - Quelqu'un m'a dit (Official Music Video),12 924 706 katselukertaa,2.50,/channel/UC-pY_wp5aWV3zLDGtvvn07A
g7gW_gtuixY,Dit Is Wat Mijn Mama Zei,4 063 309 katselukertaa,2.58,/channel/UCq20ScCs2kwy8Tdq_ESWENg
eNDt1nYK-rA,DIT Kit Build Overview,7 731 katselukertaa,7.36,/@learndit922
X80ldcyPg3w,How to D.I.T (Digital Imaging Technician) on a Film Set with DaVinci Resolve - IFH Film School,24 236 katselukertaa,6.19,/@IndieFilmHustle
ExPUKCuW8II,DIT - Our Story,5 147 katselukertaa,4.05,/@DITSouthAustralia
_IwMNp78VdI,Camera Card workflow on set,16 831 katselukertaa,11.04,/@learndit922
2u0y1-akJKc,Franja Du Plessis - Bring Dit (Official Music Video),2 472 242 katselukertaa,3.19,/channel/UClqpAUGkRFA2VZZYey3671Q
mTqv0-ibirQ,E Keni Dit,2 015 214 katselukertaa,2.54,/channel/UCN4M4v4Xizg-vlfTtR4drQw
d8EWZ-EYyFE,Anatomy of a DIT Cart: On-Set Color Management,22 702 katselukertaa,4.47,/@AbelCine_official
W3fxyiD_qHk,D.I.T. * YOU BRING OUT THE BEST IN ME,75 430 katselukertaa,4.36,/@BRONCO80s
lCSU8v0HcSM,How DIT gets jobs for its grads,5 959 katselukertaa,1.54,/@DiversinstituteEdu
MLjRXD3-oPs,Anatomy of a DIT Cart: Data Management,21 350 katselukertaa,5.23,/@AbelCine_official
4idsVmltZXA,PVM-X2400 Case Study | On-set Workflow of DIT Sou Tony Naoi,5 329 katselukertaa,7.47,/@Sony
