Video Id,Title,View Count,Length,Channel
I0LpHLJGBoc,The perfect dotted circle… ⭕️😂,261 806 722 katselukertaa,0.57,/@woodyandkleiny
mms8nysAezE,The perfect circle challenge! ⭕️😂,193 844 909 katselukertaa,0.59,/@woodyandkleiny
qmWwrT91rfY,The perfect dotted line challenge,139 559 736 katselukertaa,1.01,/@woodyandkleiny
l789l6np-qA,His Hand Doesn't Even Move - Crazy free-handed dotted lines by professor in college on a chalk board,67 095 362 katselukertaa,1.54,/@ItMustBeCollege
hCPdPc553yE,900 Page FLIPBOOK // Dot Challenge,57 065 505 katselukertaa,7.05,/@andymation
27tug_sn5Ek,"It's too difficult to draw a dotted line challenge, can you succeed in the challenge?  !",40 737 506 katselukertaa,0.35,/@VDSMediaGroup
eAhfZUZiwSE,World Freehand Circle Drawing Champion,38 361 007 katselukertaa,1.19,/@gravylookout
7ejWU9jI5Vo,I LEARNED TO DRAW DOTTED LINES ON A CHALKBOARD #shorts,33 589 633 katselukertaa,0.30,/@isaiahphoto
xzCf-NxyQPc,#condoms,20 907 815 katselukertaa,0.37,/@starnewschannel2022
hbWeSHbL-rM,Learn to Draw Dotted Lines on a Chalkboard || Learn Quick,15 803 105 katselukertaa,4.22,/@MikeBoyd
3_c6JkRPKB0,I LEARNED TO DRAW A DOTTED LINE  #shorts,14 572 479 katselukertaa,0.42,/@agnitshorts1
Iq-S-WZPaTA,KamaSutra Mango Flavoured Dotted Condom 20 Sec TVC | English,8 361 465 katselukertaa,0.20,/@KamaSutraCondoms
GhawwXcQsUs,Walter Lewin's Dotted Lines Explained!,7 808 656 katselukertaa,1.56,/@WalterLewinVEVO
auACKsxSSig,Very easy dotted mehndi design #mehndi #shortsyoutube,7 801 731 katselukertaa,0.15,/@janukavlog11
E4LHJ__EAig,CAN YOU DRAW THE PERFECT DOTTED CIRCLE? 😱 - #shorts,7 350 156 katselukertaa,0.58,/@topperguild
Ea_CNcDjQSM,Latest dotted mehendi trick design tutorial / Best stylish floral henna application video,7 252 668 katselukertaa,3.46,/@diybyshikha
X1N4fTvLbsc,I LEARN TO DRAW A DOTTED LINE AND CIRCLE💥😱 #shorts,7 117 106 katselukertaa,0.50,/@JrVansh555
2GYCjgMBF6A,Sign  Your Name,5 086 940 katselukertaa,0.20,/@RyanKHudson
