Video Id,Title,View Count,Length,Channel
Zx06XNfDvk0,Petula Clark   Downtown. original version,20 126 982 katselukertaa,3.03,/@ALEXHASHS
JGhoLcsr8GA,MACKLEMORE & RYAN LEWIS - DOWNTOWN (OFFICIAL MUSIC VIDEO),240 157 808 katselukertaa,5.23,/channel/UCXYRdIXDdeZIf816EWAr5zQ
wlS6Ix7mA0w,Anitta & J Balvin - Downtown [Official Music Video],699 464 599 katselukertaa,3.20,/channel/UCqjjyPUghDSSKFBABM_CXMw
z_m4Qb0iW-o,Petula Clark ~ Downtown (1964),15 918 105 katselukertaa,3.06,/@TheOldrecordclub
wzKL-bQKcgA,Anitta & J Balvin - Downtown (Official Lyric Video) ft. Lele Pons & Juanpa Zurita,359 485 430 katselukertaa,3.14,/@LelePons
XTe4I9eRzvg,donkeyboy - Downtown (Lyric video),331 755 katselukertaa,3.32,/channel/UCl24wreAU5GhjTXzaff-L1A
Wv5nd-3BRr4,Petula Clark - Downtown (1964) 4K,1 610 270 katselukertaa,3.11,/@ClassicHitsStudio
b5q-LfhRPWQ,"Talk To Downtown Ep. 46:  Paula Sheil, President of Tuleburg Press",28 katselukertaa,1.33.08,/@downtownstockton
k6E6zZy0B5M,"""Downtown (Downtempo)"" performed by Anya Taylor-Joy - Official Music Video - Last Night in Soho",7 112 872 katselukertaa,5.27,/@FocusFeatures
IXEjOdKryyE,"MTV's Downtown, Episode 01: Sin Bin",1 018 945 katselukertaa,21.36,/@CKSRichardson
r-7JcUGkXIM,IC9 (Bankrollsyoung) - Downtown 🇨🇦 | Official Video (Produced by MJ Melodies),308 964 katselukertaa,2.19,/@IC9nerz
k4d_0EJRFIM,Petula Clark -  Downtown ( The Dean Martin Show  Episode 50  Jan 26  1967 ),7 158 092 katselukertaa,3.06,/@OLDTAPES
wOd5rLvzs3c,Petula Clark - Downtown (Lyrics),339 492 katselukertaa,3.14,/@YoungPilgrimMusic
IaSonlfx7cE,DONT BIKE DOWNTOWN,965 753 katselukertaa,10.20,/@scribblejuice
pKd4GZtqDPM,Godford - Downtown (Official Music Video),6 953 085 katselukertaa,4.35,/channel/UChDJweJvyLt-RrTJElFY7ZA
5zs8W_JAoVo,Lil Peep - Downtown (Extended+Lyrics),14 371 866 katselukertaa,3.44,/@OfficialLilMeep
WUSYb3igXzI,Petula Clark - DownTown,2 765 003 katselukertaa,3.11,/@takutaq
9jMuRfoSDrg,Petula Clark - Downtown (1964) 4K,288 573 katselukertaa,3.08,/@ClassicHitsStudio
CZC9B92tRA0,Allie X – Downtown (Official Lyric Video),14 406 121 katselukertaa,3.56,/channel/UCb1cXeayhg_La-C_saU76DA
