Video Id,Title,View Count,Length,Channel
KR3BfMbaqK0,"Kanye West's Sunday Service - Excellent (Live From Paris, France)",263 065 katselukertaa,3.38,/@EmanuelRoro
zjoiBJTpx-8,"""EXCELLENT"" - Performed by the CBU University Choir and Orchestra",146 329 katselukertaa,4.21,/@CBUMusic
B7nRtHiJk74,excellent #horse #and #donkey #meeting first time,172 829 katselukertaa,2.22,/@sadammamar
cKigyy_DDHE,Excellent,71 073 katselukertaa,7.01,/channel/UCBARG4lofEia4d6pbP3poSw
R8l5yo02ySw,Wonderful Cake Decorating Tutorials | Amazing Chocolate Cake Decorating Idea | Satisfying Cakes,9 233 389 katselukertaa,30.45,/@TransformCake
jfXqorGYKC8,Excellent - Flikker R (Prod. By Mackadena),200 475 katselukertaa,7.53,/@zwarejongenz
5GYLl0u3s8I,"Oh, Lord How Excellent (Live)",455 415 katselukertaa,5.25,/channel/UC1aIVxBN7w8wxs9_oh6nlHg
W17-4LDYH74,How excellent by Mississippi Mass Choir,12 057 664 katselukertaa,5.29,/@kleavell20
-T9qvRsgrP4,Sunday Service Choir - Excellent (Audio),833 061 katselukertaa,3.29,/channel/UCs6eXM7s8Vl5WcECcRHc2qQ
7QiYlVDqDLE,"Martha Munizzi's ""Excellent""",469 321 katselukertaa,7.51,/@AndreaReneWilliams
nbHfmXd-irM,"Excellent Pract Quest of Time ,Speed & Distance- 2-Gen Aptitude for GATE ESE & PSUs by Priyanka Maam",160 katselukertaa,1.01.18,/@IMSGATEACADEMY
kYDNpubOHfs,Excellent | Zomersessie 2023 | 101Barz,49 930 katselukertaa,18.51,/@101Barz
cOOW5GpAnHA,Extraordinarily Excellent Entities - Season 2 (All Episodes),455 115 katselukertaa,3.13.35,/@WebzForevz
ITf_Vpzt910,Excellent Korean Mass Production and Manufacturing Process Video,11 328 202 katselukertaa,1.41.39,/@Allprocessofworld
sRmxbjMIkHQ,Excellent - Toronto Mass Choir,55 020 katselukertaa,5.55,/channel/UCTIxMD5aTt39UwlJgMuobsg
TrSK4wQ7g7Y,"""How Excellent"" performed by the Youth Choir at Concord",458 659 katselukertaa,7.18,/@concordchurch
h_7HTLofuvE,H MAGNUM feat. SEXION D'ASSAUT - Excellent (Clip Officiel),1 053 148 katselukertaa,4.04,/channel/UC1B79ni5WoDeT5U-PSnnKRg
7a_F8g5K1Bo,Excellent Entities - Season 1 (All Episodes),98 389 katselukertaa,1.44.19,/@WebzForevz
HJaheJ0FKXI,EXCELLENCE - One of the Greatest Motivational Speech Videos Ever (Success) HD,324 256 katselukertaa,9.32,/@motiversity
f9HjSCkiOck,Chicago Mass Choir - Excellent is Your Name,408 083 katselukertaa,3.42,/@chicagomasschoirvevo8536
