Video Id,Title,View Count,Length,Channel
3hzqBu8KjQQ,REDZED x ELIOZIE - EXPLODE,686 826 katselukertaa,2.06,/channel/UCFmuxtfNr8z4q4dPlLNozzA
l10RwJhXmpw,Jordan Baker Explode,1 901 589 katselukertaa,3.45,/@omelhordodanceeletronicoet9639
Ee4pNvB7IEs,"If You Say Any Block in Minecraft, You EXPLODE",1 419 318 katselukertaa,19.01,/@PointCrow
blUo1WmicyU,20 BEST EXPERIMENT : Giant Worm Toothpaste  Eruption Volcano from Coca Cola VS Mentos,8 580 679 katselukertaa,1.07.10,/@discovery_experiment
ogHDTOUhmxQ,Nelly Furtado - Explode,6 687 160 katselukertaa,3.46,/channel/UC5Y-gAeGpzgzu0ObzKnhPFA
nBQZ6aa58sM,REDZED - EXPLODE (ft. ELIOZIE),2 797 210 katselukertaa,2.09,/@trash-gang
HQWAk92KEa8,Cover Drive - Explode ft. Dappy,9 932 013 katselukertaa,3.54,/@CoverDriveVEVO
Py-foWjaZ2U,Explode (Radio Mix),465 732 katselukertaa,3.35,/channel/UCUG8_h70ydupvYcYsne2-oA
rs_V7PE_zTA,Explode (Epic Extended Mix),286 488 katselukertaa,7.05,/channel/UCJJ66MBbe2VQ5_IQRgXbyXQ
_f2HraHhlSk,mehro - exploding (Official Video),1 197 654 katselukertaa,3.54,/channel/UCtPKWrq1U30avtk7veUCh_A
i0kHEjBZohY,Charli XCX - Explode (from The Angry Birds Movie) [Official Audio],680 558 katselukertaa,3.42,/@atlanticrecords
wUQ6DMDhEAc,Jordan & Baker - Explode (Official Video),35 707 katselukertaa,2.55,/@clubrotationtv
rFoE1PFPbVE,Jordan & Baker - Explode [HD - Techno Classic Song],694 833 katselukertaa,3.32,/@L3G3nD3
Mu4FYCzQ4mc,DEATHSTARS - Explode (OFFICIAL LYRIC VIDEO),876 452 katselukertaa,4.56,/@NuclearBlastRecords
pDRr_UhcKLc,89ers x Michael Rivera x Darius & Finlay - Feeling the Love Again (Explode) (Official Music Video),155 272 katselukertaa,2.51,/@kontorrecords
1zJbwDRayXQ,We just watched a Star Explode!,1 067 101 katselukertaa,0.44,/@AstroKobi
HaN0RPT8_3Q,Raizer - Explode,197 295 katselukertaa,4.27,/@fixt
uUQjFupJ97I,Why Do Dead Whales Explode? | Whale Explosion | The Dr Binocs Show | Peekaboo Kidz,2 211 914 katselukertaa,5.49,/@Peekaboo_Kidz
bNI1gwue4gg,Explode,105 333 katselukertaa,4.06,/channel/UC5v1uXHx16pbslGgAR1b1tg
