Video Id,Title,View Count,Length,Channel
WyiIGEHQP8o,Red Velvet 레드벨벳 '빨간 맛 (Red Flavor)' MV,201 258 542 katselukertaa,3.26,/@SMTOWN
BFUxr_dkqxw,Flavour - Time to Party (feat. Diamond Platnumz) [Official Video],119 096 670 katselukertaa,3.29,/channel/UCC24v-BVlGf1IeiqMlFx0dQ
IflpfcHmq5I,Diamond Platnumz Ft Mr Flavour - Nana,93 409 138 katselukertaa,3.51,/channel/UCev-b-xy-p5fHK8x3zJyn1Q
bc7vqMU0LBE,Flavour Song | Kids Songs & Nursery Rhymes Little Angel,67 931 118 katselukertaa,22.47,/channel/UCNzsYU0aWwjERj-9Y9HUEng
EsR0yCvG3Oc,Flavour - Baby Na Yoka (Official Video),66 714 242 katselukertaa,3.36,/channel/UCC24v-BVlGf1IeiqMlFx0dQ
yMSTYtMSbL0,Flavour - Nwa Baby (Ashawo Remix) [Official Video],63 352 558 katselukertaa,4.18,/channel/UCC24v-BVlGf1IeiqMlFx0dQ
-6ZRNag3Zd0,Flavour - Sexy Rosey feat. P-Square (Official Video),61 143 650 katselukertaa,4.18,/channel/UCC24v-BVlGf1IeiqMlFx0dQ
8mXZTTftMeQ,Flavour - Golibe (Official Video),54 452 125 katselukertaa,5.17,/channel/UCC24v-BVlGf1IeiqMlFx0dQ
Dhek9R3c6TY,Flavour - Ololufe (feat. Chidinma) [Official Video],53 392 216 katselukertaa,3.17,/channel/UCC24v-BVlGf1IeiqMlFx0dQ
2lUFM8yTtUc,Flavour - Ada Ada (Official Video),53 255 780 katselukertaa,4.58,/channel/UCC24v-BVlGf1IeiqMlFx0dQ
jZf7sXuC7Io,Semah X Flavour - No One Like You [Official Video],52 118 819 katselukertaa,4.58,/channel/UCC24v-BVlGf1IeiqMlFx0dQ
CKYVvlTIzFg,รับได้ไหม...ถ้ามีใครอีกคน Flavour [Official MV],50 497 651 katselukertaa,6.33,/@rsfriends
iw13Xx5UASY,Unwrap & whack this orange flavour 🍫🍫🍫 #asmr #shorts,37 963 541 katselukertaa,0.07,/@BritishFilipina
NZhV0l_NZV0,Flavour - Nnekata (Official Video),35 602 891 katselukertaa,4.00,/channel/UCC24v-BVlGf1IeiqMlFx0dQ
i-agNj70pXU,Flavour  - Most High (feat. Semah) [Official Video],33 332 026 katselukertaa,4.02,/channel/UCC24v-BVlGf1IeiqMlFx0dQ
2LGiIBkg2uw,Flavour - Berna Reloaded (feat. Fally Ipupa & Diamond Platnumz),32 419 441 katselukertaa,3.56,/channel/UCC24v-BVlGf1IeiqMlFx0dQ
afxKcToF7Kk,Flavour - Awele (feat. Umu Obiligbo) [Official Video],32 278 134 katselukertaa,8.34,/channel/UCC24v-BVlGf1IeiqMlFx0dQ
r_jOozJGsco,Flavour Song 😋😝 | Funny Kids Songs 😻🐨🐰🦁 And Nursery Rhymes by Baby Zoo,29 022 936 katselukertaa,3.07,/channel/UC73OSCbHaqKlhHLBpQqHPrQ
MaH9oB2g82w,Flavour (feat. Tiwa Savage) - Oyi Remix (Official Video),28 848 993 katselukertaa,3.20,/channel/UCC24v-BVlGf1IeiqMlFx0dQ
xZsojox79ig,Flavour - Levels (Official Video),23 754 407 katselukertaa,3.25,/channel/UCC24v-BVlGf1IeiqMlFx0dQ
