Video Id,Title,View Count,Length,Channel
AO4mdSNvCkU,Tom Odell - Flying :)) (Official Music Video),994 096 katselukertaa,3.00,/channel/UCw82hVTqhUUGOQIrGcG8HIw
gNSOISkjnIU,Curbi - Flying [Monstercat Release],476 050 katselukertaa,3.05,/@Monstercat
NoEIriuS0H8,FLYING OVER SWITZERLAND (4K UHD) - Relaxing Music With Stunning Beautiful Nature (4K Video Ultra HD),3 300 012 katselukertaa,11.54.56,/@earthrelaxation
mOuFqdrcq5k,Flying by Garnet Crow,2 746 384 katselukertaa,4.33,/@xeanheart
lh4JdZTJe7k,"12 tuntia rentouttavaa unimusiikkia • Stressinpoistoa, unettomuutta, rauhoittavaa taustamusiikkia",35 012 858 katselukertaa,11.58.09,/@SoothingRelaxation
1ZYbU82GVz4,"Rentouttavaa Musiikkia Nukahtamiseen, Meditaatioon ja Stressinpoistoon • Flying",404 080 773 katselukertaa,3.00.22,/@SoothingRelaxation
iSqguQk55CI,Flying,109 217 katselukertaa,2.31,/channel/UC6sRh9jSqlFHLGgoAa9_h5g
YTAC63PdpKw,Flying - tradução,12 085 107 katselukertaa,6.29,/@brandiniz13
nxnXh7rsN0o,"Josh Tatofi ""Flying"" Cover (by Peter Moon Band)",1 989 984 katselukertaa,5.03,/@antonioagosto
Z1ONJQLdZrk,Flying (Remastered 2009),2 428 375 katselukertaa,2.16,/channel/UCc4K7bAqpdBP8jh1j9XZAww
mBsaY0OcYpY,Peder B. Helland - Flying,407 896 katselukertaa,30.03,/channel/UCIIzc3b8U0_vtVScDEyFGew
13nYeV_4TyY,Anathema - Flying [Live in Plovdiv Bulgaria 2012] With lyrics,1 444 786 katselukertaa,9.21,/@tonnygrimberg
dNTd37TU1h4,Exproz - Flying (Official Video),31 011 katselukertaa,3.06,/@GearboxDigital
JLVIjdDfECQ,Flying - Cody Fry [Official Lyric Video],951 050 katselukertaa,4.20,/channel/UCqL0JmCc2RhFEe3HFviJW4A
J_4leOeH9Lc,FLYING OVER HAWAII (4K UHD) - Relaxing Music Along With Beautiful Nature Videos(4K Video Ultra HD),2 122 681 katselukertaa,11.54.57,/@pianorelaxing4254
y0hu8XBGSEU,Chris De Burgh   Flying 1975,225 578 katselukertaa,4.19,/@lindonorstuart9076
2yzDI_Jbm9w,Flying,221 835 katselukertaa,3.33,/channel/UCLmiAyjk0uFbhQkO5tHRhNg
hpfVMPCR3xA,FLYING OVER CANADA (4K UHD) - Relaxing Music With Stunning Beautiful Nature (4K Video Ultra HD),3 047 286 katselukertaa,11.55.00,/@earthrelaxation
Uj_EXU8Mdws,Peder B. Helland – Flying (Koko Albumi),2 276 673 katselukertaa,5.28.46,/@SoothingRelaxation
