Video Id,Title,View Count,Length,Channel
9kHdhbEnhoA,High Speed Video of the Vocal Folds,71 208 367 katselukertaa,0.47,/@tjduetsch
hGZK5nSdFC4,Vocal Folds in Action! Voice Stroboscope Larynx Singing/Speaking Video,43 190 952 katselukertaa,1.49,/@TopherKeene
tB_TjdAHvas,A pill-sized towel that folds out into a large one! || Life-Saving Lifehacks by SMOL #shorts,34 151 237 katselukertaa,0.52,/@SMOL_official
3BNg4fDJC8A,How This Guy Folds and Flies World Record Paper Airplanes | WIRED,31 587 816 katselukertaa,11.04,/@WIRED
9wNPug7h1gQ,Etta James Lauryn Hill mashup ft. Maiya Sykes & Ben Folds,22 656 322 katselukertaa,4.43,/channel/UC-2JUs_G21BrJ0efehwGkUw
FSfRRBNPfFs,"My Money Don’t Jiggle Jiggle, It Folds - Louis Theroux (Duke & Jones Full Viral TikTok Song)",21 149 625 katselukertaa,1.37,/channel/UC_jA6w-7PzvsviiQ7cqmPZg
X4LtiysMEU0,Duke & Jones - My Money Don't Jiggle Jiggle It Folds (Lyrics) TikTok Song,18 953 511 katselukertaa,1.38,/@LatinHype.
vtqtyyGZvXM,The Broken Galaxy Folds: Explained!,16 816 725 katselukertaa,9.49,/@mkbhd
Wt5EHAqhR1c,Ben Folds Five - Brick,15 881 452 katselukertaa,4.31,/@BenFoldsFiveVEVO
UN6oMdALC_8,My Money Don’t Jiggle It Folds TikTok (Lyrics) Extended Version,15 596 593 katselukertaa,1.47,/@itsTikTokTunes
BytUY_AwTUs,Ben Folds Composes a Song LIVE for Orchestra In Only 10 Minutes,9 156 068 katselukertaa,13.41,/@kennedycenter
0y9QZdboTGY,"It’s the Small Things, Charlie Brown — Mini Music Lesson with Ben Folds | Apple TV+",8 182 594 katselukertaa,3.17,/@AppleTV
l9X3ryvCO6I,The Glock that Folds!!! #shorts,7 176 273 katselukertaa,0.22,/@SayFoolLonzoNSG247
AmFMJC45f1Q,Exponential Growth: How Folding Paper Can Get You to the Moon,6 002 103 katselukertaa,3.49,/@TEDEd
J5yT1b7q0b0,Flexibility training for foward folds & straddle splits 🤍 #flexiblegirl #forwardfold #splits,5 872 356 katselukertaa,0.10,/@ZoharYogaFlex
ybKPN9vNlHc,How To Fold An Origami Snapper Puppet,4 031 397 katselukertaa,12.37,/@artforkidshub
USiP0-4tnzo,Tesla FSD auto-folds mirrors for narrow gap,4 030 932 katselukertaa,0.34,/@AIDRIVRShorts
OiiQ0wGI004,How To Fold Paper Claws,3 846 287 katselukertaa,6.51,/@artforkidshub
34u_3Z9_LUw,Ben Folds - Rockin' the Suburbs,3 687 382 katselukertaa,4.16,/channel/UCNjEo_L1jMY7mMqb5G70JvA
kqPwR39VMh0,Ben Folds - Still Fighting It,3 363 180 katselukertaa,4.25,/channel/UCNjEo_L1jMY7mMqb5G70JvA
