Video Id,Title,View Count,Length,Channel
qzIuGDN349E,Formula,278 365 katselukertaa,3.24,/channel/UCeklL0nAgMWeiFFSVy0EFOA
N7EKS2aW_oc,Labrinth – Formula (Official Audio) | Euphoria (Original Score from the HBO Series),48 112 166 katselukertaa,1.32,/channel/UChEJTRbiCUULBRZuD9_77EA
cZ6A3bLRTjM,I Hosted a $1000 PROS VS NOOBS Tournament In Fortnite!,20 585 katselukertaa,14.06,/@formula
kLcNoHzVu84,I Hosted a $1000 MAMMOTH PISTOL ONLY Tournament In Fortnite!,88 549 katselukertaa,13.57,/@formula
a_NqpDVN5iA,I Hosted a $1000 SQUADS Tournament In Fortnite! (Season 4),21 508 katselukertaa,14.31,/@formula
1MrVv4ht33c,Labrinth – Formula (Extended version) | Euphoria (Original Score from the HBO Series),10 794 182 katselukertaa,4.20,/@ExtendedSoundtracks
3v9cqGF7wuQ,Thursday Drivers' Wrap | 2023 Singapore Grand Prix,208 143 katselukertaa,9.22,/@Formula1
3hJawHSCqfg,"will.i.am, Lil Wayne - THE FORMULA (Official Music Video)",28 821 503 katselukertaa,3.49,/channel/UCVCdOaiHD05nGQm9tf1SEzw
wtKD8zcGLsU,Ferrari Formula 1 Corse Clienti - EPIC Line up! V8/V10/V12,4 813 643 katselukertaa,6.37,/@Gumbal
bd9eALWJRzY,Race Highlights | 2023 Italian Grand Prix,5 166 763 katselukertaa,8.08,/@Formula1
0gZjb0ZM3hU,I Hosted a $1000 SNIPER ONLY Tournament In Fortnite! (Season 4),32 066 katselukertaa,17.01,/@formula
9k1XyvwM4no,The D.O.C. - The Formula (Official Video),14 264 325 katselukertaa,5.14,/@UPROXXVideo
gmc4tkVJow8,"De La Ghetto, Daddy Yankee, Ozuna & Chris Jeday - La Formula | Video Oficial",281 955 950 katselukertaa,3.56,/@warnermusiclat
iF0m5lmnQpA,I Hosted a $1000 TRIOS Tournament In Fortnite! (Season 4),25 633 katselukertaa,15.08,/@formula
Bt0T3nRE1Cc,ALKALINE - FORMULA (Official Music Video),37 395 740 katselukertaa,4.29,/channel/UCLC425ccOphOrLKOSEhjSyg
nJIrvbkr4pk,Race Highlights | 2023 Azerbaijan Grand Prix,7 172 501 katselukertaa,7.21,/@Formula1
sVpSaPlAA8s,I Hosted a $1000 SOLOS Tournament In Season 4 Fortnite!,44 939 katselukertaa,19.08,/@formula
msQ2FENo_7o,I Hosted a $1000 DUOS Tournament In Fortnite! (Season 4),35 471 katselukertaa,16.37,/@formula
