Video Id,Title,View Count,Length,Channel
p3l7fgvrEKM,GALA - Freed from desire [Official Video],236 567 898 katselukertaa,3.34,/@DOITYOURSELF
_bxaDvSTGl0,GALA - Let a boy cry [Official Video],16 356 029 katselukertaa,3.24,/@DOITYOURSELF
xwVn8r75wxs,Gala Games Legal Update: Tax Fraud and 5.5 Billion Gala Protected?!,536 katselukertaa,43.19,/@realdrwookiee
kxENQpNO6LM,GALA - Come into my life [Official Video],8 142 643 katselukertaa,3.39,/@DOITYOURSELF
sDj8yWzlGrA,Gala  - Come Into My Life (1997) [Full Album],186 534 katselukertaa,38.15,/@MELOMANDANCE
9_RKo8l5QUo,GALA Games Will it Go To ZERO?! What ICP & Solana Can Teach Us,13 147 katselukertaa,10.57,/@TheHouseOfCrypto
ESlzAk4tTvg,VANITY & NICOLE RUZIE?! GALA EN KLUUK NIEUWE LIEFDE?! #MACDATE MET... LOVE ISLAND,14 896 katselukertaa,33.07,/@nickeshuis1999
zERymfFSzN0,GALA THIS MIGHT BE THE END!!,16 997 katselukertaa,10.23,/@JakeGordonCrypto
d1VrYPEk5SU,Gala Games Legal Turmoil: What You Need to Know,5 197 katselukertaa,27.06,/@realdrwookiee
iwNwDczph-4,Gala : BE VERY PREPARED!!,8 709 katselukertaa,8.45,/@Crypto_Jon
0tq390EnlXA,GALA - Faraway (Official Video),9 297 678 katselukertaa,3.22,/channel/UCB3MvIfz-o8Gp44DT8q8vSg
4t7Ee4wCNxA,I'M DONE WITH GALA GAMES!! ($130 Million Lawsuit!),12 248 katselukertaa,3.34,/@TheBitcoinExpress
LHCTW4pckDo,Live at the Met Gala With Vogue,,2.45.48,/@Vogue
AjBUn9bHCJo,GALA GAMES | DOMINATION IS HERE 🚨 | POST-LAWSUIT THOUGHTS,2 660 katselukertaa,11.41,/@ClassyGamesYT
lV3b-6q2_8g,Gala Games Legal Update: Co-Founder's Assets to Be FROZEN?!,4 341 katselukertaa,18.10,/@realdrwookiee
1Y4jEZXZnU8,GALA GAMES: HOLD OR SELL?,2 736 katselukertaa,5.21,/@StephisCrypto
7GeDx-R32-0,Gala Games Lawsuit! THIS IS BAD!,3 263 katselukertaa,13.15,/@DCACryptoDean
mPqVHljBNH4,"GALA GAMES | NEW LEAKS!!! [70,000 IN ??? DAYS]",3 567 katselukertaa,10.54,/@ClassyGamesYT
v5ONHwCvu-k,GALA ZERSTÖRT sich SELBST!🤯,6 644 katselukertaa,5.04,/@bigdaddycrypto
ojLAkv3W7nY,"GALA Games Coin Price News Today - Technical Analysis Update, Elliott Wave Price Prediction!",1 228 katselukertaa,6.30,/@morecryptoonline
