Video Id,Title,View Count,Length,Channel
13T6ihK1zbM,30 DAYS BEFORE GCSE / A LEVEL EXAMS | 4 Week Last Min Revision Plan,46 504 katselukertaa,14.47,/@SmileWithSola
Zr4bTg4IY0M,SIDEMEN GET THEIR GCSE RESULTS,2 391 850 katselukertaa,25.46,/@MoreSidemen
Bvu74No4q5I,HOW TO STOP FORGETTING EVERYTHING YOU STUDY | YOU'RE WASTING TIME! 📚⏰,29 997 katselukertaa,11.02,/@SmileWithSola
kf-mbrPniQI,How I'm Always Motivated to Study (GCSE & A-level),12 635 katselukertaa,4.17,/@shiggs33
F0s7KLOVp08,"HOW TO GET A 9 IN ANY GCSE LANGUAGE (French, Spanish, German, etc) | Tips & Tricks No One Tells You!",9 543 katselukertaa,12.33,/@SmileWithSola
9fh56w3Z_Q0,Why GCSE Results Were So Bad This Year,64 005 katselukertaa,11.19,/@TLDRnews
0SchpNJ8Yww,How to Get All 9s In GCSEs (No BS Guide),16 028 katselukertaa,4.53,/@shiggs33
kPgK6MLq5WY,DAY BEFORE GCSE / A LEVEL EXAM | What should I do? | LAST MIN Study Tips & EFFECTIVE CRAMMING,27 855 katselukertaa,13.14,/@SmileWithSola
WoIvvhgxdKI,Asking A* Student for Study Tips | A Levels and GCSEs,79 627 katselukertaa,10.31,/@udokafintelmann6803
AYGMDF1t7Co,NO BUDGET GCSE SCHOOL SUPPLY SHOPPING HAUL! *YEAR 10 EXAMS*,195 384 katselukertaa,15.18,/@The3Halls
CTIxI9TNNqw,GCSE Results Day: MP Nick Gibb Reveals Why Grading Was Harsher This Year | Good Morning Britain,12 871 katselukertaa,11.04,/@gmb
z8lOBfoDV_0,EXAMS ARE STARTING! How to revise for A*/9 GCSE & A-Level,10 645 katselukertaa,11.15,/@nada_omar
QUxv3nPsCxo,HOW TO GET ALL 9s IN YOUR GCSES (Tips & Tricks That They Don't Tell You),283 548 katselukertaa,16.51,/@SmileWithSola
0bB_cSw0sf0,GCSE Pupils Open Their Exam Results Live On Air | Good Morning Britain,272 567 katselukertaa,6.50,/@gmb
MUK7hy90EqI,GCSE Grade Boundaries Much Tougher in 2023?,40 806 katselukertaa,9.12,/@MrSallesTeachesEnglish
KpVWw8ud0rs,"ADVICE FOR GCSE SEASON! | revision, motivation & how to plan/organise ✧*:･ﾟ",2 795 katselukertaa,14.02,/@rowanemiily
V30ogLRUnMQ,"End of Year 10 School Q&A + Life Update *mocks, revision, GCSE’s | Ruby Rose UK",15 170 katselukertaa,13.16,/@rubyroseuk
uBsP-TFwayM,GCSE results day: Number of top grades and passes down in England,21 442 katselukertaa,4.08,/@Channel4News
