Video Id,Title,View Count,Length,Channel
kTny1iFuTh0,Cheetahs Takedown a Wildebeest | The Way of the Cheetah,1 689 709 katselukertaa,4.33,/@NatGeoWild
wrlKR9p0eak,Geography & culture facts to learn if you're bored,1 303 996 katselukertaa,11.30,/@GeographyGeek
Fd95sDDARdA,National Geographic Documentary - Fighting to Survive Wild Nature - Wildlife Animal,3 774 898 katselukertaa,49.56,/@animaldocumentaryhd9757
WOeQTnS82Pc,100 Useless Geographical Facts - Special Edition,196 192 katselukertaa,12.56,/@earthbasics10
libKVRa01L8,Solar System 101 | National Geographic,29 734 554 katselukertaa,4.11,/@NatGeo
DShjR0pSc_U,10 Solid Minutes of Geography & Culture Facts,1 768 443 katselukertaa,10.32,/@GeographyGeek
bcm5PeBbw4o,Geographical Features for Kids - The Relief of the Earth's Surface,45 516 katselukertaa,6.03,/@SmileandLearnEnglish
VNGUdObDoLk,Volcanoes 101 | National Geographic,29 508 552 katselukertaa,4.59,/@NatGeo
VVebrFdjdk4,Cobra Vs. Meerkat | Wild Africa | National Geographic Wild UK,17 123 910 katselukertaa,4.39,/@NationalGeographicUK
7qkDIQZ9ySs,How a Tiny CatDog Took Over the World,1 358 720 katselukertaa,14.36,/@mndiaye_97
f3EaUsEFsBA,40 Random Ridiculous Geography Facts,1 075 396 katselukertaa,11.00,/@TheGeographyBible
Q0gYQrebGwY,The Mighty River | Ganga: River From The Skies | National Geographic,2 146 593 katselukertaa,4.45,/@natgeoindia
aacHWoB7cmY,Tornadoes 101 | National Geographic,7 660 073 katselukertaa,5.32,/@NatGeo
GnCdptkgXec,50 Fun And Interesting Geography Facts,567 708 katselukertaa,10.12,/@TheGeographyBible
ibzAZyO5wmM,Amazing nature - Run to survive,16 387 717 katselukertaa,50.01,/@FreeHighQualityDocumentaries
3SsK-cxlj_w,25 Greatest Natural Wonders of the World - Travel Video,22 137 827 katselukertaa,35.04,/@touropia
sGX_UReXOS0,Guess The Country on The Map  | Geography Quiz Challenge,4 700 690 katselukertaa,16.32,/@kiddopedia
kOEDG3j1bjs,Black Holes 101 | National Geographic,6 929 776 katselukertaa,3.11,/@NatGeo
