Video Id,Title,View Count,Length,Channel
bvD0uB2_K1w,Bill Gates Vs Human Calculator,86 639 162 katselukertaa,0.51,/@MsMunchie123
kBdfcR-8hEY,"Justice: What's The Right Thing To Do? Episode 01 ""THE MORAL SIDE OF MURDER""",37 130 993 katselukertaa,54.56,/@harvard
HAnw168huqA,"Think Fast, Talk Smart: Communication Techniques",32 814 534 katselukertaa,58.20,/@stanfordgsb
PCiWTRg-itY,Best Guitar player Amin Toofani at Harvard University,28 488 343 katselukertaa,8.37,/@DiretubePlus
cSSFRim8OK8,Giving Harvard Students an iPhone 11 If They Can Answer THIS Question,25 526 190 katselukertaa,15.42,/@ELLIOTCHOY
louggKlugl8,Así es la escuela más cara del mundo | HARVARD,25 275 329 katselukertaa,12.09,/@luisitocomunica
8KkKuTCFvzI,Robert Waldinger: What makes a good life? Lessons from the longest study on happiness | TED,24 506 358 katselukertaa,12.47,/@TED
0wgTLN6kzCc,The Hardest Class at Harvard,17 896 393 katselukertaa,0.29,/@goharsguide
0JUN9aDxVmI,"Advanced Algorithms (COMPSCI 224), Lecture 1",16 594 637 katselukertaa,1.28.19,/@harvard
LLj0DYO7os4,SECRETS OF HARVARD STUDENTS,15 593 174 katselukertaa,4.02,/@omozoc
gsefnhTK5lc,Watch the moment Mark Zuckerberg got into Harvard,14 748 799 katselukertaa,1.02,/@CNN
rIVyHIyBN5k,The Lowest GPA Someone Got Into Harvard With,14 468 645 katselukertaa,0.27,/@goharsguide
DmwTN2slUhU,A Day in the Life of a Harvard Computer Science Student,13 902 387 katselukertaa,12.24,/@thejohnfish
DP526LLlnGQ,Taking on a top typer: Harvard professor Jelani Nelson,13 608 434 katselukertaa,0.50,/@harvard
35vY_c6h23I,A Day in the Life of a Harvard Student,13 273 667 katselukertaa,12.43,/@SiennaSanter
p7iwXvBnbIE,Take a Seat in the Harvard MBA Case Classroom,12 889 467 katselukertaa,10.00,/@HarvardHBS
vCVw781YHZQ,I got Chased by a Racist Guy at Harvard University,12 210 205 katselukertaa,0.42,/@KELWAK
GES12a1TFZw,Most viral reactions 🥺 to  Harvard college 2025 acceptance🧡💜,11 065 746 katselukertaa,4.48,/@kamovanord8552
PQW8sG1zb4Y,How Harvard Decides Who To Reject in 30 Seconds,10 941 658 katselukertaa,0.29,/@ShivVZG
kJGupYFaCGs,The Unspoken Reality Behind the Harvard Gates | Alex Chang | TEDxSHSID,10 586 453 katselukertaa,13.07,/@IvyWayAcademy
