Video Id,Title,View Count,Length,Channel
UKp2CrfmVfw,Alessia Cara - Here,243 586 924 katselukertaa,3.30,/channel/UCSZBmDk4v3ozB3kfB2oyUEA
DArzZ3RvejU,Alessia Cara - Here (Lucian Remix),284 387 779 katselukertaa,3.28,/@TrapNation
yo8Riw9IHUw,Staind - Here And Now (Official Music Video),116 786 katselukertaa,3.58,/channel/UCygNV8cau_ZC22-Y7TlPpCw
_Q_onQIhBW0,Alessia Cara - Here (Lyrics),283 005 katselukertaa,3.19,/@PopularMusicNetwork
YZRPRf84HO4,Alessia Cara - Here,5 257 781 katselukertaa,3.18,/channel/UCSZBmDk4v3ozB3kfB2oyUEA
EksJjKej68w,Tom Grennan - Here (Official Video),2 071 599 katselukertaa,3.25,/channel/UCjtK2di7aJovtPXe1m42ylA
Y6P1QtfCz1g,Here,82 485 katselukertaa,3.25,/channel/UCQvAo-BW7FbpQ99OyFrXq_A
GrGX4KZ44WI,Alessia Cara - Here (Official Lyric Video),25 240 906 katselukertaa,3.25,/channel/UCSZBmDk4v3ozB3kfB2oyUEA
fTjjJbndjis,Alessia Cara  ~ Here Lyrics,13 643 294 katselukertaa,3.24,/@charliefox1231
WyF8RHM1OCg,Whitesnake - Here I Go Again '87 (Official Music Video),122 712 861 katselukertaa,4.32,/@rhino
Ip6cw8gfHHI,d4vd - Here With Me [Official Music Video],67 040 391 katselukertaa,3.42,/channel/UC98WsFnuhfS3uT8PwdYCjbw
JRipNfX7ahQ,d4vd - Here With Me (Acoustic),19 099 739 katselukertaa,4.11,/channel/UC98WsFnuhfS3uT8PwdYCjbw
XSeAieSJUrs,Here ～New version～,944 790 katselukertaa,4.18,/channel/UCnqOw96NU-jDDcFkEXGmnTg
KpMqpqUhmtg,Christine and the Queens - Here ft. Booba (Clip Officiel),10 718 458 katselukertaa,4.29,/channel/UCvDr_Xznwh4gXIy17vVci1w
B7Y4LHbpXv0,d4vd - Here With Me (Official Audio),71 837 888 katselukertaa,4.03,/channel/UC98WsFnuhfS3uT8PwdYCjbw
RvKUvxj3tus,Mitchell Tenpenny - Here (Lyric Video),508 618 katselukertaa,2.58,/channel/UCavWiZY9IBxSJehbaAjqjmg
bY4kEuki5hM,d4vd - Here With Me (Lyrics),31 016 354 katselukertaa,4.02,/@DanMusic
DsK_4imDceI,Tom Grennan - Here (Audio),348 285 katselukertaa,3.16,/channel/UCjtK2di7aJovtPXe1m42ylA
i41qWJ6QjPI,Beyoncé - I Was Here (United Nations World Humanitarian Day Performance Video),139 200 871 katselukertaa,4.34,/channel/UCuHzBCaKmtaLcRAOoazhCPA
