Video Id,Title,View Count,Length,Channel
QvKbrj3nGH0,Historians,51 629 katselukertaa,3.57,/channel/UC30azBKZICH0yBDZhOtyDlg
CnbMykumYYc,"Archaeologists and Historians Were Forbidden to Study These Finds, So as Not to Rewrite History!",1 016 487 katselukertaa,1.31.22,/@HiddenWorldsEN
rLt-DvBKEJY,Historian Predicts How Russia's War in Ukraine Will End,1 877 449 katselukertaa,18.05,/@TheInfographicsShow
gOhuNZ22lBw,Fall of lSlS: Battle of Mosul | Animated History,686 724 katselukertaa,16.51,/@TheArmchairHistorian
LO7Vinxq0mw,Historians are SHOCKED !!! It was there all along...,171 210 katselukertaa,42.30,/@withoutHistory
kiNi81mOX60,what does a historian do? 📜,34 684 katselukertaa,17.52,/@OpheliaVert
5ng24ML6Xbs,Ancient-Warfare Historian Rates 10 More Battle Scenes In Movies And TV | How Real Is It?,2 092 206 katselukertaa,18.09,/@Insider
uJsKy_XN850,Civil War Historian Rates 9 American Civil War Battles In Movies | Insider | How Real Is It,580 235 katselukertaa,22.08,/@Insider
HMHGqcIWgYg,What does a Historian do?,27 359 katselukertaa,5.41,/@josiesmith7417
HBfy5LoNWcg,What Historians Discovered in this Ancient African Library Left them Speechless...,337 574 katselukertaa,13.51,/@withoutHistory
YMdCUQF5o5w,How do historians know about the past? (1/3),98 277 katselukertaa,1.22,/@OpenLearn_OU
d_kwebDQ868,Top Roman Historian Rates Famous Movie Scenes,1 513 234 katselukertaa,21.05,/@HistoryHit
HGR8NcLUB1g,"Presidential historians on unprecedented situation: Not ""an ordinary clash of political interests""",191 749 katselukertaa,25.01,/@facethenation
NAnDfbB6Uvg,historians,5 092 katselukertaa,1.58,/channel/UCuIlPXm02Zo25hbjv4qGfxQ
-qDwCPK_Fk0,What Future Historians Will Think Of Us In 100 Years - How History Works,38 121 katselukertaa,11.25,/@HowHistoryWorks
4sddOblC6gs,"Historian Tom Holland on Oppenheimer, Napoleon and why the world loves British history",65 288 katselukertaa,47.19,/@telegraph
CygZqkBCgvg,Top Medieval Historian Reviews Famous Movie Scenes | Part One,1 891 107 katselukertaa,21.22,/@HistoryHit
