Video Id,Title,View Count,Length,Channel
rTNDAMyRpUs,#ifdef #ifndef Conditional Compilation Directives | C Programming Tutorial,7 006 katselukertaa,8.37,/@PortfolioCourses
m5GJn6z9p6w,Conditional Compilation Macros ifdef  ifndef undef in C Video Tutorial,58 366 katselukertaa,4.51,/@LearningLad
90-_O4Af_Cg,Conditional Compilation Macros | ifdef  ifndef | C++ Video Tutorial,42 859 katselukertaa,3.23,/@LearningLad
J0nWQRqb3Fc,Conditional Compilation In C: #ifdef #else #endif,25 118 katselukertaa,7.12,/@technotipDOTorg
RU5JUHAiR18,How to Include File Guards - Why to Include Fileguards in C or C++ Header Files,71 868 katselukertaa,6.19,/@PaulProgramming
Q6qZsnJw-EU,#ifdef PROGRESSIVE_WEB_APPS,3 694 katselukertaa,15.55,/@ifdefwindows1542
kBTM0dLzNXk,#ifdef DEBUG,9 590 katselukertaa,3.08,/@mbbackus
T_gKJnCXThg,#ifdef LottieUWP,1 174 katselukertaa,16.07,/@ifdefwindows1542
jYEdbYrOLLA,"C Basics for Beginners: Preprocessor #define, #ifdef, and #ifndef",26 katselukertaa,6.00,/@ecoscover4046
Zk1nBxHgp60,Условная компиляция. #ifdef #else #endif #if #elif #endif #ifndef что это. C ++ Урок #68,90 816 katselukertaa,12.53,/@SimpleCodeIT
bOVELm4svWg,Preprocessing   #ifdef:#ifndef,35 katselukertaa,3.08,/@IHaveNoClueI
e8qTD5g14ks,#ifdef SURFACE_HUB - one developer's guide,813 katselukertaa,11.12,/@ifdefwindows1542
q8yUa0ZH058,#ifdef WINML,2 722 katselukertaa,16.16,/@ifdefwindows1542
DYcrBo9S83k,#ifdef 3D_LAUNCHERS | glTF TOOLKIT,875 katselukertaa,18.50,/@ifdefwindows1542
Y7UEY7Cxz7Y,Conditional Compilation In C: #ifndef #else #endif,2 921 katselukertaa,2.51,/@technotipDOTorg
fGtNqklA4BU,Header Files - Preprocessors | include | if defined | ifdef  | Conditional Inclusion,1 056 katselukertaa,17.37,/@phymacillustrator
LDaMcOh-dXE,C #ifdef,155 katselukertaa,1.36,/@Easy2Learn
CULB1AqtLAE,37   Conditional Compilation Macros #ifdef #ifndef #undef in C Video Tutorial,168 katselukertaa,4.51,/@jackmadix424
YwJ_OAsWd6A,'ifdef compiler directive VERILOG #verilog,551 katselukertaa,6.28,/@digital2realtutorials671
rzr97VP-x_k,#ifdef directive for conditional compilation in c programming | by Sanjay Gupta,3 315 katselukertaa,3.57,/@SanjayGuptaTechSchool
