Video Id,Title,View Count,Length,Channel
xqyUdNxWazA,Introducing iPhone 15 Pro | Apple,30 943 423 katselukertaa,4.01,/@Apple
nHkKJ87FS6s,iPhone vs Android (The Real Winner)!,3 994 483 katselukertaa,18.27,/@mkbhd
ZiP1l7jlIIA,Apple Event - September 12,28 819 600 katselukertaa,1.22.56,/@Apple
5LWDl5qaQbA,iOS 17 Hands-On: Top 5 Features!,6 252 296 katselukertaa,12.33,/@mkbhd
cfvmQ1kQNxY,iPhone 15 vs iPhone 14 | Comparison | What's the difference?,136 922 katselukertaa,6.16,/@nabeelnawab
t-kUWUxczlU,iOS 17 RC is Out! - What's New?,157 165 katselukertaa,11.07,/@zollotech
5Lb9h6SlUuA,iOS 17 - Top 20 Best Features That Are Helpful,186 002 katselukertaa,15.52,/@zollotech
EcGXCJm3XMA,A Guided Tour of iPhone 15 & iPhone 15 Pro | Apple,2 213 562 katselukertaa,8.31,/@Apple
gCSoznp6umU,iOS 16.6.1 is Out! - What's New?,165 254 katselukertaa,5.30,/@zollotech
jty_fJuV96Q,Introducing iPhone 15 Pro | Apple,17 406 katselukertaa,3.59,/@AppleUAE
Ri-HcFlNcJk,iOS 17 Hands on - Top 10 Features!,3 614 733 katselukertaa,12.29,/@Mrwhosetheboss
-zK5dvXw4Ew,iPhone 15 Apple Event Vlog! My day at Apple!,135 152 katselukertaa,8.45,/@iJustine
FvtRJ26AwSw,iOS 17 - самое важное,497 436 katselukertaa,1.00,/@romancev768
S9nN6iw67pg,iOS 17 Beta 8 - Expect THIS Next Week,96 566 katselukertaa,14.37,/@BrandonButch
J8xR6klcbus,iOS 16.6.1 Released - What's New?,134 372 katselukertaa,6.22,/@BrandonButch
xh2wA6-ntZM,Move Data from Android to iPhone FREE and Officially! #shorts #MostTechy,12 421 830 katselukertaa,0.31,/@MostTechyShorts
XhLsbpFGNOg,TOP 5 iOS 17 FEATURES!,236 783 katselukertaa,7.14,/@iJustine
l7eucqQMXDw,History of iOS (Full Documentary),1 131 428 katselukertaa,1.09.18,/@AppleExplained
kkXyeWjjetE,iOS 17 Beta 8 Released - What's New?,185 713 katselukertaa,8.46,/@BrandonButch
alnDTE5rXVc,iOS 17 - TOP Features YOU HAVE TO KNOW!!!,654 762 katselukertaa,11.31,/@HaylsWorld
