Video Id,Title,View Count,Length,Channel
Oextk-If8HQ,Keane - Somewhere Only We Know (Official Music Video),516 237 285 katselukertaa,3.57,/channel/UC_5iLk7KvfsHW4CIWFyzasg
Zx4Hjq6KwO0,Keane - Everybody's Changing (Alternate Version),292 074 652 katselukertaa,3.38,/channel/UC_5iLk7KvfsHW4CIWFyzasg
-2VPKWwl5Rw,Bohemian Rhapsody - Queen [Subtitulos Español][Traducido],209 893 885 katselukertaa,5.26,/@pablenndusk
U3QT4F0zJhw,The Perfect Skimboarding Wave !,145 679 431 katselukertaa,0.15,/@AustinKeen
42Xjdy_gG_o,"KaeN feat. Cheeba, WdoWA - Zbyt wiele",123 775 624 katselukertaa,4.45,/@prosto
Vkw4Dqd43nA,Keen'V - Rien qu'une fois ( clip officiel ),111 312 268 katselukertaa,3.27,/channel/UCwy4hIknwz9GUNqISRwl8IQ
DZRKVXmBYxw,Keen'v feat Lorelei B - la vie du bon coté ( clip officiel ),92 211 167 katselukertaa,3.39,/channel/UCwy4hIknwz9GUNqISRwl8IQ
RSNmgE6L8AU,Keane - Everybody's Changing (Official Music Video),70 938 206 katselukertaa,3.32,/channel/UC_5iLk7KvfsHW4CIWFyzasg
7yCaNt9qRek,Keen'V - Tahiti (Clip officiel ) #TAHITIALAMAISON,69 957 888 katselukertaa,3.14,/channel/UCwy4hIknwz9GUNqISRwl8IQ
5SM-nA5l2HU,Willy William feat. Keen'V - On s'endort (Clip Officiel),62 469 763 katselukertaa,3.06,/channel/UCHZdCYzkjo3l0bVegw1IJ9g
u86VdOc3asA,Keane - This Is The Last Time (Official Music Video),48 737 341 katselukertaa,3.41,/channel/UC_5iLk7KvfsHW4CIWFyzasg
JugGmkvhsKQ,Keane - Bedshaped (Official Music Video),44 649 082 katselukertaa,4.42,/channel/UC_5iLk7KvfsHW4CIWFyzasg
FiHXBVmmoYw,"KEEN'V  "" J'aimerais Trop "" (feat. SAP)  - Clip Officiel",43 283 063 katselukertaa,4.21,/channel/UCwy4hIknwz9GUNqISRwl8IQ
j7GO7AoehFs,Keane - Somewhere Only We Know (Live 8 2005),42 366 348 katselukertaa,4.22,/@Live8Official
opGrbthhH0o,Keen'V - Outété,39 269 221 katselukertaa,4.30,/channel/UCwy4hIknwz9GUNqISRwl8IQ
2JYUfiqUk14,keen'v - DIS MOI OUI (MARINA) Clip Officiel,36 907 772 katselukertaa,3.45,/channel/UCwy4hIknwz9GUNqISRwl8IQ
8srdjrBJuzY,RVFV FT. KEEN LEVY - NO QUIERO VERTE (VIDEO OFICIAL),32 645 656 katselukertaa,3.21,/channel/UClIUG4FjlugqTUjHSLC-zeA
DbPRwNNHjvY,Keen'V - Elle a ( clip officiel ),30 253 885 katselukertaa,3.28,/channel/UCwy4hIknwz9GUNqISRwl8IQ
NqyOJ7oUnbI,KEEN'V - MA VIE AU SOLEIL ( clip officiel ),27 451 717 katselukertaa,3.17,/channel/UCwy4hIknwz9GUNqISRwl8IQ
knvkXRwWtcw,KEEN V - A l'horizontale,25 181 298 katselukertaa,3.26,/channel/UCwy4hIknwz9GUNqISRwl8IQ
