Video Id,Title,View Count,Length,Channel
Zx4Hjq6KwO0,Keane - Everybody's Changing (Alternate Version),292 074 237 katselukertaa,3.38,/channel/UC_5iLk7KvfsHW4CIWFyzasg
7hx4gdlfamo,Kenny Rogers - The Gambler,235 303 579 katselukertaa,3.31,/channel/UCKRlpS2Z3rHf8glxuGhblyQ
TOgCeRQvzoY,Kany García - Confieso (Audio),152 424 239 katselukertaa,3.46,/channel/UCc2ZilH94OFrGRaVKwh75tA
p8NQUbLQGio,"Five Finger Death Punch - Blue On Black (feat. Kenny Wayne Shepherd, Brantley Gilbert & Brian May)",135 237 739 katselukertaa,5.15,/channel/UCQjw3b3Ay5zMmEHUAxL93Rw
XT0KhHqpEXw,Kenny Rogers-Coward of the county Subtitulado,119 720 422 katselukertaa,4.31,/@bernidel96
xP-Sxfntdb4,Kenny Chesney - There Goes My Life (Official Video),103 062 612 katselukertaa,4.56,/channel/UCB1W3WXbDmsEG_hQLxYALgg
447yaU_4DF8,Kenny G - The Moment (Official Video),98 609 461 katselukertaa,4.38,/channel/UCIe0lawpFRWMFCTSsJmcwKQ
ZYRfUoR9Q4Y,Lady - Kenny Rogers,89 497 719 katselukertaa,4.34,/@StemCellTycoon
3pYNd0MSVXs,Kenny Loggins - Meet Me Half Way (Official Video),64 298 183 katselukertaa,3.34,/channel/UCOU8fWGJPBlywN6816bRdLg
UaNGtgYwSsU,"Dolly Parton, Kenny Rogers - Islands In the Stream (Official Audio)",57 725 034 katselukertaa,4.11,/channel/UCuGuRQHrvoNsD-AolV0X39g
5fZzrE97GXo,Kenny Lattimore - For You,56 610 854 katselukertaa,3.58,/channel/UCrURgAsSSKcd7AjvLpx0jWA
w4RvskuFnPY,The Gambler,53 115 661 katselukertaa,3.35,/channel/UCKRlpS2Z3rHf8glxuGhblyQ
yK0P1Bk8Cx4,Kenny Loggins - Danger Zone (Official Audio - Top Gun),52 264 135 katselukertaa,3.33,/channel/UCOU8fWGJPBlywN6816bRdLg
G1j4ye-cqnk,Kenny G,49 656 930 katselukertaa,3.10,/channel/UCYF3HLy2nzDREEE50KbOnKA
OOO4ROO_sPM,Kenny G - Forever In Love,47 345 663 katselukertaa,4.08,/channel/UCIe0lawpFRWMFCTSsJmcwKQ
mNlswqBZ7u4,Coward Of The County,44 943 811 katselukertaa,4.19,/channel/UCKRlpS2Z3rHf8glxuGhblyQ
jlHZ_Z8sUMs,Kenny B - Parijs [+Lyrics],43 340 782 katselukertaa,3.10,/@TopNotchNL
C3BuITOx3Cs,Kenny Rogers & Sheena Easton We've Got Tonight,39 930 856 katselukertaa,4.20,/@videoenhancer
JpWldTFq2Jk,Dolly Parton & Kenny Rogers - Islands In The Stream,37 815 169 katselukertaa,4.05,/@MsGlenBill1
CeLvx_1FBdk,Levi vs Kenny Squad - (Full Fight) HD,35 411 559 katselukertaa,4.59,/@ChurchCC11
