Video Id,Title,View Count,Length,Channel
d_HlPboLRL8,AURORA - Runaway,583 842 204 katselukertaa,4.10,/channel/UCNjHgaLpdy1IMNK57pYiKiQ
0DQup4hd1_o,Kid Rock - Only God Knows Why [Official Music Video],279 871 206 katselukertaa,5.28,/channel/UCjwhEPNX5rsU6gl_8qZMQZg
jYdaQJzcAcw,"J. Cole - She Knows (Explicit Video) ft. Amber Coffman, Cults",216 126 186 katselukertaa,5.47,/channel/UCnc6db-y3IU7CkT_yeVXdVg
hzqFmXZ8tOE,Protoje - Who Knows ft. Chronixx (Official Music Video),194 395 942 katselukertaa,3.45,/channel/UCYZo7CbLJjjfEOqYwknzzow
EMh799clhz0,You Never Know What He'll Do Next!,168 954 561 katselukertaa,1.00,/@gottalentjapan
s88r_q7oufE,Queens Of The Stone Age - No One Knows (Official Music Video),165 713 320 katselukertaa,4.19,/channel/UCAqa6dDmCH4XwipdfxoMo4Q
WWB01IuMvzA,God knows... ''The Melancholy of Haruhi Suzumiya'' 【涼宮ハルヒの憂鬱】Kadokawa公認MAD【ﾍﾞｰｽ 演奏】,115 985 054 katselukertaa,4.41,/@NicoRockH
jkaMiaRLgvY,The Kooks - Naive,94 245 875 katselukertaa,3.23,/channel/UC3lSoOBQYPsZPYpgoC6_RVg
QUuKvHHt8Sk,Justin Timberlake - LoveStoned / I Think She Knows Interlude (Official Video),88 905 137 katselukertaa,5.28,/channel/UC-y8ci7xfsu4L3zkSuHae0A
rHBxJCq99jA,The Pretty Reckless - Heaven Knows (Official Music Video),88 201 143 katselukertaa,3.45,/channel/UCrrhJmM3H7eyxrevc4lpRIw
xQ6rS0kMfjE,Sapphie the pomsky POV: When your dog knows you're pregnant,76 583 021 katselukertaa,0.41,/@sapphie_the_pomsky
X6Kma_HdVHk,She Knows,76 141 235 katselukertaa,4.57,/channel/UCnc6db-y3IU7CkT_yeVXdVg
815qRl0OQas,She knows...,76 010 588 katselukertaa,0.50,/@srjinxed
7lNN8cGoncc,This 16 year old Indian boy knows business very well 🇮🇳,74 093 410 katselukertaa,0.34,/@desichris
Q5cPQg3oq-o,for KING + COUNTRY - God Only Knows (Official Music Video),73 475 897 katselukertaa,4.23,/channel/UCeqMRt_qlZOAfQ_fDxc0D4g
Fk1ZO_980DI,Ne-Yo - She Knows (Official Video) ft. Juicy J,62 505 811 katselukertaa,3.20,/channel/UCvtkFm0XlCLqyvtP7UpqAoA
9-KiYo4BwVI,Ne-Yo - She Knows  ft. Juicy J (Lyric Video),60 832 735 katselukertaa,3.13,/channel/UCvtkFm0XlCLqyvtP7UpqAoA
DFt3mg3SYTE,MURDER MISTERY - SHE KNEW IT #shorts,60 602 624 katselukertaa,0.42,/@spyviral9287
TjPhzgxe3L0,The Smiths - Heaven Knows I'm Miserable Now (Official Music Video),59 834 354 katselukertaa,3.35,/channel/UC-sdfo_ho6Nq3OH8RUHBrNg
LGEsM5l9U7U,Russ ~ Nobody Knows (Lyrics),52 503 426 katselukertaa,3.38,/@a_paradise_bird
