Video Id,Title,View Count,Length,Channel
kiB9qk4gnt4,Kodak Black - Super Gremlin [Official Music Video],287 627 231 katselukertaa,3.18,/channel/UChEYVadfkMCfrKUi6qr3I1Q
SmwmZfMooSo,Kodak Black - Skrilla [Official Music Video],186 568 003 katselukertaa,3.59,/channel/UChEYVadfkMCfrKUi6qr3I1Q
_eZdXypWUDE,Kodak Black - Tunnel Vision [Official Music Video] with Lyrics | CantoYo,2 302 088 katselukertaa,4.40,/@warnermusiclat
UE_-obgiWm0,Kodak Black - No Flockin Freestyle (Prod. by VinnyxProd) [Official Music Video],297 158 004 katselukertaa,3.12,/channel/UChEYVadfkMCfrKUi6qr3I1Q
nNv-QEvwfIE,6ix9ine - Shaka Laka (feat. Kodak Black & Yailin la Mas Viral) (Official Music Video),36 879 149 katselukertaa,2.57,/channel/UCF6jRAgCbSanHolKt0Vt6Qw
VWfhqWh9G2A,Kodak Black - No Love For A Thug [Official Audio],6 107 913 katselukertaa,5.06,/channel/UChEYVadfkMCfrKUi6qr3I1Q
txXgkYIalDY,"Gucci Mane, Kodak Black - King Snipe [Official Music Video]",24 261 767 katselukertaa,3.41,/channel/UCSugZEYrWbzqIWGD195V-YA
WZnd5nOXRnM,Kodak Black Artist Syko Bob Mom Allegedly Killed In Broward County FL (Prayers Up),11 838 katselukertaa,2.05.06,/@tippietoepodcast
Ns167_llTiA,Kodak Black - Transportin’ [Official Music Video],223 576 223 katselukertaa,2.52,/channel/UChEYVadfkMCfrKUi6qr3I1Q
1nLnR8yK_BA,French Montana - Mopstick (Official Music Video) ft. Kodak Black,41 201 482 katselukertaa,3.37,/channel/UC-4mIX9ls8ROVk9ApfeYf5w
JzSUgOmP66Q,Kodak Black - Tunnel Vision [Official Music Video],333 615 630 katselukertaa,4.32,/channel/UChEYVadfkMCfrKUi6qr3I1Q
xf1vFv7Mc-0,Is Kodak Okay?,46 358 katselukertaa,25.50,/@LearnFilmPhotography
mjaayCARwro,Kodak Black - ZEZE (feat. Travis Scott & Offset) [Official Audio],339 145 088 katselukertaa,3.46,/channel/UChEYVadfkMCfrKUi6qr3I1Q
HQKy1KJpSVc,How Does Kodak Make Film? (Kodak Factory Tour Part 1 of 3) - Smarter Every Day 271,3 153 374 katselukertaa,56.51,/@smartereveryday
J8o4G1eKFK8,Kodak Black - Walk [Official Music Video],24 942 047 katselukertaa,3.21,/channel/UChEYVadfkMCfrKUi6qr3I1Q
mrJP82ZZiag,This Thing is Crazy Fast - Smarter Every Day 286,1 185 635 katselukertaa,59.57,/@smartereveryday
gzyOC65MXN0,PEGUEI A ARMA MITICA MAIS DIFICIL DO BLOX FRUITS,4 404 katselukertaa,13.28,/@KodakOF
l2Pe9ZN7-4c,Kodak Black - 300 Blackout [Official Music Video],21 688 219 katselukertaa,2.45,/channel/UChEYVadfkMCfrKUi6qr3I1Q
RVsGO4MwTew,Hotboii ft. Kodak Black - Live Life Die Faster (Official Video),17 906 217 katselukertaa,3.13,/channel/UCxuYJtXOR5MUXLU-qQ-JaLw
