Video Id,Title,View Count,Length,Channel
QcIy9NiNbmo,Taylor Swift - Bad Blood ft. Kendrick Lamar,1 571 602 226 katselukertaa,4.05,/channel/UCqECaJ8Gagnn7YCbPEzWH6g
tvTRZJ-4EyI,Kendrick Lamar - HUMBLE.,929 305 936 katselukertaa,3.04,/channel/UC3lBXcrKFnFAFkfVk5WuKcQ
Dst9gZkq1a8,Travis Scott - goosebumps ft. Kendrick Lamar,894 946 020 katselukertaa,4.11,/channel/UCtxdfwb9wfkoGocVUAJ-Bmg
VYOjWnS4cMY,Childish Gambino - This Is America (Official Video),892 669 109 katselukertaa,4.05,/channel/UC20LoHy2mX0LQODrkUalxVQ
DmWWqogr_r8,21 Savage - a lot (Official Video) ft. J. Cole,621 259 826 katselukertaa,6.32,/channel/UCOjEHmBKwdS7joWpW0VrXkg
JQbjS0_ZfJ0,"Kendrick Lamar, SZA - All The Stars",419 124 278 katselukertaa,3.55,/channel/UC3lBXcrKFnFAFkfVk5WuKcQ
R8iqEfje7Aw,Fantasia - When I See U,368 711 258 katselukertaa,3.37,/channel/UCp5glEnt5NjHld-3-uF-owQ
liZm1im2erU,"A$AP ROCKY - F**kin' Problems ft. Drake, 2 Chainz, Kendrick Lamar",310 777 876 katselukertaa,3.53,/channel/UC0KAFLxIiaR_FFNYDL3utGw
XR7Ev14vUh8,"The Weeknd, Kendrick Lamar - Pray For Me (Official Lyric Video)",253 033 543 katselukertaa,3.29,/channel/UC0WP5P-ufpRfjbNrmOWwLBQ
NLZRYQMLDW4,Kendrick Lamar - DNA.,249 633 039 katselukertaa,4.46,/channel/UC3lBXcrKFnFAFkfVk5WuKcQ
gdsUKphmB3Y,"Dr. Dre, Snoop Dogg, Eminem, Mary J. Blige, Kendrick Lamar & 50 Cent FULL Pepsi SB LVI Halftime Show",225 923 099 katselukertaa,14.41,/@NFL
Dlh-dzB2U4Y,Kendrick Lamar - LOYALTY. ft. Rihanna,225 760 399 katselukertaa,4.00,/channel/UC3lBXcrKFnFAFkfVk5WuKcQ
FcmYJPL3wQ0,"Amanda, Franklin, Lamar & Michael Water Slide #1 #amandawaterslides",214 897 062 katselukertaa,0.48,/@RagdollSuper
GF8aaTu2kg0,"Kendrick Lamar - Bitch, Don't Kill My Vibe (Explicit)",213 658 828 katselukertaa,5.13,/channel/UC3lBXcrKFnFAFkfVk5WuKcQ
Iy-dJwHVX84,Money Trees,197 515 882 katselukertaa,6.27,/channel/UC3lBXcrKFnFAFkfVk5WuKcQ
_L2vJEb6lVE,SchoolBoy Q - Collard Greens (Explicit) ft. Kendrick Lamar,182 389 199 katselukertaa,4.44,/channel/UCdEs7HUfdydw41YVFV5TMSg
B5YNiCfWC3A,Kendrick Lamar - Swimming Pools (Drank),171 508 778 katselukertaa,3.52,/channel/UC3lBXcrKFnFAFkfVk5WuKcQ
hRK7PVJFbS8,Kendrick Lamar - King Kunta,170 244 346 katselukertaa,3.58,/channel/UC3lBXcrKFnFAFkfVk5WuKcQ
Z-48u_uWMHY,Kendrick Lamar - Alright (Official Music Video),167 968 844 katselukertaa,6.55,/channel/UC3lBXcrKFnFAFkfVk5WuKcQ
nY-Xk3sGr6Q,Miguel - How Many Drinks? (Remix) ft. Kendrick Lamar,158 246 818 katselukertaa,4.30,/channel/UCxU6nh0LHqH9H4-fxWMGsgw
