Video Id,Title,View Count,Length,Channel
kqnvrjgyEMc,Faster Internet for FREE in 30 seconds - No... Seriously,15 251 251 katselukertaa,8.43,/@LinusTechTips
sZs4NDC4yrI,Building a PC CHEAPER in CHINA?! feat. Strange Parts,14 891 463 katselukertaa,24.41,/@LinusTechTips
MVNGaPjIEJg,A Thousand Miles - Vanessa Carlton | Linus Bruhn Cover | The Voice of Germany 2015 |  Audition,14 420 767 katselukertaa,1.51,/@TVOG
v7MYOpFONCU,First Person View PC BUILD Guide! (POV),11 734 521 katselukertaa,40.28,/@LinusTechTips
OX31kZbAXsA,Does High FPS make you a better gamer? Ft. Shroud - FINAL ANSWER,10 599 868 katselukertaa,36.12,/@LinusTechTips
2X-ZayiWAKo,"Dennis WASTED His Money - Intel $5,000 Extreme Tech Upgrade",9 802 067 katselukertaa,23.52,/@LinusTechTips
BL4DCEp7blY,"How to build a PC, the last guide you'll ever need!",9 529 686 katselukertaa,1.42.05,/@LinusTechTips
gH_c4sGDrPg,"Building A $10,000 PC for ROBLOX",9 028 072 katselukertaa,18.00,/@LinusTechTips
V0JuW6x8lsw,The All AliExpress PC,8 947 137 katselukertaa,16.33,/@LinusTechTips
Ngy9TIbREJE,I can't believe how much I paid for this...,8 641 805 katselukertaa,14.18,/@LinusTechTips
zBAxiQi2nPc,NVIDIA REFUSED To Send Us This - NVIDIA A100,8 475 413 katselukertaa,23.46,/@LinusTechTips
x6zypc_LhnM,Vince Guaraldi Trio - Linus And Lucy,7 651 316 katselukertaa,3.05,/channel/UCetzOqhmPACHHPCjymFFoKQ
J6Ga4wciA2k,THIS Wish.com Gaming PC is WORSE!,7 113 277 katselukertaa,25.45,/@LinusTechTips
0vuzqunync8,I'm Stepping Down..,6 743 147 katselukertaa,9.31,/@LinusTechTips
yGXaAWbzl5A,My Channel Was Deleted Last Night,6 490 671 katselukertaa,15.00,/@LinusTechTips
ShtiJ8Y2alE,"The PRACTICAL Tech Transformation - Intel $5,000 Extreme Tech Upgrade",6 358 271 katselukertaa,27.36,/@LinusTechTips
U7KpyWoJnfQ,"Riley's SICK Minimalist Setup - Intel $5,000 Extreme Tech Upgrade",6 214 362 katselukertaa,22.09,/@LinusTechTips
t03rmc-prJo,This PC took 600 HOURS to Build!,6 001 782 katselukertaa,25.05,/@LinusTechTips
0rkTgPt3M4k,A COMPLETELY Upgradeable Laptop?  - Framework Laptop Review,5 890 986 katselukertaa,18.46,/@LinusTechTips
3wtKZCHH7l0,We made the SLOWEST BRAND NEW PC!,5 882 270 katselukertaa,15.06,/@LinusTechTips
