Video Id,Title,View Count,Length,Channel
xskiMEwrPR0,Atorvastatin | What All Patients Need to Know,4 032 899 katselukertaa,8.28,/@JHPMedicalUK
LC8bMiQs6UU,6 Surprising Side Effects of Atorvastatin ❤️️,3 374 694 katselukertaa,9.41,/@DrSamBailey
l2r0bF7LN0U,"Statin Side Effects | Atorvastatin, Rosuvastatin, Simvastatin Side Effects & Why They Occur",2 956 077 katselukertaa,9.36,/@jjmedicine
bgaOqUAuAhw,Atorvastatin side effects YOU need to KNOW!,2 748 780 katselukertaa,11.20,/@ThinkYourHealth
6sWmgtqROKU,Study Confirms What Many Patients Taking Statins Have Said for Years | NBC Nightly News,1 726 940 katselukertaa,2.14,/@NBCNews
3iHVBRP2sc4,"Sa Umiinom ng ATORVASTATIN, SIMVASTATIN, Panoorin Ito - Payo ni Doc Willie Ong #1425",1 198 812 katselukertaa,21.09,/@DocWillieOng
C_qQ7-Rkbak,Statin Misinformation: Mayo Clinic Radio,1 150 033 katselukertaa,7.58,/@MayoClinic
HgEv-tOAY8M,10 Bad Things STATIN Drugs do in Your Body (Statin Side Effects) - 2023,1 081 355 katselukertaa,5.45,/@KenDBerryMD
Xt9rEWjtj2w,What to Avoid When Taking Statin Medications | How to Reduce Risk of Statin Side Effects,852 560 katselukertaa,10.28,/@jjmedicine
A4hga1ebRK4,Experiencing POTENT ELATION reacting to music made from our weird jokes,737 956 katselukertaa,22.34,/@GameGrumps
Db9rkEzKeJE,On a Statin? WATCH THIS…,630 646 katselukertaa,3.46,/@DrEricBergDC
9xG8ysZlad8,ATORVASTATIN (LIPITOR) FOR HIGH CHOLESTEROL | What are the Side Effects?,476 846 katselukertaa,9.43,/@ErikRichardsonDO
YH3VpdXZdQg,Dolor muscular por atorvastatina y otras estatinas,438 898 katselukertaa,15.55,/@SinapsisMark
rk6AGRkrCDM,What are Atorvastatin 10 mg 20 mg 40mg tablet Benefits & Dose | Uses & side effects,436 362 katselukertaa,5.52,/@drsantoshmedicalawareness
hnS49pMNTww,"If you take a Statin, Do these 7 things Right Now! (Lipitor, Crestor, Zocor)",416 731 katselukertaa,4.56,/@KenDBerryMD
TqZDL_K1qME,The dangers of stopping cholesterol medication,341 133 katselukertaa,2.54,/@CBSMornings
Ap-CqXiIovs,"ATORVASTATINA. 💊 Pastillas para BAJAR COLESTEROL - Dosis, Efectos Secundarios | Medicina Clara",315 355 katselukertaa,8.08,/@medicinaclara
XIx8Frmy-3c,Atorvastatin Tablet Uses in Hindi | Atorvastatin 10 mg | All Patients Need to Know |,309 216 katselukertaa,12.40,/@PawanBasniwal
1lihe0QPQtw,"Você usa Sinvastatina, Atorvastatina ou Rosuvastatina? Coenzima Q10 é importante para você!",306 848 katselukertaa,5.45,/@DrGabrielAzzini1
wy2Awi492KQ,ATORVASTATINA | PARA QUÉ SIRVE?,264 084 katselukertaa,2.17,/@FiliiAsclepius
