Video Id,Title,View Count,Length,Channel
annA3NnStXM,Amazing Quest: Stories from Malawi | Somewhere on Earth: Malawi | Free Documentary,916 555 katselukertaa,52.07,/@FreeDocumentary
yNu03u40dRU,Lilongwe: Why you Should Visit Malawi’s Capital,10 644 katselukertaa,5.32,/@DWTravel
93IZ1pCsZ78,Living Inside Most Beautiful Wilderness In Malawi..,30 797 katselukertaa,30.19,/@WODEMAYA
asulO00Avec,"Malawi, esprits de la brume | Les routes de l'impossible",1 359 211 katselukertaa,51.10,/@lesRoutesdelimpossible
4cJ_5Jx1n-o,"Amazing Quest: Madagascar, Malawi and More | Somewhere on Earth: Best Of Africa | Free Documentary",205 359 katselukertaa,5.08.21,/@FreeDocumentary
8L3sfSNAWq8,MALAWI'S Ongoing Mega Projects Taking Southern Africa by Storm! (2023),2 816 katselukertaa,10.48,/@thepristinehistorian2
rKyHJptIV9g,Enjoy this beautiful music from Malawi ft legend Giddes Chalamanda,130 087 katselukertaa,8.30,/@b6tvofficial211
V3BpGbMjPKE,Malawi 🆚 Guinea | Highlights - #TotalEnergiesAFCONQ2023 - MD6 Group D,33 588 katselukertaa,1.50,/@CAF_TV
868K4Iq8Z-g,Geography Now! MALAWI,816 657 katselukertaa,10.35,/@GeographyNow
nrgBQLw0tm4,Meeting The President Of Malawi  For The First Time🇲🇼,239 546 katselukertaa,28.01,/@WODEMAYA
77G16OB9fzg,Lake Malawi (feat. We Are Domi) ~ High-Speed Kissing (Official Music Video),423 062 katselukertaa,3.13,/@lakemalawimusic
1nsTv4W2tOc,School opening in African School #africa #youtube #schooldays #schoollife Malawi diary 💜,19 915 katselukertaa,19.55,/@malawidiary
fv9Uc5-DF_E,10 Things You Didn't Know About Malawi,112 860 katselukertaa,8.11,/@africa_reloaded
-o5Q6RFWdwA,Malawi,2 994 katselukertaa,4.44,/channel/UCPU2KPI18CaRzPqDKXB-wZg
BAmU__P-RrE,"Hastings Kamuzu Banda: From Medical Doctor to Malawi's ""Dictator""",158 154 katselukertaa,26.09,/@AfricanBiographics
Jsidqp0XL58,Malawi Travel Guide and Tips 2023,19 925 katselukertaa,28.21,/@CrazyEmptyNest
O-h4V8oyNPc,Is This The Most Beautiful City In Malawi? Blantyre Ultimate City Tour #Malawi Africa Ep 13,179 315 katselukertaa,38.27,/@AFRICANTIGRESS
zgMWEqLWT6g,Malawi (Africa) Vacation Travel Video Guide,167 821 katselukertaa,51.37,/@ExpozaTravel
9MYp_TXN9Bc,10 Best Places to Visit in Malawi - Malawi Tourism,96 945 katselukertaa,10.11,/@Displore1
