Video Id,Title,View Count,Length,Channel
8UBPzpLRsbM,Never Be Manipulated Again! - 7 Ways To SPOT Manipulation & Gaslighting | Dr. Mariel Buque,206 087 katselukertaa,2.21.31,/@LisaBilyeu
no7hxwicxiA,11 Manipulation Tactics - Which ones fit your Personality?,1 537 359 katselukertaa,7.32,/@PracticalPsychologyTips
DEhneK9tfRg,CIA Manipulation of Public Opinion  w/Jeffrey Sachs,89 556 katselukertaa,27.33,/@judgingfreedom
6uOLfKDzJcY,Zevia - manipulation (Official Lyric Video),359 435 katselukertaa,3.52,/channel/UCoqAAi0OzCYVi1ame5yHXqg
GQdP2gFFL2s,UNDISCLOSED INFORMATION: Ex CIA Officer Shares SECRET Manipulation Techniques,62 997 katselukertaa,21.52,/@BeInspiredChannel
1CxH07x83nI,8 Signs of a Manipulative Personality,3 997 523 katselukertaa,5.26,/@Psych2go
y7VVSWCaRMM,4 ways narcissists manipulate and punish you,163 116 katselukertaa,48.01,/@DoctorRamani
ZucVXYoegVU,How To Manipulate Emotions | Timon Krause | TEDxFryslân,3 043 218 katselukertaa,18.27,/@TEDx
77-HD59t4U4,Narcissist Speaks About His 4 Favorite Manipulation Tactics,125 109 katselukertaa,9.31,/@RICHARDGRANNON
XODlwRUnVgk,The Black Angels – Manipulation,1 266 480 katselukertaa,5.41,/@MrMy11111
pAWU7j7fzZQ,"The rise of emotional manipulation as ""dark femininity""",317 919 katselukertaa,7.59,/@AnnaAkana
vhtszxAaciE,7 Examples Of Emotional Manipulation,483 350 katselukertaa,5.29,/@Psych2go
OPhOZYVHQgk,How To Manipulate Like Johan Liebert 🧬 | #johan #manipulation #fyp #shorts,332 369 katselukertaa,0.13,/@TheRealNirox
8F8ZydldehY,8 Ways TO Manipulate Your CRUSH To Like You (Dark Psych Tricks),280 051 katselukertaa,9.57,/@JosecZuniga
OGnMusQ0uWY,How To MANIPULATE Like JOHAN LIEBERT,389 002 katselukertaa,8.10,/@ThePowerAnalysis
OlUkiLkAIgc,Emotional Manipulation: A Masked Reality,185 835 katselukertaa,12.03,/@ApertureThinking
7yW2ihgjAlg,Be Careful of The DARVO Manipulation Tactic,65 960 katselukertaa,4.43,/@Psych2go
nXVOi4248M8,"Persuasion Dark Psychology- Techniques to Master Mind Control, Manipulation Deception FULL AUDIOBOOK",223 749 katselukertaa,1.50.37,/@Avatar_Quote
-iGaa25wAL8,Master the Art of Manipulation (Influence Others Effortlessly),16 718 katselukertaa,9.35,/@iovilius
PJPNhCdrYbs,6 Dark Psychology Tricks To Watch Out For,171 050 katselukertaa,6.46,/@BrainyDose
