Video Id,Title,View Count,Length,Channel
-OFLmo2C-WE,Maritime search and rescue - Documentary,8 564 725 katselukertaa,1.21.07,/@BestDoc
N7CvEt51fz4,How Maritime Law Works,3 599 082 katselukertaa,6.27,/@Wendoverproductions
j4htW-qXVdY,LAUNCH EVENT: Latest edition of DNV's Maritime Forecast to 2050 report,2 129 katselukertaa,1.16.56,/@DNVMaritime
GjD7x_oInx0,"Cargos, la face cachée du fret - Transport maritime - Marchandises -  Documentaire Monde - CTB",1 215 842 katselukertaa,59.29,/@NotreMondedoc
jFKmtho5NOk,What is the Maritime Industry?,51 225 katselukertaa,3.26,/@stcw-certification
0U18AHZbS_M,10 Reason why Maritime is AWESOME ( And such a great career! earn 400k USD per year!? ),1 299 424 katselukertaa,10.52,/@JeffHK
tdMYEKwxTyo,10 Reasons Why Maritime SUCKS (NEED TO KNOW Before Joining Merchant Marine),752 569 katselukertaa,10.02,/@JeffHK
Hoq_m3zSFNc,The Obscure Law that Killed U.S. Maritime Shipping,366 522 katselukertaa,22.21,/@PolyMatter
bhbWTapIUEw,Maritime on Audiotree Live (Full Session),10 452 katselukertaa,45.02,/@audiotree
cZz_o7VbSWw,Maritime Masters: Expedition Antarctica,11 082 katselukertaa,2.08,/@ScenicLuxuryCruises
pcj4mZ4FNUU,Maritime professionals at work - Pilot on Board Documentary Movie ⚓️,4 946 katselukertaa,48.31,/@icebreakersnow
8d5d_HXGeMA,How Ocean Shipping Works (And Why It's Broken),3 809 949 katselukertaa,19.18,/@Wendoverproductions
qnyV4uREABc,How the Netherlands Became the World Leader in the Maritime Industry ?,12 262 katselukertaa,8.33,/@themaritimevision
hzPrDZxPzVY,Best of the History Guy: Maritime Disasters,129 954 katselukertaa,58.44,/@TheHistoryGuyChannel
9B7YwEuGEGM,Collision in Netherlands Sinks Water Taxi | 3 Minutes of Maritime,88 900 katselukertaa,3.26,/@3minutesofmaritime617
RhN9C4yPALI,Australia Maritime Strategy,118 260 katselukertaa,14.17,/@Kamome163
dPksPkMnhXQ,Cargo Ship Sinks as Containers are Removed! | 3 Minutes of Maritime,522 871 katselukertaa,3.27,/@3minutesofmaritime617
rsgIkYory8c,Day in the Life of a Mega-ship Marine Engineer,1 539 724 katselukertaa,18.20,/@JeffHK
L4eQDnxrEs0,5 Maritime Disasters (That Aren't the Titanitc),218 126 katselukertaa,16.49,/@Sideprojects
