Video Id,Title,View Count,Length,Channel
gIOyB9ZXn8s,"Idina Menzel, AURORA - Into the Unknown (From ""Frozen 2"")",574 751 032 katselukertaa,3.30,/@DisneyMusicVEVO
EedPfUeBf2A,Greeicy - Más Fuerte (Video Oficial),572 331 653 katselukertaa,3.19,/channel/UCbGxDgCTFR58n3zmvJibhcw
UojBaKX5Vz4,Eros Ramazzotti - La Cosa Mas Bella (Più Bella Cosa) (Official Video),524 579 148 katselukertaa,4.26,/channel/UC-6TzsYLnG8R-K-r-rVaaeA
teT8-O9K2yM,"Sech - Que Mas Pues Remix ft. Maluma, Nicky Jam, Farruko, Justin Quiles, Dalex, Lenny Tavárez",470 392 554 katselukertaa,5.06,/channel/UCte53PewI8_jYpBYn071MqQ
uy30PB5BpV0,Nastya and a fun family trip,453 790 536 katselukertaa,5.56,/@LikeNastyaofficial
vWVa-u8K0IE,Bryant Myers - Un Ratito Mas ft. Bad Bunny (Video Oficial),347 500 099 katselukertaa,4.42,/channel/UCTHTB1_BGcac49N3527qQ9Q
BDwEyfgClF4,Tercer Cielo - No Crezcas Mas (Video Oficial),345 522 074 katselukertaa,4.22,/channel/UCBFJlZru7CEtu38EUnbAtBQ
Cu8EiqyM6Rk,"Masha and the Bear 🤣🤸 YES, IT'S RECESS! 🤸🤣 Best 30 min ⏰ cartoon collection 🎬 Jam Day День варенья",344 888 032 katselukertaa,32.52,/@MashaBearEN
LI-gu-QSmaM,Especial de La Vaca Lola Acumulativa y Más Canciones | La Granja de Zenón,251 849 434 katselukertaa,54.28,/@LaGranjaDeZenon
HAMxq-zUqW4,Amo la Banana + Más D Billions Canciones Infantiles,243 268 427 katselukertaa,8.30,/@dbillions_spanish
FCi-Xp2TVoQ,Selena - No Me Queda Mas (Official Music Video),233 447 919 katselukertaa,4.14,/channel/UCZ-LXqc3x6vL5f8XQvEBVaA
2rtWJpvElkQ,Ozuna - Quiero Mas Feat. Wisin y Yandel (Video Oficial),228 345 354 katselukertaa,6.08,/channel/UCjIA3wwhi0QjSOXAZwOXbPA
K1T2Q0kEl9w,Gloria Trevi & Alejandra Guzmán - Más Buena (Official Video),225 584 973 katselukertaa,3.54,/@VersusVEVO
1xNstpObA7s,La Ross Maria - Mi Regalo Mas Bonito ( Video Oficial ),220 802 049 katselukertaa,2.35,/channel/UCLj0vrGPYcqDNZ8Ys2jsgEA
WuypMZ5-Its,Маша и Медведь - Топ 10 🎬 Лучшие серии 2018 года,196 275 940 katselukertaa,1.10.59,/@MashaBearRUSSIAN
QnOjibiMf0w,"Nastya aprende a fazer uma piada com o pai, uma nova história para crianças",188 877 262 katselukertaa,10.49,/@LikeNastya_PRT
5sLzyEzUbPo,"Anuel AA, Mambo Kingz, DJ Luian - Mas Rica Que Ayer (Video Oficial)",181 621 506 katselukertaa,3.47,/channel/UCRI7hheejBbWS6etTNwMT0g
myCBso_rv7o,Halloween Monstruos + MÁS | Canciones de Halloween| Feliz Halloween| Steve and Maggie Español Latino,163 518 143 katselukertaa,24.09,/@Steve_and_Maggie_EspanolLatino
lLJMuSgL6fU,Journey To The West Clip - Fish Out Of Water,161 792 308 katselukertaa,2.25,/@magnoliapictures
2s3Aka4Wzd8,Los Ángeles Azules - Amigos Nada Más ft. Pepe Aguilar (De Plaza En Plaza),146 366 765 katselukertaa,3.34,/channel/UCYTPYsuIRSu7o9xmeB_L4_g
