Video Id,Title,View Count,Length,Channel
URxsOjGMg4w,"English Medium | Sapna Chaudhary, Vicky Kajla | Masoom Sharma, AK Jatti | New Haryanvi Song 2020",304 090 898 katselukertaa,3.22,/@sonotek
88LgZ-cf_P4,Suit Suit Video Song | Hindi Medium | Irrfan Khan & Saba Qamar | Guru Randhawa | Arjun,165 670 031 katselukertaa,2.13,/@tseries
zxx6xyWIDJA,SMALL MEDIUM BIG Emoji FOOD CHALLENGE | Best food Kielbasa Sausage  Mukbang ASMR #Shorts,132 915 798 katselukertaa,0.44,/@huba3
f8MvnCOKKHM,English Medium || इंग्लिश मीडियम  | Haryanvi Song | Masoom Sharma & Anu Kadyan | New Haryanvi 2020,126 902 607 katselukertaa,3.19,/@haryanvisonotek
jrjE-EobEas,SMALL MEDIUM BIG Emoji FOOD CHALLENGE | Best Beef Roast Mukbang ASMR #Shorts,64 785 291 katselukertaa,0.59,/@huba3
kMfPxgrRDI4,English Medium | इंग्लिश मीडियम | Sapna New Live Dance | Hot Stage Dance,59 841 581 katselukertaa,3.37,/@Sonotekpunjabi
zgU87U-K14U,"Nachan Nu Jee Karda | Angrezi Medium | Irrfan, Radhika, Deepak, Kareena | Romy, Nikhita | Tanishk B",56 266 395 katselukertaa,2.45,/@tseries
oSpMspvMkSQ,"Kudi Nu Nachne De:Angrezi Medium|Anushka,Katrina,Alia,Janhvi,Ananya,Kriti,Kiara,Radhika,Sachin-Jigar",54 571 256 katselukertaa,3.03,/@tseries
0kcfVuLSt-Q,Big Vs Medium Vs Small BOWL Challenge | Food Challenge India | Hungry Birds,47 742 086 katselukertaa,17.26,/@hungrybirds4803
QwzAzy863Fs,Small Vs Medium Vs Big Food Challenge | Hungry Birds,42 563 382 katselukertaa,11.44,/@hungrybirds4803
rzlfeocUVhI,Angrezi Medium - Official Trailer | Irrfan Kareena Radhika | Dinesh Vijan | Homi Adajania,38 006 742 katselukertaa,2.55,/@MaddockFilms
0t2hxUd_nKk,Small Vs Medium Vs Big Glass Drink Challenge | Food Challenge India | Hungry Birds,37 278 809 katselukertaa,16.59,/@hungrybirds4803
05DrDxjMEbU,"Ek Zindagi | Angrezi Medium | Irrfan, Radhika M, Kareena K,Deepak D | Tanishkaa, Sachin-Jigar",36 159 848 katselukertaa,2.29,/@tseries
AJf9ThksdEc,SMALL MEDIUM BIG CHALLENGE | Funny family eating challenge | Aayu and Pihu Show,34 491 917 katselukertaa,18.39,/@AayuandPihuShow
bdF-1Zy3CFI,"Sakshi Garg, 350 Rank, Hindi Medium, UPSC-2017 : Mock Interview",33 736 840 katselukertaa,23.11,/@DrishtiIASvideos
5aKBxTeSDV0,"Fast, Medium or Slow Food Challenge by Multi DO Challenge",31 034 664 katselukertaa,12.14,/@multidochallenge9434
dIjP5XgRw18,"ASMR Big, Medium and Small Plate Challenge by LiliBu #2",30 943 977 katselukertaa,8.32,/@ASMRLilibu
HXk6WLJ0rzI,SMALL MEDIUM BIG Emoji FOOD CHALLENGE | strawberry dessert Mukbang ASMR #Shorts,30 416 383 katselukertaa,0.30,/@huba3
xa4pdp99btM,Big Vs Medium Vs Plate Small  Challenge I Hungry Birds,30 147 869 katselukertaa,14.31,/@hungrybirds4803
O9YKGXLBbzw,"ASMR Big, Medium and Small Plate Challenge by LiliBu",29 813 429 katselukertaa,10.02,/@ASMRLilibu
